Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
9.148,0.891,1.233,11491.573,863.964,0.261,1.392,0,4483.28,144,318,166061,week0_B06_cluster_1
14.141,0.88,1.301,11442.375,656.365,-0.321,0.931,0,4483.28,144,318,166061,week0_B06_cluster_1
12.24,0.898,1.179,11356.725,694.694,0.251,1.378,0,4483.28,144,318,166061,week0_B06_cluster_1
11.946,0.892,1.111,11410.448,814.863,0.067,0.251,0,4483.28,144,318,166061,week0_B06_cluster_1
11.853,0.91,1.127,11359.332,813.052,-0.721,1.335,0,4483.28,144,318,166061,week0_B06_cluster_1
20.443,0.88,1.249,11492.577,793.458,0.375,1.574,0,4483.28,144,318,166061,week0_B06_cluster_1
22.432,0.873,1.244,11422.55,708.296,-0.076,0.889,0,4483.28,144,318,166061,week0_B06_cluster_1
21.158,0.881,1.191,11378.252,732.785,0.275,0.181,0,4483.28,144,318,166061,week0_B06_cluster_1
11.491,0.911,1.152,11257.216,765.279,-0.502,1.575,0,4483.28,144,318,166061,week0_B06_cluster_1
11.638,0.865,1.112,11459.91,564.497,0.389,1.112,0,4483.28,144,318,166061,week0_B06_cluster_1
16.268,0.858,1.325,11337.531,593.735,0.171,0.789,0,4483.28,144,318,166061,week0_B06_cluster_1
20.874,0.854,1.424,11292.161,566.921,-0.211,2.157,0,4483.28,144,318,166061,week0_B06_cluster_1
10.638,0.873,1.356,11320.474,703.889,-0.018,0.404,0,4483.28,144,318,166061,week0_B06_cluster_1
7.987,0.904,1.174,11382.115,730.433,-0.182,0.159,0,4483.28,144,318,166061,week0_B06_cluster_1
8.134,0.894,1.279,11356.922,764.093,-0.284,2.798,0,4483.28,144,318,166061,week0_B06_cluster_1
7.085,0.916,1.069,11365.369,758.776,0.114,0.327,0,4483.28,144,318,166061,week0_B06_cluster_1
24.084,0.724,1.641,11462.3,861.041,-0.035,0.771,0,4483.28,144,318,166061,week0_B06_cluster_1
22.731,0.87,1.28,11394.929,730.963,0.337,1.751,0,4483.28,144,318,166061,week0_B06_cluster_1
9.339,0.846,1.484,11246.933,988.871,-1.297,2.783,0,4483.28,144,318,166061,week0_B06_cluster_1
11.324,0.844,1.344,11417.456,750.852,0.088,-0.042,0,4483.28,144,318,166061,week0_B06_cluster_1
11.29,0.89,1.132,11413.704,654.004,-0.084,1.102,0,4483.28,144,318,166061,week0_B06_cluster_1
7.997,0.842,1.571,11397.985,718.03,0.078,0.516,0,4483.28,144,318,166061,week0_B06_cluster_1
23.344,0.804,1.49,11314.59,720.511,0.024,1.023,0,4483.28,144,318,166061,week0_B06_cluster_1
19.012,0.818,1.357,11300.972,683.007,0.414,0.491,0,4483.28,144,318,166061,week0_B06_cluster_1
18.39,0.776,1.581,11330.386,686.161,0.243,0.738,0,4483.28,144,318,166061,week0_B06_cluster_1
8.144,0.915,1.151,11412.409,500.311,-0.056,0.778,0,4483.28,144,318,166061,week0_B06_cluster_1
6.395,0.832,1.068,11351.702,739.129,-0.379,1.416,0,4483.28,144,318,166061,week0_B06_cluster_1
10.006,0.854,1.179,11432.032,841.39,-0.288,2.435,0,4483.28,144,318,166061,week0_B06_cluster_1
18.375,0.874,1.338,11414.099,702.854,-0.39,1.255,0,4483.28,144,318,166061,week0_B06_cluster_1
8.644,0.861,1.311,11390.029,751.485,-0.062,0.331,0,4483.28,144,318,166061,week0_B06_cluster_1
27.572,0.735,1.354,11413.175,905.866,-0.179,0.583,0,4483.28,144,318,166061,week0_B06_cluster_1
17.184,0.782,1.258,11334.982,647.833,-0.316,0.799,0,4483.28,144,318,166061,week0_B06_cluster_1
8.423,0.887,1.263,11291.771,711.396,-0.146,1.233,0,4483.28,144,318,166061,week0_B06_cluster_1
10.927,0.897,1.117,11426.76,755.139,-0.97,4.079,0,4483.28,144,318,166061,week0_B06_cluster_1
11.275,0.871,1.429,11275.635,774.528,-0.501,0.574,0,4483.28,144,318,166061,week0_B06_cluster_1
23.402,0.813,1.456,11494.726,681.552,-0.241,0.958,0,4483.28,144,318,166061,week0_B06_cluster_1
6.87,0.838,1.607,11428.327,644.386,-0.234,0.679,0,4483.28,144,318,166061,week0_B06_cluster_1
7.556,0.914,1.104,11600.689,1047.381,0.846,0.603,0,4483.28,144,318,166061,week0_B06_cluster_1
9.795,0.906,1.185,11381.245,650.561,0.721,2.384,0,4483.28,144,318,166061,week0_B06_cluster_1
7.845,0.858,1.437,11198.842,555.223,0.448,-0.03,0,4483.28,144,318,166061,week0_B06_cluster_1
20.193,0.883,1.196,11476.18,752.779,-0.085,0.893,0,4483.28,144,318,166061,week0_B06_cluster_1
13.588,0.819,1.4,11400.703,750.709,0.206,1.703,0,4483.28,144,318,166061,week0_B06_cluster_1
13.823,0.892,1.261,11505.275,690.779,-0.746,2.997,0,4483.28,144,318,166061,week0_B06_cluster_1
20.213,0.873,1.274,11474.545,704.188,-0.138,1.742,0,4483.28,144,318,166061,week0_B06_cluster_1
19.678,0.771,1.46,11323.577,544.627,0.059,0.078,0,4483.28,144,318,166061,week0_B06_cluster_1
10.844,0.87,1.156,11389.755,645.876,0.755,2.212,0,4483.28,144,318,166061,week0_B06_cluster_1
10.78,0.815,1.461,11152.627,1186.272,-0.522,1.203,0,4483.28,144,318,166061,week0_B06_cluster_1
9.707,0.863,1.207,11462.771,678.203,-0.676,0.987,0,4483.28,144,318,166061,week0_B06_cluster_1
22.623,0.833,1.413,11417.027,817.495,0.042,1.817,0,4483.28,144,318,166061,week0_B06_cluster_1
21.344,0.812,1.285,11477.38,699.186,0.193,0.582,0,4483.28,144,318,166061,week0_B06_cluster_1
9.305,0.855,1.485,11381.489,848.13,-0.309,0.421,0,4483.28,144,318,166061,week0_B06_cluster_1
6.664,0.809,1.421,11519.263,723.676,0.081,1.319,0,4483.28,144,318,166061,week0_B06_cluster_1
11.789,0.881,1.18,11436.529,849.383,0.057,0.643,0,4483.28,144,318,166061,week0_B06_cluster_1
12.26,0.905,1.079,11380.45,877.384,-0.324,0.816,0,4483.28,144,318,166061,week0_B06_cluster_1
25.157,0.8,1.51,11446.1,874.04,0.068,0.775,0,4483.28,144,318,166061,week0_B06_cluster_1
9.026,0.832,1.43,11395.485,712.478,0.034,0.012,0,4483.28,144,318,166061,week0_B06_cluster_1
6.292,0.889,1.356,11378.659,798.231,0.251,-0.061,0,4483.28,144,318,166061,week0_B06_cluster_1
13.191,0.873,1.23,11501.41,718.914,-0.058,-0.068,0,4483.28,144,318,166061,week0_B06_cluster_1
8.002,0.843,1.373,11481.737,713.249,-0.302,0.048,0,4483.28,144,318,166061,week0_B06_cluster_1
25.191,0.725,1.37,11275.724,764.582,-0.692,2.136,0,4483.28,144,318,166061,week0_B06_cluster_1
8.732,0.885,1.285,11587.442,628.392,0.261,0.848,0,4483.28,144,318,166061,week0_B06_cluster_1
21.055,0.805,1.466,11449.661,767.102,-0.687,3.577,0,4483.28,144,318,166061,week0_B06_cluster_1
24.471,0.85,1.346,11378.502,723.592,0.171,0.415,0,4483.28,144,318,166061,week0_B06_cluster_1
13.495,0.848,1.203,11218.534,903.326,0.585,0.293,0,4483.28,144,318,166061,week0_B06_cluster_1
11.829,0.9,1.159,11409.551,660.612,-0.024,-0.101,0,4483.28,144,318,166061,week0_B06_cluster_1
12.368,0.879,1.256,11463.671,891.218,-0.045,1.07,0,4483.28,144,318,166061,week0_B06_cluster_1
20.389,0.873,1.303,11577.026,547.559,-0.096,0.324,0,4483.28,144,318,166061,week0_B06_cluster_1
7.673,0.831,1.44,11582.801,926.12,-0.47,0.645,0,4483.28,144,318,166061,week0_B06_cluster_1
6.752,0.908,1.173,11344.104,672.384,-0.091,-0.402,0,4483.28,144,318,166061,week0_B06_cluster_1
13.068,0.841,1.25,11585.469,696.03,0.061,-0.103,0,4483.28,144,318,166061,week0_B06_cluster_1
23.545,0.882,1.262,11448.922,630.518,-0.079,0.883,0,4483.28,144,318,166061,week0_B06_cluster_1
19.311,0.831,1.379,11472.219,709.557,-0.399,0.803,0,4483.28,144,318,166061,week0_B06_cluster_1
12.24,0.819,1.087,11473.516,676.647,0.024,0.555,0,4483.28,144,318,166061,week0_B06_cluster_1
6.987,0.84,1.346,11526.07,726.807,0.017,0.387,0,4483.28,144,318,166061,week0_B06_cluster_1
23.569,0.801,1.489,11566.324,741.182,-0.224,1.117,0,4483.28,144,318,166061,week0_B06_cluster_1
8.845,0.87,1.306,11562.4,575.317,-0.046,-0.039,0,4483.28,144,318,166061,week0_B06_cluster_1
14.514,0.882,1.384,11473.833,708.759,0.17,0.257,0,4483.28,144,318,166061,week0_B06_cluster_1
14.793,0.853,1.371,11430.506,758.803,-0.291,0.728,0,4483.28,144,318,166061,week0_B06_cluster_1
22.873,0.806,1.423,11550.802,785.551,0.026,0.468,0,4483.28,144,318,166061,week0_B06_cluster_1
8.041,0.855,1.349,11436.005,670.691,-0.142,0.898,0,4483.28,144,318,166061,week0_B06_cluster_1
18.463,0.827,1.204,11508.458,887.284,0.344,2.677,0,4483.28,144,318,166061,week0_B06_cluster_1
20.639,0.834,1.236,11574.584,656.616,0.083,1.576,0,4483.28,144,318,166061,week0_B06_cluster_1
8.776,0.808,1.51,11460.137,841.002,-0.185,0.401,0,4483.28,144,318,166061,week0_B06_cluster_1
12.373,0.84,1.139,11416.829,1194.229,0.081,2.036,0,4483.28,144,318,166061,week0_B06_cluster_1
6.742,0.885,1.201,11501.182,649.133,0.137,0.146,0,4483.28,144,318,166061,week0_B06_cluster_1
15.063,0.856,1.327,11427.729,693.57,0.245,1.648,0,4483.28,144,318,166061,week0_B06_cluster_1
19.83,0.795,1.429,11542.319,761.844,-0.516,2.948,0,4483.28,144,318,166061,week0_B06_cluster_1
16.841,0.858,1.367,11471.002,795.125,0.009,1.125,0,4483.28,144,318,166061,week0_B06_cluster_1
19.34,0.778,1.431,11552.93,843.724,-0.006,2.523,0,4483.28,144,318,166061,week0_B06_cluster_1
25.073,0.807,1.28,11416.129,724.976,-0.66,0.694,0,4483.28,144,318,166061,week0_B06_cluster_1
