Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
13.24,0.813,1.541,11940.823,1025.147,-0.072,2.294,0,1623.306,49,117,168071,week0_D07_cluster_1
12.598,0.826,1.538,12356.31,1171.333,0.666,0.8,0,1623.306,49,117,168071,week0_D07_cluster_1
18.115,0.804,1.604,12159.663,827.552,-0.176,1.976,0,1623.306,49,117,168071,week0_D07_cluster_1
11.192,0.799,1.626,12365.683,1115.447,1.203,1.658,0,1623.306,49,117,168071,week0_D07_cluster_1
15.592,0.654,2.14,12278.384,673.079,-0.053,0.883,0,1623.306,49,117,168071,week0_D07_cluster_1
8.977,0.865,1.316,12369.971,1206.823,0.983,1.069,0,1623.306,49,117,168071,week0_D07_cluster_1
8.702,0.882,1.364,12453.577,860.59,0.835,2.279,0,1623.306,49,117,168071,week0_D07_cluster_1
13.676,0.798,1.613,12018.023,1058.006,0.174,1.017,0,1623.306,49,117,168071,week0_D07_cluster_1
7.522,0.828,1.567,12701.853,873.975,-0.241,0.597,0,1623.306,49,117,168071,week0_D07_cluster_1
13.847,0.743,1.596,11823.338,1127.779,-0.006,0.017,0,1623.306,49,117,168071,week0_D07_cluster_1
21.359,0.708,2.074,12259.161,1251.748,0.392,0.474,0,1623.306,49,117,168071,week0_D07_cluster_1
13.264,0.679,2.14,11911.768,1114.505,-0.854,2.282,0,1623.306,49,117,168071,week0_D07_cluster_1
16.567,0.867,1.32,12314.241,1027.19,0.068,1.477,0,1623.306,49,117,168071,week0_D07_cluster_1
10.736,0.835,1.246,12484.386,1076.072,0.141,1.39,0,1623.306,49,117,168071,week0_D07_cluster_1
11.314,0.866,1.256,12048.713,1343.688,-0.082,0.513,0,1623.306,49,117,168071,week0_D07_cluster_1
9.516,0.764,1.532,12659.811,651.119,0.406,0.662,0,1623.306,49,117,168071,week0_D07_cluster_1
15.504,0.799,1.689,12595.799,735.408,0.625,4.045,0,1623.306,49,117,168071,week0_D07_cluster_1
13.7,0.773,1.324,12680.152,841.345,-0.49,0.968,0,1623.306,49,117,168071,week0_D07_cluster_1
12.446,0.854,1.127,12374.214,987.878,-0.069,0.75,0,1623.306,49,117,168071,week0_D07_cluster_1
21.79,0.841,1.336,12332.897,875.858,0.101,0.439,0,1623.306,49,117,168071,week0_D07_cluster_1
11.412,0.753,1.754,12609.528,654.379,-0.257,0.517,0,1623.306,49,117,168071,week0_D07_cluster_1
14.132,0.808,1.61,11731.842,1325.106,-0.467,-0.0003941,0,1623.306,49,117,168071,week0_D07_cluster_1
13.779,0.836,1.69,12510.685,821.999,-0.138,1.144,0,1623.306,49,117,168071,week0_D07_cluster_1
11.74,0.897,1.286,11968.009,848.411,-0.178,0.933,0,1623.306,49,117,168071,week0_D07_cluster_1
