Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
19.786,0.824,1.54,11318.586,991.823,-0.096,0.329
21.678,0.777,1.799,11294.158,1248.374,-0.282,1.475
18.277,0.825,1.673,11322.109,1453.31,0.048,-0.588
23.54,0.743,2.001,11191.097,1343.292,-0.456,0.227
20.051,0.71,2.116,11674.86,1283.478,-0.076,0.111
18.625,0.769,1.888,11544.92,1338.339,0.278,0.14
20.492,0.727,2.239,11275.922,1253.473,-0.746,0.826
15.494,0.709,2.33,11780.487,876.354,-0.235,0.434
30.552,0.785,1.785,11565.449,1499.429,0.221,0.604
23.314,0.785,1.665,11868.873,1381.687,0.52,0.243
19.801,0.767,1.897,11652.738,1510.969,0.456,0.373
20.041,0.754,1.93,11543.115,1247.301,0.529,1.676
22.197,0.768,1.784,11652.084,1194.657,-0.082,-0.302
22.623,0.701,2.069,11051.307,1235.933,-0.358,1.367
20.276,0.748,1.889,11821.687,1582.789,-0.252,1.064
12.51,0.701,2.157,11949.146,1336.813,0.423,0.063
22.491,0.786,1.801,11825.976,1216.229,0.506,1.074
23.265,0.806,1.505,11483.106,1295.868,0.305,1.519
27.714,0.75,1.994,11817.402,1254.561,0.375,0.303
19.933,0.804,1.566,11805.773,1662.031,-0.3,-0.465
19.473,0.784,1.78,11689.961,1305.88,-0.202,1.099
14.622,0.759,1.564,12122.765,1920.266,-0.03,-0.355
20.164,0.725,2.327,11893.244,1254.567,0.111,0.381
17.361,0.804,1.458,12432.13,1933.273,0.136,-0.333
27.014,0.77,1.722,12353.512,1813.409,0.434,-0.534
16.783,0.712,2.251,12153.613,1612.799,0.483,0.369
15.881,0.692,1.935,12120.702,1682.938,0.512,-0.504
26.455,0.856,1.289,11703.859,1485.821,0.014,-0.12
18.669,0.796,1.813,11121.01,1123.105,-0.039,-0.189
30.115,0.818,1.533,11911.212,1678.601,0.243,-0.21
25.47,0.732,1.621,11971.356,1589.418,0.311,-0.097
19.634,0.8,1.565,11972.099,1407.781,0.455,-0.173
14.068,0.689,2.344,11389.665,985.506,-0.6,0.03
25.975,0.815,1.552,11798.386,1164.86,0.41,1.071
20.923,0.799,1.779,10972.939,1119.439,-0.55,0.82
16.038,0.654,2.538,11597.15,1655.197,0.299,-0.138
23.643,0.777,1.658,11940.183,1275.036,0.424,1.105
26.176,0.787,1.318,11731.839,1594.203,0.731,0.867
22.403,0.797,1.767,11725.324,1561.784,-0.121,-0.035
16.959,0.744,1.919,11902.962,1403.132,0.088,0.778
22.707,0.676,2.115,11111.839,1344.836,0.022,1.177
14.132,0.753,1.787,11567.522,1602.343,0.547,0.29
20.139,0.8,1.644,11754.19,1404.712,0.293,0.112
27.739,0.786,1.636,11964.557,1594.442,0.277,0.87
22.496,0.711,2.062,11634.066,1529.045,0.348,0.54
14.808,0.633,2.582,12158.079,1693.996,-0.053,-0.42
23.647,0.824,1.546,11971.448,1406.751,0.267,0.218
25.671,0.816,1.597,11243.598,1005.511,0.626,2.16
29.493,0.849,1.23,11940.694,1591.758,-0.009,0.185
23.035,0.809,1.603,11209.743,1489.461,0.35,0.116
20.409,0.757,1.955,11771.261,1443.891,0.566,0.619
32.404,0.818,1.544,12058.169,1820.8,0.265,-0.043
14.137,0.805,1.742,11770.694,1504.363,0.931,0.731
15.156,0.789,1.307,11870.199,2316.975,-0.024,-0.569
14.279,0.835,1.528,11243.976,1089.048,0.2,0.639
12.319,0.724,2.162,12552.093,1401.962,0.402,-0.381
17.679,0.743,1.46,12194.207,1353.417,0.246,0.047
14.7,0.778,1.735,12028.579,1767.786,0.572,-0.35
18.787,0.726,1.972,12320.207,1788.02,0.141,-0.248
18.547,0.693,2.188,11950.549,1306.831,0.167,-0.352
19.723,0.799,1.622,11661.713,1681.202,0.514,-0.121
19.331,0.709,1.839,11271.192,1067.762,0.278,0.494
16.253,0.741,2.001,12082.475,1445.941,0.181,1.475
20.046,0.788,1.513,11307.335,1735.965,0.477,0.024
