Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
18.684,0.776,1.92,11594.23,978.183,-0.172,0.893
16.538,0.743,2.084,11675.372,1288.939,0.295,0.76
10.413,0.776,1.847,11621.838,1126.714,0.087,-0.402
18.551,0.756,1.932,11255.32,861.172,-0.328,1.009
24.828,0.817,1.663,11794.557,892.4,-0.164,1.062
11.344,0.772,1.979,10947.462,2490.925,0.725,-0.388
26.529,0.779,1.73,11549.746,930.111,0.15,1.739
20.487,0.731,1.969,11895.295,1234.037,0.292,0.063
18.924,0.86,1.39,11897.229,1339.987,0.504,1.049
27.563,0.747,1.919,11937.23,1170.046,-0.049,0.734
21.202,0.704,2.175,11543.138,1186.793,0.323,1.179
22.339,0.737,2.145,11933.023,1060.201,-0.234,0.984
24.539,0.724,2.091,12080.871,1360.479,0.614,1.036
14.774,0.646,2.48,11574.45,2019.37,0.428,-0.358
10.354,0.802,1.6,11598.562,2086.925,0.694,0.183
28.273,0.714,2.032,11873.964,967.384,-0.296,1.673
8.864,0.813,1.766,11959.138,1006.254,-0.438,0.03
12.892,0.714,2.198,11088.248,1367.926,0.581,1.308
19.419,0.733,2.053,11634.369,1103.44,0.757,1.64
12.162,0.609,2.573,10866.129,1179.093,-0.544,0.63
16.861,0.687,2.326,11767.195,914.811,0.263,0.224
19.389,0.779,1.681,11456.593,1186.665,-0.005,-0.333
20.467,0.747,1.987,11907.376,1004.446,-0.482,0.149
21.227,0.708,2.256,11651.555,1067.121,0.391,0.897
11.971,0.786,1.79,11265.465,1474.87,1.026,1.269
18.066,0.709,2.316,11549.107,883.529,-0.268,0.294
21.962,0.782,1.721,11648.527,1620.841,0.289,0.167
6.331,0.759,1.632,11840.05,1809.79,0.367,-0.158
19.135,0.796,1.697,11728.988,1091.837,0.851,3.003
25.098,0.753,1.593,12006.665,1191.669,0.173,0.135
7.762,0.743,2.006,11920.167,984.595,0.838,0.894
18.792,0.765,1.947,11896.749,910.971,-0.602,0.626
20.134,0.74,1.995,11771.931,1187.148,0.292,0.86
19.517,0.741,1.894,11993.974,1308.614,0.351,0.589
33.511,0.808,1.433,11981.013,1077.026,-0.112,0.277
16.195,0.693,2.326,11356.225,1854.234,0.628,0.311
20.678,0.629,2.52,11658.189,925.068,-0.069,-0.013
30.792,0.74,1.695,11964.437,1105.526,0.147,1.042
32.32,0.847,1.315,11970.584,1023.855,0.307,1.944
18.654,0.756,1.663,12118.022,1151.936,0.28,0.761
9.624,0.76,1.882,11520.644,1204.316,0.027,0.266
25.382,0.696,1.793,12317.141,1253.026,0.014,1.453
14.024,0.68,1.996,11870.527,1221.401,0.112,-0.161
22.467,0.75,1.993,11699.253,938.191,-0.571,0.335
24.774,0.795,1.541,12066.956,1113.209,0.145,0.233
17.748,0.743,1.887,11798.477,1059.859,-0.43,0.427
19.448,0.805,1.723,12230.264,1465.729,0.372,0.531
24.525,0.788,1.364,12042.67,971.451,0.054,0.652
26.739,0.79,1.584,12163.81,1142.304,0.271,0.622
16.371,0.787,1.857,12239.136,1120.69,-0.359,0.448
16.469,0.762,2.068,11644.427,860.237,-1.259,1.335
19.522,0.813,1.571,11930.035,1064.616,-0.333,0.195
16.915,0.835,1.593,12008.218,979.72,-0.336,1.053
13.593,0.793,1.653,12040.618,1111.358,0.723,1.517
22.932,0.661,2.171,12288.216,1056.929,-0.071,1.53
17.586,0.723,2.114,11699.553,799.222,-0.519,1.053
20.389,0.824,1.649,12087.413,1038.768,0.005,0.057
18.155,0.758,1.878,11915.812,1011.977,-0.398,-0.057
11.177,0.7,2.276,11331.371,1399.732,-0.376,0.061
19.507,0.78,1.816,11991.406,959.39,-0.71,0.595
19.732,0.798,1.66,12068.688,1347.222,0.426,0.696
17.032,0.727,2.167,12158.362,1057.946,-0.253,0.532
22.168,0.769,1.944,12185.474,847.928,-1.149,3.018
