Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
17.17,0.744,2.092,10990.071,1115.988,0.243,0.604,16,5801.316,170,304,367021,week16_C02_cluster_1
20.266,0.801,1.787,11100.352,990.969,-0.558,1.272,16,5801.316,170,304,367021,week16_C02_cluster_1
21.746,0.706,2.227,11194.674,886.796,-0.009,0.11,16,5801.316,170,304,367021,week16_C02_cluster_1
17.679,0.746,1.745,11112.101,1007.349,0.259,0.575,16,5801.316,170,304,367021,week16_C02_cluster_1
12.931,0.656,2.309,11095.327,1470.784,1.645,3.806,16,5801.316,170,304,367021,week16_C02_cluster_1
15.014,0.797,1.738,11663.229,1251.522,0.954,1.535,16,5801.316,170,304,367021,week16_C02_cluster_1
25.887,0.747,1.996,11388.698,1109.49,0.041,0.713,16,5801.316,170,304,367021,week16_C02_cluster_1
23.05,0.756,2.009,11444.072,1103.769,-0.544,0.922,16,5801.316,170,304,367021,week16_C02_cluster_1
19.453,0.787,1.817,11556.939,1335.417,0.598,1.717,16,5801.316,170,304,367021,week16_C02_cluster_1
18.703,0.789,1.751,11196.232,1020.062,0.915,2.227,16,5801.316,170,304,367021,week16_C02_cluster_1
21.589,0.673,2.13,11742.446,1379.847,0.717,1.079,16,5801.316,170,304,367021,week16_C02_cluster_1
32.115,0.742,2.083,11489.227,1104.86,-0.247,1.201,16,5801.316,170,304,367021,week16_C02_cluster_1
19.139,0.63,2.267,11189.299,1162.776,-0.346,0.33,16,5801.316,170,304,367021,week16_C02_cluster_1
20.698,0.777,1.494,11420.094,1168.997,0.718,2.254,16,5801.316,170,304,367021,week16_C02_cluster_1
17.062,0.763,1.892,11632.709,1495.491,0.911,1.105,16,5801.316,170,304,367021,week16_C02_cluster_1
16.734,0.835,1.365,11413.739,1433.107,0.027,0.392,16,5801.316,170,304,367021,week16_C02_cluster_1
24.926,0.757,2.012,11387.931,1091.871,-0.017,1.466,16,5801.316,170,304,367021,week16_C02_cluster_1
7.816,0.656,2.236,12357.483,1952.034,0.392,-0.847,16,5801.316,170,304,367021,week16_C02_cluster_1
23.344,0.854,1.474,11513.728,1297.266,0.658,0.675,16,5801.316,170,304,367021,week16_C02_cluster_1
19.825,0.73,2.141,11374.597,1257.665,0.071,0.525,16,5801.316,170,304,367021,week16_C02_cluster_1
18.326,0.797,1.618,11713.327,1732.691,0.571,-0.045,16,5801.316,170,304,367021,week16_C02_cluster_1
23.153,0.783,1.7,11425.986,1241.666,0.585,1.118,16,5801.316,170,304,367021,week16_C02_cluster_1
20.56,0.785,1.651,11844.987,1453.254,0.428,0.408,16,5801.316,170,304,367021,week16_C02_cluster_1
6.38,0.834,1.1,10196.655,1045.441,0.623,2.741,16,5801.316,170,304,367021,week16_C02_cluster_1
41.454,0.84,1.221,11959.041,1152.998,0.606,1.486,16,5801.316,170,304,367021,week16_C02_cluster_1
17.508,0.691,2.211,11443.004,1029.527,0.441,1.435,16,5801.316,170,304,367021,week16_C02_cluster_1
15.866,0.763,1.87,11163.188,1074.071,-0.355,0.577,16,5801.316,170,304,367021,week16_C02_cluster_1
17.772,0.634,2.365,11605.946,1591.609,0.09,0.165,16,5801.316,170,304,367021,week16_C02_cluster_1
16.087,0.787,1.768,11430.828,1194.211,0.336,-0.007,16,5801.316,170,304,367021,week16_C02_cluster_1
22.114,0.638,2.57,11591.234,1132.42,0.088,1.315,16,5801.316,170,304,367021,week16_C02_cluster_1
23.545,0.84,1.343,11633.351,1170.866,-0.019,-0.184,16,5801.316,170,304,367021,week16_C02_cluster_1
15.783,0.699,1.837,11732.322,1431.484,0.407,0.227,16,5801.316,170,304,367021,week16_C02_cluster_1
12.608,0.664,2.297,11889.418,1185.622,0.245,-0.241,16,5801.316,170,304,367021,week16_C02_cluster_1
21.81,0.692,2.397,11636.328,1056.989,0.212,-0.031,16,5801.316,170,304,367021,week16_C02_cluster_1
31.056,0.864,1.207,11818.486,1095.041,-0.619,1.154,16,5801.316,170,304,367021,week16_C02_cluster_1
15.665,0.76,1.767,11510.205,1049.947,0.083,0.282,16,5801.316,170,304,367021,week16_C02_cluster_1
11.721,0.754,1.782,11343.938,1638.364,0.291,0.091,16,5801.316,170,304,367021,week16_C02_cluster_1
15.861,0.756,2.121,11499.221,963.445,-0.556,0.751,16,5801.316,170,304,367021,week16_C02_cluster_1
21.335,0.721,2.107,11626.356,1307.056,0.149,-0.153,16,5801.316,170,304,367021,week16_C02_cluster_1
21.001,0.749,1.781,11886.183,1667.531,0.465,0.48,16,5801.316,170,304,367021,week16_C02_cluster_1
20.585,0.778,1.891,11475.808,1083.046,0.086,0.137,16,5801.316,170,304,367021,week16_C02_cluster_1
21.315,0.621,2.179,12113.274,1698.371,0.59,0.176,16,5801.316,170,304,367021,week16_C02_cluster_1
