Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
18.894,0.776,1.945,11199.055,1190.837,-0.058,-0.431,16,3301.106,84,195,369021,week16_E02_cluster_1
17.812,0.844,1.554,11203.7,1218.417,0.252,0.154,16,3301.106,84,195,369021,week16_E02_cluster_1
17.003,0.791,1.853,11196.493,996.694,0.1,-0.052,16,3301.106,84,195,369021,week16_E02_cluster_1
12.701,0.809,1.649,11088.112,1265.25,0.529,0.617,16,3301.106,84,195,369021,week16_E02_cluster_1
21.928,0.764,1.841,11354.223,1336.752,0.096,0.28,16,3301.106,84,195,369021,week16_E02_cluster_1
19.904,0.869,1.311,11370.243,1143.862,0.748,0.559,16,3301.106,84,195,369021,week16_E02_cluster_1
21.683,0.787,1.854,11668.945,1435.076,0.63,0.727,16,3301.106,84,195,369021,week16_E02_cluster_1
13.627,0.672,2.467,10874.57,1091.238,-0.44,-0.297,16,3301.106,84,195,369021,week16_E02_cluster_1
19.09,0.633,2.151,11400.165,1263.915,-0.37,0.097,16,3301.106,84,195,369021,week16_E02_cluster_1
11.295,0.82,1.662,10814.338,1665.809,0.357,0.96,16,3301.106,84,195,369021,week16_E02_cluster_1
16.449,0.836,1.418,11146.872,1445.548,0.923,1.732,16,3301.106,84,195,369021,week16_E02_cluster_1
8.693,0.844,1.41,10137.178,1957.385,0.789,0.615,16,3301.106,84,195,369021,week16_E02_cluster_1
30.968,0.752,1.796,11520.934,1461.092,-0.111,-0.14,16,3301.106,84,195,369021,week16_E02_cluster_1
17.601,0.711,2.21,11177.28,1155.791,0.774,2.222,16,3301.106,84,195,369021,week16_E02_cluster_1
16.675,0.759,2.008,11408.141,1388.11,0.515,0.525,16,3301.106,84,195,369021,week16_E02_cluster_1
11.956,0.791,1.713,11598.406,1589.958,0.84,1.036,16,3301.106,84,195,369021,week16_E02_cluster_1
7.776,0.841,1.387,11067.973,1321.001,-0.103,-0.146,16,3301.106,84,195,369021,week16_E02_cluster_1
22.369,0.784,1.562,11347.052,1329.585,0.198,0.113,16,3301.106,84,195,369021,week16_E02_cluster_1
17.194,0.721,1.97,11189.683,1536.751,0.439,-0.121,16,3301.106,84,195,369021,week16_E02_cluster_1
15.381,0.801,1.646,11447.501,1642.082,0.626,0.191,16,3301.106,84,195,369021,week16_E02_cluster_1
18.052,0.651,2.155,11333.933,979.98,0.245,1.037,16,3301.106,84,195,369021,week16_E02_cluster_1
9.143,0.697,1.757,9312.905,1531.817,0.273,-0.381,16,3301.106,84,195,369021,week16_E02_cluster_1
16.444,0.746,1.976,11225.794,1008.358,-0.018,-0.26,16,3301.106,84,195,369021,week16_E02_cluster_1
23.662,0.679,2.331,11508.979,1283.612,0.414,0.699,16,3301.106,84,195,369021,week16_E02_cluster_1
20.188,0.763,1.923,10956.072,1243.787,-0.581,0.718,16,3301.106,84,195,369021,week16_E02_cluster_1
20.864,0.692,2.073,11438.289,1349.162,0.298,0.079,16,3301.106,84,195,369021,week16_E02_cluster_1
18.248,0.746,1.97,10823.835,1240.474,-0.289,-0.003,16,3301.106,84,195,369021,week16_E02_cluster_1
23.202,0.646,2.477,11392.665,1590.768,-0.02,-0.325,16,3301.106,84,195,369021,week16_E02_cluster_1
16.381,0.738,2.025,11544.837,1680.499,0.799,0.449,16,3301.106,84,195,369021,week16_E02_cluster_1
11.838,0.842,1.365,11818.119,1621.703,0.473,0.067,16,3301.106,84,195,369021,week16_E02_cluster_1
18.498,0.809,1.588,11508.569,1116.884,0.395,1.272,16,3301.106,84,195,369021,week16_E02_cluster_1
21.947,0.692,2.326,11457.528,1224.342,0.054,0.494,16,3301.106,84,195,369021,week16_E02_cluster_1
15.366,0.84,1.228,11343.139,1506.64,1.122,2.234,16,3301.106,84,195,369021,week16_E02_cluster_1
20.698,0.75,1.977,11468.767,1352,0.05,-0.203,16,3301.106,84,195,369021,week16_E02_cluster_1
25.323,0.701,1.964,11268.574,1320.471,0.6,1.521,16,3301.106,84,195,369021,week16_E02_cluster_1
7.311,0.696,1.946,10185.027,1762.498,0.44,0.725,16,3301.106,84,195,369021,week16_E02_cluster_1
18.444,0.701,2.279,11021.75,1440.618,0.098,0.758,16,3301.106,84,195,369021,week16_E02_cluster_1
14.896,0.737,2.041,11112.355,1055.427,-0.119,0.609,16,3301.106,84,195,369021,week16_E02_cluster_1
20.874,0.81,1.664,11549.762,1378.157,0.408,0.193,16,3301.106,84,195,369021,week16_E02_cluster_1
16.449,0.749,2.09,11221.331,974.159,0.032,-0.099,16,3301.106,84,195,369021,week16_E02_cluster_1
14.94,0.679,2.425,11135.989,1035.554,0.416,1.558,16,3301.106,84,195,369021,week16_E02_cluster_1
17.454,0.776,1.649,11430.079,1354.756,-0.228,0.026,16,3301.106,84,195,369021,week16_E02_cluster_1
7.644,0.803,1.655,10835.34,1445.249,0.183,-0.396,16,3301.106,84,195,369021,week16_E02_cluster_1
