Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
16,3301.106,84,195,369021,week16_E02_cluster_1
