Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
23.368,0.74,1.871,12862.797,787.159,-0.349,1.789,24,3430.074,61,168,465072,week24_A07_cluster_2
21.707,0.737,2.012,12708.559,524.307,-0.623,1.096,24,3430.074,61,168,465072,week24_A07_cluster_2
10.79,0.734,1.344,12864.048,1003.235,0.237,1.914,24,3430.074,61,168,465072,week24_A07_cluster_2
10.261,0.72,2.208,12461.948,571.178,0.047,-0.048,24,3430.074,61,168,465072,week24_A07_cluster_2
19.811,0.764,1.879,12692.264,626.262,0.191,1.422,24,3430.074,61,168,465072,week24_A07_cluster_2
12.882,0.706,1.845,12473.459,1159.22,-1.397,2.283,24,3430.074,61,168,465072,week24_A07_cluster_2
10.06,0.825,1.594,12946.574,736.53,-0.403,0.54,24,3430.074,61,168,465072,week24_A07_cluster_2
21.707,0.798,1.661,12413.566,895.466,0.559,1.72,24,3430.074,61,168,465072,week24_A07_cluster_2
12.49,0.741,1.995,12720.918,1100.131,-0.971,1.022,24,3430.074,61,168,465072,week24_A07_cluster_2
16.753,0.685,1.878,12242.341,709.232,-0.477,3.952,24,3430.074,61,168,465072,week24_A07_cluster_2
29.635,0.812,1.484,12875.963,897.013,-0.021,1.883,24,3430.074,61,168,465072,week24_A07_cluster_2
27.019,0.753,2,12700.761,811.399,-0.047,2.857,24,3430.074,61,168,465072,week24_A07_cluster_2
19.821,0.75,1.781,12849.649,695.027,-0.06,0.598,24,3430.074,61,168,465072,week24_A07_cluster_2
28.464,0.763,1.622,12797.262,696.278,0.166,2.627,24,3430.074,61,168,465072,week24_A07_cluster_2
19.482,0.858,1.397,12635.862,857.111,-0.491,1.916,24,3430.074,61,168,465072,week24_A07_cluster_2
21.139,0.812,1.664,12634.152,657.956,-0.263,-0.347,24,3430.074,61,168,465072,week24_A07_cluster_2
15.685,0.745,2.111,12994.731,882.736,0.42,0.769,24,3430.074,61,168,465072,week24_A07_cluster_2
23.873,0.784,1.413,12514.337,1300.192,-0.502,-0.026,24,3430.074,61,168,465072,week24_A07_cluster_2
14.705,0.769,1.536,12550.565,619.638,0.164,0.211,24,3430.074,61,168,465072,week24_A07_cluster_2
21.8,0.706,2.056,13016.727,823.463,-0.293,0.565,24,3430.074,61,168,465072,week24_A07_cluster_2
20.389,0.771,1.682,12569.615,640.766,0.486,0.542,24,3430.074,61,168,465072,week24_A07_cluster_2
19.737,0.845,1.459,12843.824,739.886,-0.047,0.455,24,3430.074,61,168,465072,week24_A07_cluster_2
22.202,0.811,1.602,13014.51,607.016,0.263,0.964,24,3430.074,61,168,465072,week24_A07_cluster_2
12.48,0.801,1.814,13098.718,429.213,0.01,-0.156,24,3430.074,61,168,465072,week24_A07_cluster_2
29.229,0.762,1.853,12776.345,726.89,-0.475,2.082,24,3430.074,61,168,465072,week24_A07_cluster_2
15.509,0.844,1.497,12606.365,1179.051,-0.628,1.372,24,3430.074,61,168,465072,week24_A07_cluster_2
21.408,0.827,1.502,12909.428,713.191,0.33,1.646,24,3430.074,61,168,465072,week24_A07_cluster_2
25.882,0.773,1.83,12688.83,862.684,-0.008,1.531,24,3430.074,61,168,465072,week24_A07_cluster_2
20.654,0.792,1.685,13093.962,688.675,0.369,0.557,24,3430.074,61,168,465072,week24_A07_cluster_2
23.711,0.794,1.791,12974.083,693.954,-0.282,1.209,24,3430.074,61,168,465072,week24_A07_cluster_2
9.482,0.793,1.756,12711.454,865.34,0.576,0.448,24,3430.074,61,168,465072,week24_A07_cluster_2
6.963,0.752,1.203,12625.336,981.541,0.371,0.31,24,3430.074,61,168,465072,week24_A07_cluster_2
25.892,0.752,1.928,12718.596,706.847,-0.812,2.011,24,3430.074,61,168,465072,week24_A07_cluster_2
24.99,0.822,1.273,12687.816,934.566,-0.121,1.703,24,3430.074,61,168,465072,week24_A07_cluster_2
27.881,0.847,1.442,13047.94,854.372,-0.324,1.382,24,3430.074,61,168,465072,week24_A07_cluster_2
18.743,0.811,1.725,13115.089,832.457,1.112,2.402,24,3430.074,61,168,465072,week24_A07_cluster_2
25.955,0.767,1.936,12946.941,815.174,-0.294,0.35,24,3430.074,61,168,465072,week24_A07_cluster_2
7.262,0.83,1.561,12742.618,1291.72,0.514,0.121,24,3430.074,61,168,465072,week24_A07_cluster_2
25.269,0.877,1.241,12590.152,857.107,-0.269,1.651,24,3430.074,61,168,465072,week24_A07_cluster_2
27.891,0.695,1.518,12838.532,884.919,-0.027,4.093,24,3430.074,61,168,465072,week24_A07_cluster_2
