Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
24,18972.967,434,884,466081,week24_B08_cluster_1
