Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
25.946,0.815,1.649,11268.959,710.117,-0.36,0.933
26.519,0.761,1.94,11379.672,728.276,-0.74,2.27
19.571,0.788,1.869,11575.906,626.68,-0.094,0.534
16.332,0.779,1.894,11472.508,605.264,0.716,2.88
19.556,0.782,1.677,11514.499,726.073,0.797,3.347
12.627,0.794,1.757,11419.459,693.274,-0.249,1.656
26.769,0.756,1.725,11583.015,658.689,-0.1,1.853
24.961,0.798,1.807,11463.577,627.925,-0.164,0.133
20.727,0.856,1.505,11406.23,805.64,0.471,2.682
24.823,0.771,1.929,11376.225,932.532,-0.496,2.386
24.005,0.857,1.027,11441.206,755.466,0.518,1.314
28.582,0.886,1.156,11566.637,562.206,-0.229,0.381
25.887,0.822,1.634,11613.808,647.635,0.305,0.506
31.115,0.851,1.359,11554.988,712.189,-0.114,1.041
27.636,0.837,1.514,11402.332,698.729,-0.034,3.071
25.318,0.884,1.339,11316.772,871.419,-0.078,0.503
30.385,0.762,1.679,11344.919,585.768,-0.647,1.038
27.71,0.775,1.821,11367.566,663.956,-0.12,2.849
21.114,0.8,1.736,11349.555,676.15,0.006,0.534
32.409,0.863,1.268,11422.928,565.578,-0.077,0.619
19.272,0.83,1.552,11434.316,708.832,0.58,1.727
32.61,0.861,1.408,11441.717,580.213,-0.944,4.121
27.126,0.751,1.411,11436.689,734.038,0.127,0.788
17.336,0.729,2.112,11343.248,782.202,0.039,0.461
27.224,0.811,1.595,11458.131,714.01,-0.709,1.597
39.357,0.831,1.576,11450.041,678.151,-0.255,1.493
23.633,0.851,1.385,11794.694,785.819,1.115,3.17
6.517,0.861,1.291,11108.323,901.171,-0.042,-0.137
22.251,0.775,1.929,11320.044,608.433,-0.432,0.736
32.423,0.784,1.854,11465.494,609.368,0.16,1.297
14.009,0.776,1.693,11300.019,726.454,0.768,2.207
24.735,0.74,1.945,11525.421,683.505,-0.014,0.672
30.61,0.845,1.525,11386.289,684.467,-0.383,1.53
31.566,0.733,1.793,11473.201,719.357,0.206,0.986
31.556,0.821,1.583,11244.391,825.417,0.214,1.343
27.46,0.785,1.8,11383.563,807.321,-0.623,1.227
25.99,0.722,1.982,11364.061,712.784,-0.634,3.112
26.759,0.777,1.834,11467.883,670.162,-0.096,1.303
16.758,0.857,1.423,11400.125,772.526,-0.241,0.083
33.864,0.853,1.31,11498.187,822.66,-0.297,1.261
32.938,0.795,1.447,11350.688,636.379,-0.172,1.264
34.839,0.802,1.704,11557.216,700.502,-0.51,2.987
22.565,0.833,1.591,11364.917,724.619,-0.095,1.012
26.602,0.785,1.479,11401.98,678.999,-0.067,1.713
31.306,0.734,1.454,11396.474,854.323,0.567,4.062
22.226,0.772,1.432,11599.453,767.263,1.197,5.586
23.045,0.849,1.518,11216.492,877.786,-0.012,1.633
32.311,0.767,1.669,11451.835,732.088,-0.416,1.357
30.772,0.859,1.23,11573.496,614.402,-0.402,1.608
29.268,0.749,1.753,11376.172,628.516,-0.614,1.447
25.598,0.857,1.466,11641.653,699.833,0.182,0.928
25.23,0.807,1.579,11491.104,851.708,1.104,4.099
18.943,0.8,1.676,11263.275,593.136,-0.242,0.583
27.175,0.791,1.601,11567.322,614.599,0.309,0.906
16.508,0.709,2.006,11253.417,573.566,0.297,1.289
25.397,0.785,1.724,11579.985,632.3,-0.264,0.169
17.748,0.795,1.682,11313.199,787.395,-0.625,0.174
26.494,0.829,1.609,11515.567,618.663,0.122,1.492
28.048,0.806,1.686,11414.233,657.539,0.462,2.373
28.66,0.698,1.813,11232.411,784.88,-0.343,2.58
19.267,0.783,1.616,11342.637,709.243,-0.066,1.14
21.717,0.838,1.47,11400.975,670.923,-0.017,1.172
11.201,0.727,1.827,11277.79,692.562,0.559,0.791
29.366,0.777,1.603,11744.387,784.452,0.465,3.806
22.471,0.738,1.989,11366.229,677.287,-0.797,4.215
23.226,0.751,2.055,11235.002,695.986,0.027,1.447
25.034,0.846,1.329,11521.139,719.48,-0.638,1.942
30.042,0.882,1.192,11721.568,590.338,0.509,2.572
18.669,0.799,1.759,11181.634,687.154,-0.503,0.634
27.528,0.888,1.295,11716.446,674.216,-0.092,0.93
26.097,0.794,1.747,11282.847,815.531,0.023,3.003
32.565,0.808,1.388,11388.863,789.012,0.362,5.287
7.414,0.771,1.458,11471.877,976.478,0.033,0.751
25.48,0.758,1.468,11515.78,622.247,0.49,2.208
26.445,0.712,1.835,11496.68,709.765,0.972,4.128
17.39,0.794,1.775,11573.903,750.371,-0.495,0.597
19.105,0.73,1.972,11434.289,811.046,0.366,2.444
18.517,0.843,1.454,11382.3,593.555,0.349,1.972
13.191,0.829,1.492,11529.658,701.748,-0.076,0.335
28.719,0.874,1.349,11289.117,873.962,-0.336,1.515
27.479,0.858,1.448,11210.556,732.037,0.173,0.802
26.063,0.802,1.278,11354.426,895.673,-0.405,1.364
18.841,0.813,1.741,11289.115,837.833,0.864,2.711
32.938,0.883,1.192,11353.433,664.011,0.369,1.71
10.947,0.794,1.738,11535.308,677.325,0.092,0.152
24.907,0.82,1.585,11539.772,831.628,1.104,4.129
17.787,0.833,1.645,11224.259,794.105,0.024,0.853
32.316,0.865,1.372,11871.624,676.456,0.515,2.199
26.313,0.808,1.605,11598.831,732.851,-0.33,0.532
17.665,0.823,1.473,11386.693,715.017,-0.669,0.498
20.409,0.773,1.69,11407.411,705.524,1.553,9.727
33.036,0.79,1.402,11723.46,742.539,-0.312,3.549
29.586,0.812,1.421,11324.343,720.114,-0.23,1.093
26.877,0.816,1.554,11794.536,603.003,0.628,3.08
12.201,0.838,1.501,11193.575,659.145,-0.511,-0.13
19.698,0.765,1.626,11380.536,868.715,0.533,0.603
14.337,0.762,1.769,11351.609,795.578,2.316,9.738
32.722,0.778,1.58,11444.195,723.956,-0.377,2.891
21.687,0.801,1.688,11349.807,684.135,-0.12,0.325
27.082,0.725,1.723,11372.206,762.529,-0.314,1.692
19.904,0.772,1.84,11397.906,796.089,0.177,2.168
27.376,0.815,1.718,11404.025,768.016,-0.108,0.308
38.95,0.854,1.364,11816.457,588.8,-0.879,1.59
36.637,0.821,1.499,11533.233,735.571,0.256,4.056
28.057,0.782,1.442,11418.866,796.781,-0.084,0.904
23.716,0.836,1.456,11750.823,799.936,-0.762,1.596
25.681,0.717,1.852,11693.605,786.073,1.103,3.983
25.279,0.839,1.544,11299.665,723.786,-0.48,1.049
13.446,0.699,2.309,11108.343,814.321,0.016,0.63
37.049,0.778,1.655,11789.961,811.24,-0.241,1.518
26.308,0.842,1.53,11309.798,585.407,0.366,1.184
6.395,0.857,1.509,10860.467,808.462,-0.119,0.303
41.136,0.864,1.328,11467.166,722.287,-0.846,5.401
30.493,0.866,1.31,11917.849,706.515,-0.222,3.072
21.085,0.829,1.216,11724.195,941.234,0.843,2.236
29.184,0.742,1.565,11404.673,929.489,0.63,2.977
35.554,0.787,1.493,11689.299,707.11,-0.68,2.108
22.491,0.817,1.64,11405.444,582.154,0.214,1.069
26.651,0.809,1.564,11391.935,735.573,0.068,0.919
30.875,0.857,1.342,11855.252,690.734,-0.699,4.063
9.447,0.832,1.261,11997.367,625.997,-0.17,-0.368
10.927,0.817,1.264,11625.843,976.425,-0.524,1.037
13.509,0.84,1.47,11193.249,876.224,0.502,1.361
27.499,0.794,1.47,11706.701,656.558,-0.438,1.19
27.773,0.833,1.318,11403.604,641.102,-0.332,1.434
24.662,0.781,1.728,11628.943,715.665,-0.914,4.15
31.581,0.803,1.43,11729.177,764.384,0.423,1.834
31.786,0.853,1.238,11465.939,776.523,0.743,4.456
22.54,0.816,1.639,11879.111,793.766,-0.097,5.319
28.273,0.649,1.513,11868.589,564.997,0.742,5.802
14.396,0.698,2.077,11773.995,636.247,-0.104,0.691
29.836,0.858,1.362,11327.273,620.44,-1.19,2.426
27.224,0.744,1.461,11706.24,759.493,-0.812,3.8
24.907,0.806,1.561,11459.602,557.609,-0.138,1.605
21.232,0.788,1.802,11357.069,652.638,-0.273,0.48
21.516,0.858,1.416,11821.793,576.503,-0.176,0.799
27.612,0.849,1.457,11322.076,713.473,-0.311,0.677
26.494,0.71,1.661,11777.256,684.261,0.52,4.354
25.088,0.774,1.531,11707.369,806.152,0.624,2.21
15.739,0.828,1.341,11391.642,628.368,0.598,2.576
11.471,0.784,1.786,11222.374,593.627,0.475,1.428
19.855,0.694,1.925,11679.567,807.27,-0.295,1.241
28.072,0.78,1.673,11558.633,604.06,-0.154,0.921
25.666,0.789,1.292,11507.2,502.216,-0.031,0.938
16.386,0.718,1.888,11505.025,751.691,0.417,1.329
18.669,0.792,1.656,11493.309,733.042,-0.414,-0.008
26.293,0.805,1.444,11482.216,665.36,1.549,9.025
22.976,0.792,1.461,11529.729,675.746,1.016,4.816
16.734,0.814,1.602,11883.442,673.766,-0.094,1.682
23.133,0.705,1.895,11566.561,780.585,0.329,2.285
12.667,0.702,2.197,11598.485,609.743,0.031,0.269
19.865,0.7,1.818,11423.723,782.71,-0.15,-0.148
24.926,0.806,1.705,11810.754,715.453,-0.379,1.795
28.057,0.804,1.679,11339.603,580.259,-0.287,0.736
