Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
24,3173.397,70,133,470011,week24_F01_cluster_1
