Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
14.181,0.821,1.279,10807.18,1142.02,-0.185,0.079,24,4830.577,120,213,470101,week24_F10_cluster_1
25.509,0.767,1.932,11027.435,930.838,-0.495,0.593,24,4830.577,120,213,470101,week24_F10_cluster_1
13.602,0.778,1.84,10821.499,1077.757,-0.429,0.378,24,4830.577,120,213,470101,week24_F10_cluster_1
24.206,0.766,1.886,11327.347,1164.927,0.563,1.274,24,4830.577,120,213,470101,week24_F10_cluster_1
22.579,0.773,1.719,11368.133,1393.111,0.16,0.571,24,4830.577,120,213,470101,week24_F10_cluster_1
21.114,0.78,1.8,11262.836,1005.402,-0.664,1.303,24,4830.577,120,213,470101,week24_F10_cluster_1
26.171,0.754,1.857,11438.373,1271.82,0.44,1.258,24,4830.577,120,213,470101,week24_F10_cluster_1
21.722,0.804,1.795,11186.881,1024.218,-0.625,0.632,24,4830.577,120,213,470101,week24_F10_cluster_1
28.038,0.827,1.543,11349.642,1326.081,0.059,-0.042,24,4830.577,120,213,470101,week24_F10_cluster_1
16.729,0.772,1.925,11018.116,926.48,-0.922,1.909,24,4830.577,120,213,470101,week24_F10_cluster_1
32.11,0.843,1.418,11460.373,1392.382,-0.61,0.465,24,4830.577,120,213,470101,week24_F10_cluster_1
29.645,0.77,1.817,11471.867,1017.477,-0.016,0.316,24,4830.577,120,213,470101,week24_F10_cluster_1
21.472,0.837,1.502,11303.944,1131.613,0.554,1.062,24,4830.577,120,213,470101,week24_F10_cluster_1
20.477,0.801,1.721,11372.682,1121.671,-0.231,0.17,24,4830.577,120,213,470101,week24_F10_cluster_1
25.715,0.83,1.441,11399.405,885.513,0.064,0.943,24,4830.577,120,213,470101,week24_F10_cluster_1
25.764,0.818,1.565,11410.543,1303.985,0.697,0.642,24,4830.577,120,213,470101,week24_F10_cluster_1
21.227,0.863,1.367,11100.908,1213.084,0.262,0.968,24,4830.577,120,213,470101,week24_F10_cluster_1
13.421,0.814,1.686,11372.241,1458.728,0.291,-0.184,24,4830.577,120,213,470101,week24_F10_cluster_1
24.73,0.821,1.681,11409.975,1245.51,-0.214,-0.251,24,4830.577,120,213,470101,week24_F10_cluster_1
33.379,0.861,1.309,11626.208,1124.12,0.145,1.41,24,4830.577,120,213,470101,week24_F10_cluster_1
26.097,0.843,1.447,11412.195,1036.816,0.051,-0.432,24,4830.577,120,213,470101,week24_F10_cluster_1
11.275,0.721,2.115,11293.326,1166.527,0.036,-0.478,24,4830.577,120,213,470101,week24_F10_cluster_1
10.741,0.802,1.578,10922.267,1209.63,0.617,2.343,24,4830.577,120,213,470101,week24_F10_cluster_1
6.684,0.87,1.198,10999.722,1068.537,-0.091,-0.046,24,4830.577,120,213,470101,week24_F10_cluster_1
16.587,0.771,1.778,11258.18,1440.118,0.338,-0.63,24,4830.577,120,213,470101,week24_F10_cluster_1
35.3,0.847,1.463,11581.367,1096.594,-0.112,0.264,24,4830.577,120,213,470101,week24_F10_cluster_1
24.417,0.84,1.567,11501.736,1033.209,-0.305,0.393,24,4830.577,120,213,470101,week24_F10_cluster_1
27.528,0.77,1.934,11500.362,991.262,0.096,0.372,24,4830.577,120,213,470101,week24_F10_cluster_1
23.246,0.792,1.61,11415.389,1096.681,0.183,1.159,24,4830.577,120,213,470101,week24_F10_cluster_1
28.082,0.829,1.481,11517.261,1040.651,-0.057,0.869,24,4830.577,120,213,470101,week24_F10_cluster_1
33.217,0.759,1.487,11527.348,1350.444,-0.003,1.305,24,4830.577,120,213,470101,week24_F10_cluster_1
23.535,0.816,1.651,11150.938,1069.252,-0.098,0.079,24,4830.577,120,213,470101,week24_F10_cluster_1
27.665,0.787,1.738,11442.587,979.647,-0.145,0.077,24,4830.577,120,213,470101,week24_F10_cluster_1
24.333,0.839,1.513,11545.73,1074.572,-0.162,0.093,24,4830.577,120,213,470101,week24_F10_cluster_1
18.017,0.864,1.293,11508.065,1216.95,0.266,-0.256,24,4830.577,120,213,470101,week24_F10_cluster_1
31.277,0.783,1.418,11650.908,1151.631,-0.11,1.077,24,4830.577,120,213,470101,week24_F10_cluster_1
15.43,0.825,1.661,11381.324,1056.925,0.072,0.88,24,4830.577,120,213,470101,week24_F10_cluster_1
24.284,0.789,1.805,11580.704,1178.228,0.29,0.924,24,4830.577,120,213,470101,week24_F10_cluster_1
27.959,0.744,2.085,11579.229,939.447,-0.417,0.024,24,4830.577,120,213,470101,week24_F10_cluster_1
26.347,0.757,1.852,11839.542,1115.536,0.088,0.748,24,4830.577,120,213,470101,week24_F10_cluster_1
17.983,0.748,1.701,11429.653,1539.533,0.184,-0.372,24,4830.577,120,213,470101,week24_F10_cluster_1
19.233,0.82,1.696,11240.167,1234.213,0.017,1.072,24,4830.577,120,213,470101,week24_F10_cluster_1
38.637,0.809,1.587,11635.276,1178.023,0.087,0.054,24,4830.577,120,213,470101,week24_F10_cluster_1
26.837,0.794,1.76,11653.459,1136.802,-0.476,0.585,24,4830.577,120,213,470101,week24_F10_cluster_1
33.501,0.817,1.515,11757.993,1155.502,-0.065,-0.15,24,4830.577,120,213,470101,week24_F10_cluster_1
26.068,0.805,1.747,11382.355,1115.255,-0.546,0.824,24,4830.577,120,213,470101,week24_F10_cluster_1
21.046,0.822,1.546,11806.764,1453.722,0.404,0.344,24,4830.577,120,213,470101,week24_F10_cluster_1
14.347,0.846,1.517,11747.933,2044.352,0.201,-0.767,24,4830.577,120,213,470101,week24_F10_cluster_1
14.431,0.755,2.068,11389.814,928.09,0.348,1.077,24,4830.577,120,213,470101,week24_F10_cluster_1
36.015,0.856,1.357,11669.145,1206.197,-0.296,-0.026,24,4830.577,120,213,470101,week24_F10_cluster_1
26.641,0.79,1.51,11604.794,1016.596,-0.082,0.716,24,4830.577,120,213,470101,week24_F10_cluster_1
28.175,0.728,1.757,11527.74,1269.85,0.228,2.12,24,4830.577,120,213,470101,week24_F10_cluster_1
14.769,0.833,1.483,11871.031,1381.643,0.452,0.607,24,4830.577,120,213,470101,week24_F10_cluster_1
9.437,0.785,1.83,11689.341,993.397,0.279,0.849,24,4830.577,120,213,470101,week24_F10_cluster_1
24.02,0.773,1.773,11588.904,1163.818,-0.013,-0.245,24,4830.577,120,213,470101,week24_F10_cluster_1
12.779,0.805,1.719,11594.624,1076.019,-0.144,0.793,24,4830.577,120,213,470101,week24_F10_cluster_1
