Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
17.351,0.772,1.9,11151.571,867.687,-0.243,-0.511,24,11868.266,169,488,474101,week24_J10_cluster_1
9.286,0.78,1.897,10854.066,1035.792,0.346,-0.175,24,11868.266,169,488,474101,week24_J10_cluster_1
29.606,0.803,1.596,11304.358,792.311,0.103,0.818,24,11868.266,169,488,474101,week24_J10_cluster_1
25.999,0.785,1.74,11187.695,787.045,-0.273,0.334,24,11868.266,169,488,474101,week24_J10_cluster_1
28.048,0.821,1.673,11225.782,699.133,-0.281,0.339,24,11868.266,169,488,474101,week24_J10_cluster_1
17.63,0.836,1.588,11042.84,878.267,-0.371,0.277,24,11868.266,169,488,474101,week24_J10_cluster_1
35.05,0.803,1.752,11138.47,868.213,-0.014,0.432,24,11868.266,169,488,474101,week24_J10_cluster_1
35.927,0.8,1.692,11276.643,841.506,0.318,1.975,24,11868.266,169,488,474101,week24_J10_cluster_1
18.228,0.8,1.774,11113.095,1049.239,0.076,-0.29,24,11868.266,169,488,474101,week24_J10_cluster_1
30.978,0.826,1.452,11399.344,930.507,0.46,1.872,24,11868.266,169,488,474101,week24_J10_cluster_1
28.944,0.819,1.632,11156.67,810.107,-0.69,0.496,24,11868.266,169,488,474101,week24_J10_cluster_1
30.409,0.799,1.715,11193.101,842.889,-0.645,0.95,24,11868.266,169,488,474101,week24_J10_cluster_1
24.064,0.753,1.789,11241.382,852.03,-0.125,0.837,24,11868.266,169,488,474101,week24_J10_cluster_1
24.882,0.842,1.437,11233.212,812.222,-0.425,0.439,24,11868.266,169,488,474101,week24_J10_cluster_1
27.803,0.751,1.73,11169.202,923.907,0.245,0.49,24,11868.266,169,488,474101,week24_J10_cluster_1
13.259,0.824,1.618,11062.378,1098.246,-0.638,0.811,24,11868.266,169,488,474101,week24_J10_cluster_1
18.635,0.842,1.573,11178.142,890.841,0.221,0.894,24,11868.266,169,488,474101,week24_J10_cluster_1
27.837,0.797,1.772,11207.104,838.671,-0.269,0.534,24,11868.266,169,488,474101,week24_J10_cluster_1
30.209,0.799,1.69,11336.729,943.646,0.216,0.734,24,11868.266,169,488,474101,week24_J10_cluster_1
26.45,0.827,1.622,11104.832,911.915,0.051,-0.165,24,11868.266,169,488,474101,week24_J10_cluster_1
21.874,0.782,1.912,11207.007,710.325,-0.534,0.001,24,11868.266,169,488,474101,week24_J10_cluster_1
9.736,0.692,2.167,11368.82,781.838,-0.468,0.465,24,11868.266,169,488,474101,week24_J10_cluster_1
24.216,0.732,1.675,11160.396,898.819,0.294,0.742,24,11868.266,169,488,474101,week24_J10_cluster_1
29.866,0.752,1.718,11278.884,789.553,-0.297,1.042,24,11868.266,169,488,474101,week24_J10_cluster_1
31.448,0.644,1.861,11297.569,829.705,0.868,6.203,24,11868.266,169,488,474101,week24_J10_cluster_1
16.959,0.702,2.273,11041.262,906.902,0.649,1.227,24,11868.266,169,488,474101,week24_J10_cluster_1
15.778,0.784,1.895,11041.598,1095.899,-0.256,-0.726,24,11868.266,169,488,474101,week24_J10_cluster_1
22.427,0.768,1.98,11045.824,790.727,-0.093,-0.099,24,11868.266,169,488,474101,week24_J10_cluster_1
23.221,0.793,1.711,11182.901,820.942,-0.156,0.322,24,11868.266,169,488,474101,week24_J10_cluster_1
29.689,0.82,1.554,11118.649,772.511,-0.426,0.243,24,11868.266,169,488,474101,week24_J10_cluster_1
26.142,0.808,1.757,11109.534,909.2,-0.013,0.864,24,11868.266,169,488,474101,week24_J10_cluster_1
26.455,0.682,2.344,11168.188,786.991,0.939,5.169,24,11868.266,169,488,474101,week24_J10_cluster_1
22.952,0.807,1.709,11218.899,840.884,-0.263,-0.024,24,11868.266,169,488,474101,week24_J10_cluster_1
28.773,0.794,1.64,11192.785,806.1,0.261,1.069,24,11868.266,169,488,474101,week24_J10_cluster_1
10.403,0.796,1.646,10796.643,943.442,-0.099,0.328,24,11868.266,169,488,474101,week24_J10_cluster_1
24.284,0.77,1.813,11064.111,789.23,0.178,-0.219,24,11868.266,169,488,474101,week24_J10_cluster_1
24.863,0.739,1.679,11188.971,839.073,-0.41,-0.26,24,11868.266,169,488,474101,week24_J10_cluster_1
20.536,0.837,1.577,11095.166,823.891,-0.212,-0.275,24,11868.266,169,488,474101,week24_J10_cluster_1
14.176,0.737,2.129,10937.608,813.468,-0.137,-0.407,24,11868.266,169,488,474101,week24_J10_cluster_1
31.561,0.811,1.6,11257.485,879.698,0.123,1.005,24,11868.266,169,488,474101,week24_J10_cluster_1
31.399,0.817,1.523,11217.723,825.37,-0.336,1.044,24,11868.266,169,488,474101,week24_J10_cluster_1
36.098,0.857,1.321,11174.509,841.322,-0.641,0.788,24,11868.266,169,488,474101,week24_J10_cluster_1
22.329,0.771,1.904,10993.698,785.867,-0.55,0.963,24,11868.266,169,488,474101,week24_J10_cluster_1
31.615,0.792,1.524,11338.22,872.772,0.187,1.094,24,11868.266,169,488,474101,week24_J10_cluster_1
16.244,0.728,2.002,11116.337,1028.043,0.557,1.945,24,11868.266,169,488,474101,week24_J10_cluster_1
28.655,0.738,2.122,11116.321,825.399,-0.136,0.574,24,11868.266,169,488,474101,week24_J10_cluster_1
26.553,0.842,1.38,11291.61,888.003,0.246,0.558,24,11868.266,169,488,474101,week24_J10_cluster_1
14.372,0.72,2.053,11558.542,1265.523,1.006,1.235,24,11868.266,169,488,474101,week24_J10_cluster_1
32.761,0.777,1.381,11284.898,1229.856,0.322,0.25,24,11868.266,169,488,474101,week24_J10_cluster_1
27.955,0.702,2.112,11142.084,966.786,0.907,2.943,24,11868.266,169,488,474101,week24_J10_cluster_1
32.463,0.675,1.995,11165.531,895.529,0.01,0.113,24,11868.266,169,488,474101,week24_J10_cluster_1
25.857,0.795,1.729,11152.456,936.981,0.154,0.221,24,11868.266,169,488,474101,week24_J10_cluster_1
14.019,0.714,1.969,11350.611,1472.732,0.391,0.0009187,24,11868.266,169,488,474101,week24_J10_cluster_1
13.754,0.758,2.021,11133.884,984.844,-0.187,-0.531,24,11868.266,169,488,474101,week24_J10_cluster_1
19.086,0.73,2.114,11393.67,693.731,-0.309,0.486,24,11868.266,169,488,474101,week24_J10_cluster_1
27.577,0.708,1.724,11338.451,753.975,0.13,1.4,24,11868.266,169,488,474101,week24_J10_cluster_1
23.03,0.843,1.577,11139.321,837.952,-0.4,0.594,24,11868.266,169,488,474101,week24_J10_cluster_1
20.57,0.785,1.511,11107.778,926.651,-0.14,-0.417,24,11868.266,169,488,474101,week24_J10_cluster_1
22.31,0.853,1.272,11280.882,816.823,-0.068,0.734,24,11868.266,169,488,474101,week24_J10_cluster_1
27.161,0.81,1.503,11240.428,793.311,-0.113,0.823,24,11868.266,169,488,474101,week24_J10_cluster_1
26.426,0.778,1.721,11262.794,864.437,-0.35,0.688,24,11868.266,169,488,474101,week24_J10_cluster_1
26.014,0.807,1.658,11328.536,831.433,-0.056,0.687,24,11868.266,169,488,474101,week24_J10_cluster_1
16.288,0.793,1.801,10997.324,805.485,0.253,0.632,24,11868.266,169,488,474101,week24_J10_cluster_1
27.259,0.775,1.613,11417.141,937.017,0.841,2.633,24,11868.266,169,488,474101,week24_J10_cluster_1
