Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
8.139,0.779,1.758,11227.02,1306.408,0.242,-0.109,0,6851.533,189,649,165021,week0_A02_cluster_1
10.295,0.762,1.733,11336.675,1109.794,-0.679,2.57,0,6851.533,189,649,165021,week0_A02_cluster_1
11.932,0.677,2.224,11530.317,1129.529,0.834,1.666,0,6851.533,189,649,165021,week0_A02_cluster_1
8.178,0.798,1.109,11760.382,1046.184,-0.649,0.603,0,6851.533,189,649,165021,week0_A02_cluster_1
9.707,0.696,2.116,11468.624,1058.651,-0.082,0.169,0,6851.533,189,649,165021,week0_A02_cluster_1
8.957,0.721,2.074,11538.912,1136.993,0.233,0.837,0,6851.533,189,649,165021,week0_A02_cluster_1
11.53,0.782,1.904,11110.809,908.412,0.36,1.484,0,6851.533,189,649,165021,week0_A02_cluster_1
8.531,0.741,2.106,11543.317,1071.084,0.886,2.621,0,6851.533,189,649,165021,week0_A02_cluster_1
15.156,0.801,1.52,11797.884,1308.105,0.822,2.093,0,6851.533,189,649,165021,week0_A02_cluster_1
10.114,0.777,1.772,11625.49,1403.521,0.605,0.645,0,6851.533,189,649,165021,week0_A02_cluster_1
10.716,0.716,1.772,11636.551,1238.845,0.279,0.342,0,6851.533,189,649,165021,week0_A02_cluster_1
13.588,0.781,1.739,11633.994,1177.983,1.025,2.073,0,6851.533,189,649,165021,week0_A02_cluster_1
10.006,0.814,1.691,10910.786,902.003,0.033,0.251,0,6851.533,189,649,165021,week0_A02_cluster_1
8.061,0.798,1.793,10702.235,1035.223,-1.001,2.286,0,6851.533,189,649,165021,week0_A02_cluster_1
11.466,0.73,2.042,11079.613,884.192,-0.868,1.279,0,6851.533,189,649,165021,week0_A02_cluster_1
10.721,0.858,1.399,10940.023,858.644,0.202,0.385,0,6851.533,189,649,165021,week0_A02_cluster_1
9.932,0.814,1.105,11675.977,1307.631,0.131,0.965,0,6851.533,189,649,165021,week0_A02_cluster_1
8.83,0.754,1.612,11659.022,1531.328,0.663,0.287,0,6851.533,189,649,165021,week0_A02_cluster_1
9.393,0.845,1.575,12141.561,1694.397,0.647,0.057,0,6851.533,189,649,165021,week0_A02_cluster_1
8.026,0.755,1.808,11178.441,917.12,-0.574,1.263,0,6851.533,189,649,165021,week0_A02_cluster_1
6.169,0.761,2.086,11175.902,1123.23,-0.212,-0.223,0,6851.533,189,649,165021,week0_A02_cluster_1
10.29,0.719,1.96,11800.459,1057.556,-0.68,2.413,0,6851.533,189,649,165021,week0_A02_cluster_1
8.227,0.833,1.381,12023.033,899.894,0.156,0.611,0,6851.533,189,649,165021,week0_A02_cluster_1
10.54,0.765,1.876,11055.79,946.465,0.102,0.052,0,6851.533,189,649,165021,week0_A02_cluster_1
16.018,0.824,1.591,11906.184,1267.573,0.816,0.457,0,6851.533,189,649,165021,week0_A02_cluster_1
10.168,0.8,1.59,11457.169,1149.012,-0.153,0.002,0,6851.533,189,649,165021,week0_A02_cluster_1
11.976,0.654,2.336,11674.063,1078.503,0.246,0.544,0,6851.533,189,649,165021,week0_A02_cluster_1
6.836,0.852,1.568,11006.006,877.703,0.402,0.231,0,6851.533,189,649,165021,week0_A02_cluster_1
10.104,0.666,2.344,11611.116,1049.106,0.312,0.759,0,6851.533,189,649,165021,week0_A02_cluster_1
11.26,0.784,1.773,11723.093,1097.202,0.612,2.122,0,6851.533,189,649,165021,week0_A02_cluster_1
9.849,0.685,2.394,10854.586,1248.365,0.189,0.953,0,6851.533,189,649,165021,week0_A02_cluster_1
6.429,0.772,1.809,10684.961,883.092,-0.236,-0.467,0,6851.533,189,649,165021,week0_A02_cluster_1
6.522,0.854,1.35,12387.793,1861.64,0.589,-0.562,0,6851.533,189,649,165021,week0_A02_cluster_1
11.133,0.822,1.644,11710.297,1057.457,0.414,1.469,0,6851.533,189,649,165021,week0_A02_cluster_1
11.775,0.689,2.114,11638.008,1427.562,0.336,0.697,0,6851.533,189,649,165021,week0_A02_cluster_1
8.506,0.67,2.218,11660.24,1186.849,0.979,1.732,0,6851.533,189,649,165021,week0_A02_cluster_1
7.806,0.759,1.66,11699.236,1078.289,-0.077,1.169,0,6851.533,189,649,165021,week0_A02_cluster_1
15.656,0.698,2.057,12243.939,1293.502,0.313,0.806,0,6851.533,189,649,165021,week0_A02_cluster_1
14.607,0.82,1.432,11196.419,1042.293,-0.228,2.795,0,6851.533,189,649,165021,week0_A02_cluster_1
11.53,0.7,1.892,11515.694,1030.184,-0.01,-0.177,0,6851.533,189,649,165021,week0_A02_cluster_1
13.328,0.675,2.402,11965.118,1800.039,0.284,-0.327,0,6851.533,189,649,165021,week0_A02_cluster_1
20.139,0.787,1.53,11531.312,1565.544,0.624,-0.005,0,6851.533,189,649,165021,week0_A02_cluster_1
6.816,0.798,1.611,11263.17,1114.356,0.341,0.274,0,6851.533,189,649,165021,week0_A02_cluster_1
11.574,0.673,2.346,11360.343,1130.571,0.147,0.165,0,6851.533,189,649,165021,week0_A02_cluster_1
9.251,0.754,1.998,11601.571,1235.742,0.181,-0.089,0,6851.533,189,649,165021,week0_A02_cluster_1
8.389,0.725,1.663,12416.088,1916.131,0.191,-0.425,0,6851.533,189,649,165021,week0_A02_cluster_1
15.538,0.725,1.879,11261.458,1379.762,0.162,-0.581,0,6851.533,189,649,165021,week0_A02_cluster_1
9.692,0.694,1.931,11484.997,1083.707,-1.304,1.671,0,6851.533,189,649,165021,week0_A02_cluster_1
16.008,0.782,1.653,11840.643,1295.189,0.239,1.37,0,6851.533,189,649,165021,week0_A02_cluster_1
10.016,0.739,1.93,11116.107,805.904,-0.331,0.724,0,6851.533,189,649,165021,week0_A02_cluster_1
12.539,0.801,1.604,11893.629,1253.505,0.144,0.829,0,6851.533,189,649,165021,week0_A02_cluster_1
10.751,0.815,1.584,12026.961,1275.201,0.061,-0.431,0,6851.533,189,649,165021,week0_A02_cluster_1
9.266,0.738,2.053,10822.438,998.072,-0.099,0.468,0,6851.533,189,649,165021,week0_A02_cluster_1
10.109,0.712,2.006,11619.93,902.951,-0.582,2.301,0,6851.533,189,649,165021,week0_A02_cluster_1
9.173,0.815,1.685,12231.06,1522.327,-0.25,-0.323,0,6851.533,189,649,165021,week0_A02_cluster_1
9.134,0.679,2.29,11072.391,1019.553,0.459,1.583,0,6851.533,189,649,165021,week0_A02_cluster_1
11.417,0.797,1.858,11327.559,971.677,0.519,0.385,0,6851.533,189,649,165021,week0_A02_cluster_1
9.192,0.756,1.935,12349.322,1569.797,0.756,-0.104,0,6851.533,189,649,165021,week0_A02_cluster_1
8.497,0.748,1.938,11876.065,1179.102,0.286,-0.264,0,6851.533,189,649,165021,week0_A02_cluster_1
10.589,0.729,1.945,12055.059,1515.378,0.569,0.308,0,6851.533,189,649,165021,week0_A02_cluster_1
8.418,0.667,2.472,11861.201,1219.817,0.631,1.02,0,6851.533,189,649,165021,week0_A02_cluster_1
8.09,0.777,1.472,11705.489,1023.802,0.696,1.921,0,6851.533,189,649,165021,week0_A02_cluster_1
13.578,0.774,1.735,11518.516,1097.448,0.453,1.352,0,6851.533,189,649,165021,week0_A02_cluster_1
10.481,0.781,1.823,11603.307,1036.037,-0.518,0.762,0,6851.533,189,649,165021,week0_A02_cluster_1
