Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
10.168,0.737,2.012,11098.506,998.525,0.622,1.466
7.556,0.73,2.079,10907.114,778.397,-0.588,0.852
12.083,0.768,1.912,11347.725,970.606,-0.502,0.58
11.476,0.816,1.664,11207.664,1061.922,-0.074,2.164
6.747,0.788,1.926,11135.554,1133.13,0.017,-0.084
11.069,0.634,2.136,11155.228,1349.174,0.386,0.044
10.202,0.691,2.096,10925.555,970.991,0.178,0.443
16.89,0.787,1.707,11734.312,1097.377,0.714,1.3
10.202,0.832,1.362,11692.511,1139.831,-0.645,0.795
10.476,0.732,2.267,11084.621,877.226,0.521,1.491
12.368,0.754,1.842,11346.046,1158.055,0.624,1.95
8.864,0.695,2.272,11304.856,796.529,-0.204,0.261
9.967,0.74,2.07,10904.04,1119.248,-0.376,1.092
14.974,0.732,1.765,11356.596,1380.996,-0.407,1.196
10.383,0.705,2.1,11502.63,1164.001,1.318,3.507
7.914,0.722,2.062,10912.509,901.244,-0.459,-0.235
9.232,0.694,2.193,11307.412,883.266,-0.158,0.241
17.885,0.744,1.809,11761.376,1155.717,0.57,0.307
10.854,0.664,2.416,11767.895,1234.499,1.464,2.984
7.424,0.799,1.495,11392.228,1069.255,0.145,1.033
8.653,0.778,1.655,10950.396,811.454,-1.085,3.536
8.188,0.687,2.144,11207.363,858.698,0.269,1.435
8.281,0.721,2.08,11251.827,929.88,-0.329,-0.389
9.55,0.798,1.77,11400.973,1088.277,-0.715,0.395
9.815,0.775,1.944,11139.059,1026.099,-0.079,0.718
9.687,0.82,1.627,11412.995,849.93,-0.256,0.988
9.354,0.761,1.763,11436.396,1074.07,-0.28,0.401
9.972,0.726,2.156,11130.292,886.561,0.274,2.037
9.629,0.866,1.317,11625.573,1538.535,0.248,0.641
10.378,0.763,1.881,11149.547,1097.791,0.632,2.113
13.024,0.763,1.671,11366.183,1239.397,0.122,0.507
8.428,0.755,2.126,11426.933,821.938,-0.464,0.48
12.534,0.858,1.406,11930.169,1015.794,0.048,-0.328
6.444,0.84,1.424,11599.271,962.229,0.209,0.03
8.261,0.818,1.577,11414.816,1294.043,-0.115,0.332
8.075,0.743,1.662,11416.888,1349.202,0.933,0.75
7.296,0.755,1.677,11197.042,792.812,0.332,-0.153
16.101,0.798,1.542,11447.627,1077.193,0.145,0.496
11.074,0.78,1.711,11324.698,957.576,-0.029,-0.145
11.255,0.688,1.992,11599.106,1245.398,0.222,0.447
10.197,0.816,1.638,11073.143,803.114,-0.163,0.327
11.794,0.753,2.003,11663.464,1442.103,0.313,0.281
11.883,0.786,1.67,11497.704,1096.567,-0.425,0.936
7.732,0.745,1.919,11750.345,1288.138,0.348,1.995
10.344,0.742,1.968,11351.316,1005.866,0.452,1.692
15.856,0.728,2.062,11548.215,1139.372,0.056,-0.242
7.997,0.697,2.104,11683.318,1354.013,1.013,0.975
6.561,0.736,1.707,11561.275,1416.205,0.127,0.883
11.716,0.794,1.531,11587.462,1262.245,0.405,0.646
6.15,0.812,1.516,11241.993,960.947,-0.33,2.849
10.104,0.768,1.905,11459.253,1173.301,0.365,0.348
11.481,0.756,1.89,11758.215,1246.634,0.415,1.088
10.172,0.818,1.648,11614.345,1202.526,1.02,1.639
7.595,0.781,1.696,11669.769,1064.361,1.224,2.203
7.281,0.84,1.596,11419.928,702.579,-0.255,0.246
16.611,0.879,1.202,11623.442,1522.155,0.325,-0.38
11.956,0.821,1.508,11536.027,1180.062,0.457,0.503
16.131,0.69,2.182,11598.075,1177.024,0.18,-0.36
8.394,0.776,1.514,11427.538,1402.148,-0.252,-0.236
7.742,0.722,2.057,11754.93,1737.071,0.379,0.209
6.938,0.86,1.419,11440.003,1615.995,0.974,0.503
11.01,0.773,1.866,11675.584,1142.873,0.031,-0.146
8.232,0.775,1.542,11675.526,1366.937,-0.125,-0.02
7.879,0.737,1.794,11418.984,743.826,0.203,-0.329
11.99,0.804,1.736,11685.368,1273.742,0.179,0.499
12.608,0.681,2.138,11888.53,1220.346,0.879,1.18
7.806,0.739,1.841,11606.932,753.562,-0.191,1.342
11.535,0.809,1.575,11466.723,1384.04,0.808,1.641
9.163,0.811,1.67,11065.884,961.706,0.368,0.75
10.491,0.776,1.713,11643.381,1194.557,0.532,1.764
17.16,0.748,1.7,12063.179,1133.02,0.451,0.934
15.268,0.777,1.59,11915.83,1239.76,0.312,1.176
9.893,0.808,1.699,11487.132,1067.656,-0.305,-0.253
6.684,0.816,1.633,11687.76,914.075,-0.329,0.568
7.688,0.806,1.66,11807.225,1376.097,0.169,0.067
12.211,0.718,2.06,11702.545,1275.987,1.11,2.109
10.78,0.751,1.989,11885.297,1231.362,-0.253,0.111
10.354,0.773,1.802,12744.057,1415.644,0.679,-0.23
10.604,0.82,1.555,11369.847,805.276,0.701,0.889
9.555,0.728,2.132,11551.42,963.654,-0.391,0.438
11.603,0.681,2.206,11600.103,1080.318,0.472,0.994
11.118,0.744,1.773,11966.027,1077.708,-0.022,1.703
11.995,0.707,1.775,11695.639,1009.811,-0.402,0.534
11.618,0.775,1.697,11392.903,1218.269,0.223,1.037
7.791,0.827,1.496,11648.265,1084.982,-0.149,0.013
11.525,0.794,1.488,12083.041,1421.023,0.506,1.276
10.413,0.842,1.442,11509.265,940.823,-0.166,0.375
6.546,0.723,2.071,12100.116,1811.488,-0.078,-0.284
