Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
11.628,0.895,1.1,11739.587,1094.764,-0.708,0.634
11.667,0.907,1.141,11535.816,971.838,-0.086,-0.331
9.408,0.901,1.124,11286.188,1145.565,-0.578,-0.006
10.241,0.889,1.075,11761.906,1163.616,0.588,0.429
21.291,0.791,1.369,11847.239,1107.752,0.459,0.849
11.417,0.848,1.521,11703.491,873.966,-0.347,0.841
10.765,0.897,1.136,11220.956,1014.467,0.83,3.154
10.893,0.892,1.209,11334.097,890.975,-0.172,-0.329
17.233,0.857,1.217,11359.763,875.518,-0.367,0.833
22.756,0.852,1.257,11724.917,1321.184,-0.197,0.335
10.364,0.891,1.105,11464.459,969.642,0.084,0.417
12.206,0.835,1.298,11372.053,1044.612,-0.112,-0.075
20.291,0.817,1.4,11643.575,1041.477,-0.134,0.197
20.717,0.874,1.258,11367.161,1116.027,0.145,-0.061
11.593,0.886,1.204,11852.862,1080.936,0.281,-0.107
10.217,0.88,1.276,11955.518,799.31,-0.269,0.003
9.932,0.904,1.141,11211.878,980.734,-0.144,1.269
7.497,0.889,1.235,11411.575,750.179,0.305,-0.157
21.629,0.808,1.704,11411.809,1020.574,-0.243,0.354
18.434,0.797,1.427,11607.994,1333.051,-0.058,-0.217
20.306,0.862,1.162,11781.961,924.122,0.347,1.433
9.065,0.886,1.347,11376.611,853.101,-0.308,0.023
10.687,0.904,1.007,11162.555,1011.484,-0.311,0.411
9.388,0.904,1.191,11363.886,1136.153,-0.434,0.847
15.558,0.827,1.339,11348.134,1087.94,-0.317,-0.084
17.341,0.878,1.266,11422.852,1185.336,-0.137,1.043
25.603,0.81,1.581,11900.546,1193.075,0.726,1.328
18.355,0.867,1.201,11255.698,1071.303,0.069,-0.68
10.099,0.873,1.309,11863.112,1103.933,0.046,1.32
14.808,0.874,1.272,11446.052,1055.98,-0.272,0.165
7.904,0.898,1.167,11587.763,816.483,-0.252,-0.258
7.414,0.902,1.245,11691.888,679.762,0.035,0.887
21.575,0.798,1.345,11520.025,1227.838,0.192,0.671
10.06,0.887,1.282,11336.335,1119.341,0.395,0.663
10.168,0.827,1.438,11795.695,1297.958,-0.006,0.289
22.207,0.843,1.258,11632.343,1057.571,-0.226,1.045
10.452,0.886,1.268,11285.267,980.532,-0.142,0.059
17.532,0.781,1.433,11617.907,1128.389,1.242,3.58
17.562,0.779,1.354,11575.509,1482.032,0.978,1.363
19.311,0.829,1.345,11386.842,1129.814,-0.066,0.986
11.03,0.878,1.281,11414.773,914.937,0.115,0.381
8.266,0.9,1.144,11465.544,820.158,1.209,2.896
8.203,0.829,1.404,11634.75,788.838,1.319,4.108
10.079,0.904,1.1,11688.825,1007.719,-0.084,0.217
15.66,0.825,1.254,11750.631,1082.904,-0.331,1.357
18.816,0.827,1.014,11403.902,1139.827,0.066,1.067
25.607,0.803,1.302,11984.351,1025.526,0.224,1.51
14.421,0.851,1.274,11263.914,809.947,-0.552,0.705
24.03,0.851,1.379,11517.612,1049.497,-0.35,0.635
21.335,0.788,1.504,11247.713,1147.171,0.014,0.079
13.112,0.801,1.099,11582.084,1257.506,0.998,2.14
21.874,0.801,1.084,11722.368,1046.369,0.776,2.82
19.095,0.845,1.371,11837.022,1020.685,-0.427,0.167
8.541,0.863,1.033,11823.491,940.508,-0.635,-0.011
7.179,0.888,1.196,11079.564,1007.448,-0.259,-0.171
9.482,0.886,1.192,11809.567,1108.937,0.806,1.981
16.302,0.873,1.313,11524.628,1036.261,0.065,2.04
12.422,0.841,1.406,11487.847,1034.445,0.215,-0.516
8.712,0.908,1.044,11151.818,898.93,0.025,-0.237
7.531,0.893,1.105,11778.306,885.414,0.855,2.064
18.826,0.867,1.267,11900.154,1018.389,0.273,2.071
25.465,0.886,1.058,11843.138,1161.741,0.132,0.483
8.791,0.89,1.245,11949.185,871.823,0.369,0.722
10.795,0.892,1.183,11577.044,890.125,0.127,0.266
23.834,0.856,1.295,11477.683,1082.83,0.357,1.416
17.258,0.845,1.434,11499.862,959.518,-0.313,0.464
19.443,0.879,1.203,12023.109,915.202,-0.918,2.07
18.551,0.893,1.194,11236.972,970.867,-0.36,-0.322
7.82,0.899,1.159,11537.78,907.798,0.071,0.788
11.726,0.896,1.191,11517.191,938.181,0.192,0.814
7.125,0.909,1.038,11391.99,728.733,0.641,0.84
12.578,0.898,1.17,11962.929,929.454,-0.169,0.105
23.349,0.719,1.598,12119.017,1287.9,0.215,1.332
14.783,0.896,1.188,11740.88,865.359,-0.009,0.878
24.789,0.881,1.261,11589.659,1055.893,-0.387,0.329
9.143,0.897,1.265,11992.032,804.709,0.132,1.104
7.061,0.908,1.232,11190.087,1122.425,0.472,1.426
7.056,0.92,1.195,11828.145,928.892,-0.083,0.933
7.757,0.894,1.12,12233.469,852.74,-0.361,0.117
10.927,0.895,1.172,11276.232,867.19,-0.155,-0.298
10.417,0.91,1.199,12161.961,1044.906,-0.279,0.754
22.584,0.828,1.512,11644.927,1068.895,-0.991,2.937
19.438,0.869,1.215,11595.235,1041.827,-0.188,-0.0002294
8.551,0.897,1.261,11543.042,933.09,-0.839,1.745
20.668,0.869,1.269,11513.057,956.593,-0.864,3.125
16.533,0.874,1.13,12072.135,1033.003,0.029,0.417
13.387,0.852,1.328,11518.261,872.391,-0.082,-0.003
8.315,0.904,1.112,11776.386,1082.88,-0.522,0.731
25.799,0.875,1.177,12267.232,1124.397,-0.542,2.005
14.94,0.876,1.289,11571.559,893.212,-0.693,0.753
25.671,0.763,1.182,11493.351,1180.387,-0.201,0.095
7.86,0.814,1.344,12052.613,1147.929,0.832,1.313
17.767,0.74,1.421,12130.577,746.256,-0.611,2.029
21.065,0.82,1.476,11552.653,1118.063,-0.059,1.035
24.49,0.865,1.389,11471.386,951.876,-0.446,0.481
10.79,0.829,1.23,12102.841,963.16,0.654,1.752
9.771,0.886,1.153,11547.559,883.954,-0.367,0.279
23.598,0.755,1.398,12189.418,970.68,0.304,1.885
27.244,0.836,1.314,11813.343,1063.689,0.18,2.109
11.873,0.876,1.272,11684.915,891.895,-0.27,0.489
