Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
19.625,0.724,2.227,11331.987,1226.306,0.02,0.523
19.419,0.779,1.729,11395.767,1156.144,0.283,0.918
14.676,0.778,1.908,11214.833,995.935,-0.19,0.663
8.012,0.838,1.594,11208.495,1018.377,-0.053,-0.095
21.594,0.71,2.052,11730.364,1609.824,0.397,0.241
16.15,0.75,1.851,11333.437,1259.175,-0.172,-0.165
20.614,0.733,2.053,11431.934,1111.384,-0.316,-0.242
19.683,0.813,1.655,11211.811,1208.787,-0.158,-0.051
22.721,0.741,1.927,11887.005,1483.951,0.086,1.108
16.743,0.78,1.814,11713.594,1247.595,-0.178,0.843
19.482,0.617,2.621,11866.81,1484.02,0.524,1.029
14.749,0.774,1.986,12220.083,1609.255,0.405,-0.436
18.429,0.733,1.78,11865.674,1654.998,0.478,-0.187
20.492,0.743,1.822,11980.849,1313.302,1.213,2.118
13.063,0.77,1.753,11440.856,1510.653,0.442,0.988
20.58,0.771,1.927,11643.427,1375.854,0.157,0.401
25.304,0.694,2.212,11754.715,1266.837,-0.123,-0.083
8.933,0.755,1.946,11289.807,1162.107,-0.074,0.547
16.694,0.782,1.919,11447.729,952.64,-0.411,-0.288
27.087,0.796,1.474,12201.65,1556.181,-0.174,-0.238
24.069,0.801,1.767,11681.621,1209.977,0.068,0.687
32.61,0.794,1.205,11982.84,1224.336,0.085,2.168
23.202,0.696,2.168,12108.913,1392.606,0.544,0.563
19.433,0.722,2.292,11674.583,1275.806,0.577,0.715
11.564,0.694,2.234,10833.202,1169.472,-0.139,-0.014
19.963,0.799,1.777,11223.305,1285.658,0.022,-0.173
28.783,0.711,2.108,12079.537,1299.605,0.262,-0.065
21.638,0.605,2.817,11803.019,1559.019,0.644,0.83
16.195,0.801,1.82,10875.14,994.987,-0.214,-0.06
28.033,0.707,1.942,12268.259,1401.415,0.366,0.184
20.178,0.811,1.616,11595.908,1217.492,0.19,1.157
22.805,0.702,1.772,12401.678,1572.265,0.176,0.772
12.544,0.698,1.875,11591.12,1110.924,0.052,0.35
24.574,0.756,1.801,11662.986,1300.028,0.301,0.968
23.275,0.713,1.789,12049.792,1482.397,0.504,-0.07
20.678,0.711,2.144,11181.459,919.562,-0.176,0.449
15.597,0.655,2.545,11631.318,934.656,0.118,-0.023
23.922,0.784,1.51,12005.748,1070.134,0.006,1.112
17.763,0.739,1.789,12049.53,1333.636,0.064,0.881
17.518,0.846,1.325,12257.11,1543.537,0.232,-0.066
17.65,0.762,2.05,11119.434,1148.545,0.126,-0.115
18.086,0.788,1.884,10976.598,1096.448,-0.215,0.474
21.962,0.801,1.783,11745.88,1097.312,-0.643,0.697
21.761,0.804,1.757,11112.964,1171.158,-0.054,-0.455
28.685,0.802,1.713,11844.032,1149.218,-0.335,0.503
40.361,0.727,1.85,11989.722,1239.188,-0.115,0.96
26.485,0.779,1.825,11989.051,1412.823,0.847,1.792
26.558,0.709,1.481,12132.962,1098.762,0.261,-0.123
18.321,0.685,1.994,11305.184,952.337,-0.627,1.215
22.952,0.82,1.428,11788.292,1113.532,0.518,0.772
27.955,0.819,1.59,11548.847,1235.632,-0.261,0.824
20.84,0.721,1.846,12225.437,1233.334,0.561,0.745
21.756,0.791,1.863,11768.65,987.721,-0.6,1.147
26.646,0.789,1.767,11798.513,1227.823,-0.104,0.494
15.141,0.822,1.434,12147.305,1224.562,0.33,-0.174
19.071,0.771,1.733,11911.385,1173.456,0.248,0.944
26.132,0.799,1.339,11733.021,1433.582,0.238,0.548
17.091,0.809,1.383,11617.104,1523.378,0.3,0.339
15.729,0.752,2.083,11044.881,1129.819,0.17,0.145
24.608,0.719,2.206,11601.95,1107.984,-0.282,-0.017
18.174,0.805,1.317,12204.113,1502.719,0.435,0.007
18.924,0.793,1.618,11857.281,1408.638,0.786,1.135
12.765,0.736,1.387,11992.482,1301.354,-0.064,-0.3
16.136,0.708,1.803,12483.073,1623.217,0.409,-0.316
16.547,0.793,1.466,11906.606,1669.36,0.44,-0.25
23.442,0.721,2.218,11667.626,1180.025,-0.282,0.677
17.238,0.743,2,11572.88,986.893,-0.204,0.241
21.349,0.674,2.019,11830.971,1343.261,1.008,1.633
13.485,0.851,1.182,11733.43,1054.171,-0.167,0.463
12.191,0.748,2.067,11001.396,1067.204,-0.298,-0.371
22.236,0.803,1.722,11193.605,1174.769,0.24,-0.08
19.38,0.783,1.639,11426.526,1595.637,0.113,-0.433
23.108,0.652,2.377,12001.917,1263.569,0.29,0.615
7.987,0.743,1.41,10663.572,1882.66,-0.305,0.192
22.31,0.8,1.555,11802.978,990.773,-0.52,1.286
22.373,0.624,2.53,11772.367,1139.28,0.032,-0.034
17.763,0.724,1.92,11370.59,928.224,0.204,0.456
14.783,0.828,1.61,11282.565,1225.326,0.461,0.953
17.591,0.744,1.914,12203.489,1541.379,0.383,-0.005
19.644,0.755,1.47,12445.045,1545.907,0.1,0.451
12.569,0.733,2.089,11951.373,1447.872,0.446,0.467
16.42,0.753,1.831,12335.828,1471.205,0.601,0.256
18.561,0.818,1.453,11712.281,1189.306,-0.046,0.545
28.224,0.742,1.893,11868.178,1265.497,0.258,0.736
27.705,0.773,1.665,11652.406,1180.384,0.754,1.305
6.208,0.904,1.159,11969.709,823.674,-0.008,-0.421
17.415,0.732,2.111,11745.915,1148.242,-0.225,-0.048
20.629,0.679,2.302,12129.202,1430.37,0.617,0.357
18.939,0.824,1.43,11317.468,902.143,0.101,3.036
14.548,0.73,2.026,11899.652,1715.385,0.032,-0.0005304
21.977,0.777,1.942,11898.863,973.249,-0.48,0.402
16.871,0.75,1.613,11802.753,1023.991,0.486,0.856
13.676,0.688,2.293,11665.808,1140.838,0.666,1.424
15.812,0.807,1.391,11878.774,1239.948,0.429,0.866
15.077,0.775,1.568,11975.508,1101.862,0.986,1.939
16.998,0.728,1.997,11206.875,1363.609,0.456,0.471
21.281,0.668,2.122,11795.687,1482.915,0.311,-0.163
24.936,0.804,1.624,11976.038,1244.864,0.446,0.731
20.845,0.796,1.715,11325.649,1297.919,0.518,0.006
27.381,0.86,1.244,12029.735,1194.868,0.014,-0.254
20.507,0.779,1.784,11773.452,1245.378,0.074,1.426
11.819,0.645,2.184,12215.951,1326.247,0.568,0.392
8.614,0.744,1.827,12852.221,2040.213,0.122,-0.981
15.298,0.765,1.38,11907.319,1089.372,0.305,0.624
14.563,0.701,1.857,11661.569,1593.364,0.14,-0.471
15.553,0.814,1.336,12016.793,1158.217,0.618,1.076
20.889,0.784,1.481,12479.81,1374.323,0.968,0.636
19.492,0.704,2.184,11764.658,1382.632,-0.194,1.708
11.089,0.81,1.724,11443.137,1360.227,0.122,-0.52
16.827,0.762,1.833,11859.612,1210.365,0.569,1.048
10.569,0.744,1.702,12048.657,1321.977,0.269,0.836
7.776,0.844,1.574,11234.565,907.862,-0.091,-0.529
27.469,0.817,1.562,11468.841,1330.347,-0.144,0.701
21.707,0.763,1.953,11745.867,1254.777,0.501,1.068
21.006,0.733,2.027,12114.996,1351.403,0.659,0.544
15.847,0.728,1.83,12211.119,1702.841,0.56,-0.099
17.273,0.778,1.083,12046.98,1446.481,-0.312,0.194
18.321,0.659,2.261,12430.918,1769.531,-0.008,0.199
21.183,0.732,1.818,12095.698,1365.104,0.295,0.049
24.74,0.711,2.261,11235.972,1096,-0.081,-0.525
25.22,0.789,1.423,12085.605,1298.681,-0.183,-0.118
