Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24.98,0.793,1.776,11714.385,1065.038,0.748,1.699,24,6063.079,166,279,467032,week24_C03_cluster_2
15.072,0.774,1.865,11656.717,1025.999,0.537,0.671,24,6063.079,166,279,467032,week24_C03_cluster_2
18.733,0.814,1.624,11660.873,1449.585,0.433,0.472,24,6063.079,166,279,467032,week24_C03_cluster_2
16.841,0.725,2.209,11761.619,868.67,-0.208,-0.185,24,6063.079,166,279,467032,week24_C03_cluster_2
33.727,0.762,1.458,11752.836,1231.714,0.15,0.864,24,6063.079,166,279,467032,week24_C03_cluster_2
25.137,0.774,1.57,11215.245,1000.327,-0.155,-0.436,24,6063.079,166,279,467032,week24_C03_cluster_2
9.707,0.789,1.609,11552.162,1337.017,0.204,-0.006,24,6063.079,166,279,467032,week24_C03_cluster_2
25.068,0.839,1.357,11683.147,921.289,0.513,1.914,24,6063.079,166,279,467032,week24_C03_cluster_2
26.284,0.809,1.686,11263.547,1046.041,-0.276,2.004,24,6063.079,166,279,467032,week24_C03_cluster_2
17.268,0.851,1.325,11618.056,1146.835,-0.022,0.034,24,6063.079,166,279,467032,week24_C03_cluster_2
15.827,0.8,1.803,11288.557,1009.317,-0.088,-0.032,24,6063.079,166,279,467032,week24_C03_cluster_2
28.067,0.881,1.183,11874.149,804.908,0.21,1.451,24,6063.079,166,279,467032,week24_C03_cluster_2
29.782,0.748,1.815,11668.26,930.829,0.132,0.755,24,6063.079,166,279,467032,week24_C03_cluster_2
10.555,0.782,1.724,11416.403,1344.307,0.051,1.144,24,6063.079,166,279,467032,week24_C03_cluster_2
24.436,0.79,1.702,11530.787,791.07,0.162,0.779,24,6063.079,166,279,467032,week24_C03_cluster_2
21.928,0.788,1.803,11199.636,1012.954,0.477,2.068,24,6063.079,166,279,467032,week24_C03_cluster_2
32.771,0.766,1.513,11927.028,1090.824,0.626,1.417,24,6063.079,166,279,467032,week24_C03_cluster_2
12.353,0.826,1.174,11592.974,970.129,-0.071,0.106,24,6063.079,166,279,467032,week24_C03_cluster_2
27.386,0.845,1.444,11632.774,992.08,0.108,0.109,24,6063.079,166,279,467032,week24_C03_cluster_2
17.767,0.804,1.769,11338.091,930.584,0.347,0.383,24,6063.079,166,279,467032,week24_C03_cluster_2
22.707,0.833,1.305,11848.777,1082.013,0.488,1.723,24,6063.079,166,279,467032,week24_C03_cluster_2
17.865,0.766,1.917,11147.243,950.075,-0.039,1.334,24,6063.079,166,279,467032,week24_C03_cluster_2
19.669,0.876,1.365,11727.068,1029.38,0.254,1.216,24,6063.079,166,279,467032,week24_C03_cluster_2
31.394,0.762,1.497,11500.94,1052.505,-0.348,1.106,24,6063.079,166,279,467032,week24_C03_cluster_2
31.87,0.864,1.158,11868.747,804.286,-0.749,0.767,24,6063.079,166,279,467032,week24_C03_cluster_2
25.073,0.869,1.309,11248.793,961.162,-0.502,0.505,24,6063.079,166,279,467032,week24_C03_cluster_2
18.777,0.828,1.519,11742.205,1016.073,0.584,1.288,24,6063.079,166,279,467032,week24_C03_cluster_2
