Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
26.171,0.737,1.719,11357.038,1013.605,-0.251,0.3
6.63,0.817,1.562,10906.212,1116.872,-0.904,1.508
26.94,0.752,1.887,11431.184,1207.359,0.915,2.467
20.031,0.783,1.927,11071.761,1068.283,0.353,1.834
25.372,0.843,1.343,11441.112,1200.343,0.139,0.224
12.926,0.822,1.666,11175.872,1046.623,-0.058,0.185
24.069,0.789,1.707,11390.068,1097.461,0.336,0.792
24.706,0.805,1.616,11564.757,1214.869,0.127,0.994
15.778,0.814,1.8,10962.891,1107.69,-0.584,0.52
18.101,0.849,1.541,11304.965,1389.893,-0.204,0.362
24.917,0.837,1.525,11263.801,917.986,-0.506,0.438
24.956,0.866,1.474,11334.185,1040.419,-0.178,0.747
14.739,0.719,2.267,11024.575,870.523,-0.228,-0.471
33.173,0.829,1.449,11598.195,1035.641,0.146,0.696
13.46,0.764,1.963,11054.963,1359.531,-0.085,-0.454
19.478,0.784,1.774,11185.509,1102.148,-0.422,1.907
26.269,0.858,1.409,11330.424,1148.378,-0.045,0.083
14.636,0.811,1.679,11238.95,989.722,0.174,0.366
25.127,0.829,1.423,11748.443,1156.15,0.305,0.666
23.378,0.853,1.424,11553.409,1028.561,-0.298,0.149
30.801,0.75,1.51,11510.642,1354.709,0.138,0.375
25.103,0.772,1.795,11443.327,964.223,-0.212,-0.123
21.683,0.873,1.391,11322.81,1092.025,0.044,-0.254
20.698,0.847,1.521,11188.83,1066.237,-0.492,0.995
26.22,0.772,1.569,11268.551,1272.031,0.421,1.8
22.32,0.81,1.534,11386.38,1191.6,-0.033,0.476
13.382,0.77,1.989,11609.616,1081.332,-0.291,0.29
9.903,0.81,1.729,11079.788,1206.491,-0.323,-0.144
23.78,0.813,1.662,11572.728,1055.707,0.468,1.924
25.872,0.872,1.322,11503.469,1041.635,0.096,0.137
20.874,0.812,1.587,11536,1097.294,-0.452,1.577
26.975,0.834,1.41,11421.676,981.566,0.18,1.499
25.524,0.829,1.422,11032.699,1110.217,0.082,0.729
19.919,0.673,2.363,11417.325,1119.404,-0.704,2.084
8.972,0.829,1.429,11344.859,1692.815,0.006,-0.662
29.268,0.808,1.561,11817.229,1064.737,0.492,1.275
28.312,0.756,2.002,11003.155,1135.665,-0.544,1.72
29.655,0.863,1.351,11498.791,1016.466,-0.252,-0.183
16.111,0.801,1.608,11242.143,1299.877,0.887,1.14
25.735,0.796,1.526,11601.379,1284.024,1.135,2.112
