Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
17.537,0.796,1.797,11141.476,1004.804,-0.479,1.335
23.868,0.823,1.671,11227.262,1162.478,-0.245,0.234
26.695,0.848,1.466,11303.147,1087.108,-0.135,0.459
23.981,0.754,2.045,11192.52,1156.021,0.342,1.101
8.325,0.694,2.081,10899.094,892.292,-0.181,0.236
29.601,0.729,1.794,11363.65,1611.754,0.699,0.477
23.344,0.841,1.48,11319.88,1272.092,0.382,1.982
12.975,0.758,1.894,10614.665,1220.996,-0.135,-0.412
14.71,0.758,1.843,11490.755,1278.827,0.049,1.097
15.856,0.77,1.689,11445.08,1248.541,1.09,1.985
22.364,0.797,1.683,10901.696,1252.782,0.523,1.511
32.335,0.772,1.819,11413.828,1153.614,-0.285,0.522
24.005,0.707,1.993,11126.004,1244.126,-0.697,0.182
9.624,0.692,1.864,11181.688,807.654,0.557,0.636
21.531,0.793,1.731,10848.567,1250.584,0.037,2.139
25.088,0.827,1.575,11048.028,992.72,-0.361,0.399
24.686,0.835,1.576,11283.254,1305.533,0.202,1.341
20.948,0.734,1.87,11207.119,1327.704,-0.373,0.332
16.503,0.817,1.591,10884.414,1048.133,-0.03,-0.23
19.84,0.709,1.886,10914.449,1004.269,0.066,0.347
14.421,0.741,2.016,11161.651,1264.082,-0.321,-0.317
6.522,0.801,1.475,12255.79,1360.443,0.781,0.277
21.08,0.742,1.815,10968.825,1443.795,-0.671,0.205
25.103,0.784,1.608,11522.246,1513.436,0.9,1.412
26.073,0.757,1.626,10954.133,1118.227,0.226,0.743
12.098,0.712,1.807,11101.043,1019.08,-0.072,-0.418
24.226,0.816,1.517,11660.829,1117.256,0.576,1.519
11.442,0.741,1.9,11336.627,1065.437,0.199,0.968
6.635,0.875,1.204,12673.01,1577.156,0.338,-0.759
7.948,0.795,1.218,10612.258,687.777,0.242,0.116
27.318,0.833,1.387,11354.497,1370.265,-0.044,0.485
24.147,0.705,2.027,11559.626,1395.504,0.555,0.903
17.606,0.802,1.72,11408.687,1176.478,-0.29,0.241
31.786,0.738,1.548,11375.914,1346.173,-0.448,0.551
14.901,0.719,1.9,11519.576,1053.333,0.025,0.041
24.583,0.818,1.544,11088.466,1406.308,0.011,-0.294
24.221,0.805,1.691,11434.013,1432.132,0.173,-0.083
21.31,0.775,1.439,10917.226,1488.951,-0.153,-0.76
19.169,0.751,2.02,10845.203,986.616,0.192,-0.355
21.246,0.811,1.605,10827.066,1154.494,0.144,0.418
18.106,0.801,1.428,11014.542,1386.005,-0.263,0.242
28.16,0.799,1.681,11648.547,1294.687,0.076,0.014
6.12,0.829,1.305,11020.584,1441.059,-0.071,-0.844
21.325,0.796,1.502,11352.743,1557.872,0.411,0.398
24.03,0.801,1.65,11504.239,1437.502,0.38,-0.515
16.293,0.822,1.624,10724.85,1128.265,0.142,1.703
13.299,0.719,2.052,11336.564,1499.847,-0.573,-0.089
14.009,0.845,1.305,11430.49,1384.383,1.009,0.612
17.38,0.742,1.812,11442.334,1085.389,1.731,6.055
20.957,0.763,1.664,10950.912,1177.792,0.543,1.388
29.121,0.763,1.731,11051.889,1271.285,0.09,0.777
20.938,0.841,1.127,11208.869,1844.432,-0.129,-0.738
23.069,0.694,1.623,11816.433,1200.142,0.242,0.447
26.632,0.789,1.809,10941.432,977.594,0.134,0.077
19.83,0.78,1.345,10979.368,1240.663,1.372,4.716
15.352,0.805,1.509,11249.832,1445.306,0.624,0.225
21.467,0.868,1.275,10856.78,1312.921,0.305,0.218
20.213,0.809,1.661,11451.072,1297.909,0.049,1.221
24.275,0.732,1.809,11223.318,1431.51,0.226,-0.498
23.853,0.826,1.606,11609.445,1287.514,0.714,1.566
22.471,0.726,1.994,11049.718,1143.003,-0.115,-0.594
13.411,0.718,1.704,11966.955,1486.535,0.59,0.206
13.524,0.756,1.937,10944.429,1181.197,-0.071,0.226
15.558,0.768,1.875,11140.876,1360.044,0.335,0.856
27.616,0.761,1.658,11148.348,1363.564,0.632,0.093
22.623,0.813,1.617,10879.17,1194.804,0.05,0.221
10.344,0.804,1.667,11105.987,1349.851,-0.295,-0.754
15.651,0.651,2.046,11512.604,1669.832,0.651,0.267
9.913,0.724,2.158,10991.858,1363.712,0.116,-0.444
29.523,0.734,1.819,11104.445,1506.43,-0.126,0.124
24.039,0.787,1.801,11003.853,1289.444,0.051,0.079
