Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
28.729,0.814,1.663,11523.877,1073.448,0.178,2.333,24,11168.648,289,506,470091,week24_F09_cluster_1
15.224,0.714,2.084,11499.194,990.682,0.256,0.772,24,11168.648,289,506,470091,week24_F09_cluster_1
34.829,0.802,1.734,11630.345,977.522,-0.519,0.944,24,11168.648,289,506,470091,week24_F09_cluster_1
21.212,0.89,1.201,11554.182,960.964,0.219,0.229,24,11168.648,289,506,470091,week24_F09_cluster_1
32.61,0.825,1.247,11660.908,1199.335,1.002,1.649,24,11168.648,289,506,470091,week24_F09_cluster_1
28.636,0.788,1.693,11699.614,1368.647,0.649,0.751,24,11168.648,289,506,470091,week24_F09_cluster_1
23.006,0.81,1.688,11389.152,955.873,-0.122,1.456,24,11168.648,289,506,470091,week24_F09_cluster_1
27.445,0.749,1.616,11514.786,943.242,0.508,0.879,24,11168.648,289,506,470091,week24_F09_cluster_1
12.647,0.748,2.019,11732.143,807.216,0.055,0.089,24,11168.648,289,506,470091,week24_F09_cluster_1
7.938,0.742,1.658,11325.455,1615.473,0.594,0.233,24,11168.648,289,506,470091,week24_F09_cluster_1
20.85,0.803,1.498,11309.965,1197.056,-0.404,0.384,24,11168.648,289,506,470091,week24_F09_cluster_1
27.087,0.854,1.285,11447.946,925.896,-0.722,1.844,24,11168.648,289,506,470091,week24_F09_cluster_1
21.643,0.838,1.452,11547.037,955.659,0.168,0.372,24,11168.648,289,506,470091,week24_F09_cluster_1
21.937,0.69,1.696,11527.958,1168.841,-0.411,-0.118,24,11168.648,289,506,470091,week24_F09_cluster_1
17.88,0.852,1.415,11694.781,1174.887,0.847,1.557,24,11168.648,289,506,470091,week24_F09_cluster_1
9.932,0.74,2.099,12059.085,745.806,0.261,-0.123,24,11168.648,289,506,470091,week24_F09_cluster_1
19.727,0.731,2.01,11762.109,1354.718,-0.087,0.402,24,11168.648,289,506,470091,week24_F09_cluster_1
31.713,0.737,1.744,11599.368,988.437,-0.384,2.618,24,11168.648,289,506,470091,week24_F09_cluster_1
18.796,0.739,1.661,11770.577,1329.756,1.352,2.54,24,11168.648,289,506,470091,week24_F09_cluster_1
24.505,0.811,1.588,11316.513,1440.886,-0.173,0.137,24,11168.648,289,506,470091,week24_F09_cluster_1
10.153,0.833,1.547,11644.613,779.288,0.647,1.388,24,11168.648,289,506,470091,week24_F09_cluster_1
22.692,0.819,1.323,11815.404,1376.009,0.583,0.891,24,11168.648,289,506,470091,week24_F09_cluster_1
20.933,0.781,1.834,11130.259,737.445,0.366,1.606,24,11168.648,289,506,470091,week24_F09_cluster_1
