Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
14.23,0.748,2.075,10970.896,1177.95,0.189,0.331
17.62,0.82,1.243,11194.924,1646.792,-0.014,0.075
14.509,0.745,2.02,11139.31,1358.274,0.33,1.058
9.3,0.746,1.876,10756.62,1168.237,0.143,0.349
10.172,0.73,1.585,11126.346,1372.107,-0.535,0.232
27.455,0.803,1.716,11483.154,1162.219,-0.053,-0.484
20.124,0.816,1.658,11031.801,1091.459,0.172,0.148
24.872,0.812,1.592,11271.991,1087.995,0.004,-0.003
12.902,0.819,1.567,10931.785,1206.324,-0.041,0.524
28.136,0.765,1.841,10964.949,1182.925,-0.084,-0.245
19.046,0.717,1.996,11597.198,1434.163,0.457,-0.099
18.292,0.812,1.514,11055.609,1282.33,0.969,1.53
18.792,0.837,1.598,11064.174,1290.774,0.259,0.094
20.492,0.836,1.439,11513.497,1401.773,-0.009,0.014
24.177,0.817,1.494,11127.105,1294.639,0.02,-0.429
28.41,0.79,1.599,11734.787,1424.24,0.181,0.409
28.748,0.859,1.357,11254.274,1325.149,0.252,0.094
28.43,0.769,1.85,11508.453,1340.864,-0.153,-0.297
11.094,0.784,1.854,11151.934,1507.44,0.454,-0.385
28.347,0.784,1.388,11347.812,1228.939,-0.209,0.185
22.422,0.751,2.114,11157.92,1271.881,0.633,0.875
19.012,0.85,1.447,10828.002,1320.002,0.004,0.504
21.8,0.805,1.721,11367.2,1348.014,0.379,-0.232
18.267,0.802,1.248,11820.398,2019.557,-0.204,-0.512
26.372,0.651,2.295,11214.386,1147.603,0.338,0.855
15.754,0.839,1.623,10911.019,1183.613,-0.035,0.131
15.562,0.733,1.919,11136.851,1198.661,-0.155,0.113
22.418,0.859,1.423,11214.047,1388.323,0.166,-0.573
27.695,0.698,1.681,11111.383,1532.271,0.458,0.183
10.383,0.787,1.85,11443.342,2193.165,0.285,-0.762
20.84,0.786,1.847,11442.232,1150.796,0.005,-0.274
23.956,0.867,1.364,11679.857,1394.94,0.037,-0.132
14.739,0.78,1.741,11473.171,1269.836,0.072,-0.576
33.227,0.856,1.379,11024.463,1352.953,0.043,0.099
10.065,0.762,1.937,11232.403,1417.51,-0.446,0.137
30.973,0.783,1.503,11707.913,1623.418,-0.005,-0.134
15.499,0.744,2.109,11447.947,1528.259,0.167,-0.546
14.97,0.725,2.237,11299.143,1037.517,-0.184,-0.551
26.235,0.75,2.025,11250.685,1209.284,0.1,-0.298
17.586,0.859,1.37,11569.306,1484.504,0.009,-0.493
14.543,0.729,2.122,11582.642,1306.388,0.28,-0.273
23.157,0.804,1.653,11668.521,1483.349,0.073,0.082
21.433,0.759,1.707,11484.553,1569.468,0.438,0.04
23.52,0.86,1.448,11524.18,1467.65,0.106,-0.382
17.91,0.767,1.965,10868.114,1200.741,0.294,1.049
24.123,0.863,1.335,11724.224,1436.149,0.234,0.439
