Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
15.641,0.805,1.768,11546.197,1141.809,0.095,0.284,24,5199.366,104,238,473091,week24_I09_cluster_1
29.64,0.816,1.643,11579.91,1096.9,0.177,0.071,24,5199.366,104,238,473091,week24_I09_cluster_1
27.656,0.822,1.562,11665.792,1056.849,-0.227,-0.349,24,5199.366,104,238,473091,week24_I09_cluster_1
10.947,0.693,2.184,12036.472,916.884,0.293,0.026,24,5199.366,104,238,473091,week24_I09_cluster_1
26.632,0.756,1.687,12163.484,1550.502,0.594,0.408,24,5199.366,104,238,473091,week24_I09_cluster_1
12.583,0.774,1.233,12009.4,935.824,0.062,0.245,24,5199.366,104,238,473091,week24_I09_cluster_1
33.242,0.834,1.459,11685.533,1122.606,-0.498,0.175,24,5199.366,104,238,473091,week24_I09_cluster_1
20.585,0.807,1.343,11518.532,1014.356,-0.326,0.638,24,5199.366,104,238,473091,week24_I09_cluster_1
20.026,0.738,2.173,11827.276,903.535,0.096,0.964,24,5199.366,104,238,473091,week24_I09_cluster_1
25.789,0.838,1.349,11662.233,1311.482,0.026,0.197,24,5199.366,104,238,473091,week24_I09_cluster_1
26.69,0.733,1.75,11797.878,1294.845,0.323,0.469,24,5199.366,104,238,473091,week24_I09_cluster_1
39.225,0.729,1.719,11722.903,1343.621,0.15,0.841,24,5199.366,104,238,473091,week24_I09_cluster_1
22.883,0.816,1.639,12010.089,1081.751,-0.156,-0.119,24,5199.366,104,238,473091,week24_I09_cluster_1
15.249,0.86,1.449,11699.088,1312.845,-0.065,0.157,24,5199.366,104,238,473091,week24_I09_cluster_1
28.209,0.737,2.082,11911.266,1046.062,0.201,0.21,24,5199.366,104,238,473091,week24_I09_cluster_1
33.472,0.791,1.627,11966.583,1268.632,0.588,0.959,24,5199.366,104,238,473091,week24_I09_cluster_1
26.543,0.836,1.528,11751.855,1097.089,-0.292,0.273,24,5199.366,104,238,473091,week24_I09_cluster_1
29.542,0.811,1.556,11695.695,1165.389,0.244,1.038,24,5199.366,104,238,473091,week24_I09_cluster_1
16.493,0.836,1.571,11490.596,1136.333,0.266,0.092,24,5199.366,104,238,473091,week24_I09_cluster_1
22.912,0.817,1.577,11920.703,1230.429,0.013,0.279,24,5199.366,104,238,473091,week24_I09_cluster_1
24.025,0.824,1.612,12096.498,1072.319,-0.386,0.842,24,5199.366,104,238,473091,week24_I09_cluster_1
24.451,0.764,1.539,12561.558,939.487,0.587,2.554,24,5199.366,104,238,473091,week24_I09_cluster_1
24.613,0.738,1.877,11916.659,996.222,0.039,0.477,24,5199.366,104,238,473091,week24_I09_cluster_1
28.415,0.77,1.852,11468.161,1107.623,-0.347,1.016,24,5199.366,104,238,473091,week24_I09_cluster_1
6.35,0.809,1.804,11403.491,2292.963,0.233,-0.614,24,5199.366,104,238,473091,week24_I09_cluster_1
20.08,0.823,1.585,11684.381,1286.009,-0.491,0.702,24,5199.366,104,238,473091,week24_I09_cluster_1
22.236,0.669,1.861,12622.374,1359.49,0.805,0.659,24,5199.366,104,238,473091,week24_I09_cluster_1
28.234,0.706,1.819,11788.367,1338.832,0.492,1.94,24,5199.366,104,238,473091,week24_I09_cluster_1
25.612,0.812,1.537,12109.467,1382.58,0.62,0.884,24,5199.366,104,238,473091,week24_I09_cluster_1
19.306,0.728,2.153,12057.211,1103.536,-0.093,0.109,24,5199.366,104,238,473091,week24_I09_cluster_1
10.07,0.77,1.632,11680.172,1557.766,0.061,-0.409,24,5199.366,104,238,473091,week24_I09_cluster_1
29.116,0.81,1.538,11953.323,1409.295,0.441,0.135,24,5199.366,104,238,473091,week24_I09_cluster_1
22.021,0.795,1.541,12159.791,1157.782,0.532,1.459,24,5199.366,104,238,473091,week24_I09_cluster_1
6.796,0.815,1.766,11014.531,1537.359,-0.32,-0.628,24,5199.366,104,238,473091,week24_I09_cluster_1
30.703,0.791,1.434,12421.042,1326.86,0.492,0.684,24,5199.366,104,238,473091,week24_I09_cluster_1
27.489,0.766,1.716,11745.784,1221.108,-0.351,0.487,24,5199.366,104,238,473091,week24_I09_cluster_1
16.709,0.831,1.42,11842.805,1336.647,0.577,1.093,24,5199.366,104,238,473091,week24_I09_cluster_1
24.897,0.78,1.693,12301.9,1369.762,0.022,0.066,24,5199.366,104,238,473091,week24_I09_cluster_1
24.823,0.78,1.829,12240.961,1137.865,0.52,0.871,24,5199.366,104,238,473091,week24_I09_cluster_1
9.006,0.732,1.763,11429.553,1583.366,-0.331,-0.051,24,5199.366,104,238,473091,week24_I09_cluster_1
15.411,0.782,1.599,12260.312,1171.259,0.214,0.572,24,5199.366,104,238,473091,week24_I09_cluster_1
23.153,0.75,1.568,12698.465,1384.388,1.082,0.856,24,5199.366,104,238,473091,week24_I09_cluster_1
32.467,0.698,1.9,11672.426,1216.548,0.36,0.892,24,5199.366,104,238,473091,week24_I09_cluster_1
24.235,0.776,1.833,11664.59,1090.772,-0.288,0.022,24,5199.366,104,238,473091,week24_I09_cluster_1
7.13,0.842,1.515,11247.342,1087.862,0.035,0.081,24,5199.366,104,238,473091,week24_I09_cluster_1
16.043,0.867,1.055,12168.269,1482.715,-0.071,0.158,24,5199.366,104,238,473091,week24_I09_cluster_1
31.968,0.828,1.468,12156.765,1059.825,-0.126,0.432,24,5199.366,104,238,473091,week24_I09_cluster_1
38.769,0.784,1.292,11915.225,1289.132,0.101,0.024,24,5199.366,104,238,473091,week24_I09_cluster_1
20.614,0.884,1.295,11759.28,1482.427,0.747,0.433,24,5199.366,104,238,473091,week24_I09_cluster_1
10.408,0.739,1.718,11731.766,1308.587,0.323,-0.037,24,5199.366,104,238,473091,week24_I09_cluster_1
23.741,0.79,1.613,11525.333,913.977,0.292,1.073,24,5199.366,104,238,473091,week24_I09_cluster_1
21.805,0.788,1.749,11649.778,1101.633,-0.305,0.272,24,5199.366,104,238,473091,week24_I09_cluster_1
22.432,0.807,1.271,12210.565,1175.161,0.372,0.897,24,5199.366,104,238,473091,week24_I09_cluster_1
26.636,0.809,1.583,11656.659,1146.452,0.806,1.226,24,5199.366,104,238,473091,week24_I09_cluster_1
31.478,0.833,1.366,11698.009,1170.76,-0.282,0.288,24,5199.366,104,238,473091,week24_I09_cluster_1
14.671,0.818,1.689,11375.992,993.263,0.3,0.062,24,5199.366,104,238,473091,week24_I09_cluster_1
17.493,0.753,1.965,11792.785,1058.54,-0.239,0.323,24,5199.366,104,238,473091,week24_I09_cluster_1
17.135,0.781,1.599,12256.345,1127.459,-0.503,0.548,24,5199.366,104,238,473091,week24_I09_cluster_1
24.005,0.748,1.624,11710.269,1276.805,0.503,1.548,24,5199.366,104,238,473091,week24_I09_cluster_1
36.461,0.801,1.264,12371.562,1332.819,-0.553,1.134,24,5199.366,104,238,473091,week24_I09_cluster_1
26.681,0.772,1.775,11793.651,1037.888,-0.36,-0.233,24,5199.366,104,238,473091,week24_I09_cluster_1
20.712,0.848,1.402,12151.39,1194.681,0.879,1.979,24,5199.366,104,238,473091,week24_I09_cluster_1
21.991,0.777,1.699,12166.771,1608.243,0.625,-0.049,24,5199.366,104,238,473091,week24_I09_cluster_1
22.202,0.79,1.712,11687.595,1168.17,-0.304,0.209,24,5199.366,104,238,473091,week24_I09_cluster_1
11.138,0.771,1.538,12030.603,1419.549,0.3,-0.448,24,5199.366,104,238,473091,week24_I09_cluster_1
26.842,0.814,1.486,12624.248,1283.601,0.577,0.698,24,5199.366,104,238,473091,week24_I09_cluster_1
28.631,0.772,1.688,12222.93,1011.889,-0.373,0.056,24,5199.366,104,238,473091,week24_I09_cluster_1
23.383,0.709,1.942,12200.785,1147.22,0.293,0.819,24,5199.366,104,238,473091,week24_I09_cluster_1
23.099,0.771,1.458,12361.713,1250.159,0.293,0.723,24,5199.366,104,238,473091,week24_I09_cluster_1
8.84,0.753,1.89,11443.509,1322.185,-0.028,0.452,24,5199.366,104,238,473091,week24_I09_cluster_1
10.736,0.825,1.263,12439.636,1098.564,-0.104,-0.254,24,5199.366,104,238,473091,week24_I09_cluster_1
29.836,0.716,1.899,12440.006,1149.006,0.219,0.873,24,5199.366,104,238,473091,week24_I09_cluster_1
28.489,0.798,1.747,11823.039,1381.243,0.483,0.551,24,5199.366,104,238,473091,week24_I09_cluster_1
21.237,0.843,1.466,12230.323,1020.057,-0.403,-0.339,24,5199.366,104,238,473091,week24_I09_cluster_1
21.683,0.753,1.755,12040.594,986.24,0.198,0.108,24,5199.366,104,238,473091,week24_I09_cluster_1
23.074,0.8,1.464,11829.537,1252.079,0.868,1.23,24,5199.366,104,238,473091,week24_I09_cluster_1
22.692,0.818,1.657,11789.019,1007.005,-0.444,0.377,24,5199.366,104,238,473091,week24_I09_cluster_1
29.41,0.794,1.26,12136.218,1093.9,-0.212,1.189,24,5199.366,104,238,473091,week24_I09_cluster_1
15.979,0.838,1.586,12035.892,1294.007,1.004,1.753,24,5199.366,104,238,473091,week24_I09_cluster_1
24.128,0.79,1.529,11807.228,1220.375,-0.286,-0.137,24,5199.366,104,238,473091,week24_I09_cluster_1
28.508,0.812,1.593,11982.824,1084.71,-0.309,0.149,24,5199.366,104,238,473091,week24_I09_cluster_1
17.978,0.764,1.722,11380.369,1127.704,-0.066,0.051,24,5199.366,104,238,473091,week24_I09_cluster_1
27.504,0.793,1.393,11962.861,1105.172,-0.16,0.286,24,5199.366,104,238,473091,week24_I09_cluster_1
7.767,0.66,2.394,11947.838,1324.497,-0.037,-0.539,24,5199.366,104,238,473091,week24_I09_cluster_1
28.709,0.778,1.756,12354.401,927.717,-0.463,0.613,24,5199.366,104,238,473091,week24_I09_cluster_1
18.346,0.811,1.386,12464.6,983.583,-0.223,0.185,24,5199.366,104,238,473091,week24_I09_cluster_1
23.02,0.767,1.656,12146.744,957.104,0.199,0.236,24,5199.366,104,238,473091,week24_I09_cluster_1
33.727,0.768,1.496,11836.515,955.059,0.076,0.074,24,5199.366,104,238,473091,week24_I09_cluster_1
14.181,0.764,1.538,11865.757,1257.543,-0.067,1.273,24,5199.366,104,238,473091,week24_I09_cluster_1
31.267,0.782,1.672,11710.839,1034.607,0.25,1.061,24,5199.366,104,238,473091,week24_I09_cluster_1
13.181,0.802,1.261,11458.48,1098.637,0.499,0.568,24,5199.366,104,238,473091,week24_I09_cluster_1
9.477,0.754,1.854,11735.373,1216.567,0.621,0.998,24,5199.366,104,238,473091,week24_I09_cluster_1
11.932,0.851,1.47,12014.986,1078.865,-0.221,-0.37,24,5199.366,104,238,473091,week24_I09_cluster_1
13.96,0.773,1.835,12033.329,1440.68,-0.492,-0.374,24,5199.366,104,238,473091,week24_I09_cluster_1
27.602,0.748,1.722,12436.266,1014.895,-0.021,0.081,24,5199.366,104,238,473091,week24_I09_cluster_1
30.566,0.736,2.023,11660.042,986.538,-0.72,1.135,24,5199.366,104,238,473091,week24_I09_cluster_1
13.284,0.827,1.571,11575.637,1069.969,0.109,-0.041,24,5199.366,104,238,473091,week24_I09_cluster_1
25.25,0.844,1.552,11545.828,848.496,-0.191,-0.023,24,5199.366,104,238,473091,week24_I09_cluster_1
14.386,0.742,1.811,12079.775,939.116,-0.359,0.002,24,5199.366,104,238,473091,week24_I09_cluster_1
10.251,0.793,1.632,11605.567,1266.694,0.261,0.013,24,5199.366,104,238,473091,week24_I09_cluster_1
11.373,0.725,1.201,12070.187,1003.304,-0.215,0.492,24,5199.366,104,238,473091,week24_I09_cluster_1
18.615,0.792,1.472,11933.686,969.041,-0.564,-0.054,24,5199.366,104,238,473091,week24_I09_cluster_1
25.926,0.796,1.68,11594.25,903.464,-0.141,0.279,24,5199.366,104,238,473091,week24_I09_cluster_1
