Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
24,5220.749,138,243,473092,week24_I09_cluster_2
