Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
11.701,0.716,2.256,11068.739,1113.714,0.083,-0.146
26.7,0.673,1.99,11073.332,1162.204,0.343,0.554
24.564,0.875,1.251,11100.831,1169.516,-0.293,-0.375
27.871,0.812,1.703,11038.509,1025.819,-0.091,0.785
14.837,0.846,1.365,10791.95,2361.86,0.053,-0.732
16.567,0.804,1.553,11131.944,1122.786,-0.362,-0.3
21.776,0.782,1.888,11000.332,1006.694,-0.096,0.38
21.07,0.802,1.727,11375.089,936.229,0.118,0.776
12.549,0.796,1.197,10972.793,1151.335,-0.318,0.346
17.674,0.807,1.685,11001.52,1078.613,0.261,0.708
26.852,0.734,1.83,11194.043,1138.786,0.089,-0.393
25.397,0.811,1.588,10935.205,1168.568,-0.288,-0.706
6.502,0.861,1.393,10856.194,1050.92,0.199,-0.112
29.508,0.823,1.686,11119.312,1003.813,0.059,0.954
26.391,0.819,1.614,11124.867,1002.896,-0.541,0.411
24,0.773,1.844,11031.11,900.768,-0.06,0.211
27.357,0.842,1.513,11091.268,942.378,-0.166,-0.342
20.83,0.864,1.476,11032.558,1386.734,0.505,0.599
35.314,0.872,1.291,11555.371,804.796,-0.05,1.69
26.862,0.782,1.568,11258.547,1298.891,0.396,1.337
16.9,0.867,1.352,11002.068,1203.826,-0.213,0.533
21.354,0.762,1.89,10997.646,921.79,-0.35,0.158
12.431,0.833,1.203,11083.068,1066.793,-0.86,-0.203
11.211,0.774,1.994,10664.557,1337.736,0.197,-0.499
28.685,0.795,1.706,11360.417,936.952,-0.222,0.694
26.862,0.822,1.61,11081.555,944.174,-0.07,0.654
9.114,0.829,1.618,11014.96,705.997,-0.116,-0.7
34.981,0.778,1.651,11241.412,934.843,-0.023,-0.106
35.951,0.772,1.776,11516.969,875.121,0.063,1.971
31.532,0.793,1.723,11072.041,1041.347,-0.097,0.275
35.937,0.703,1.995,11265.931,994.427,0.275,3.232
35.804,0.857,1.318,11545.386,1069.621,0.029,0.457
24.451,0.869,1.371,11052.699,1192.192,-0.351,-0.396
29.292,0.802,1.771,11134.473,960.283,-0.242,-0.071
27.891,0.788,1.493,11423.609,983.186,0.17,0.496
19.757,0.813,1.704,10954.25,1161.968,0.128,0.157
12.093,0.762,1.916,11006.885,1045.034,0.02,-0.775
18.042,0.803,1.69,10996.119,1031.975,-0.08,-0.116
13.137,0.776,1.714,11110.452,1257.548,0.711,0.398
24.52,0.87,1.396,11353.142,845.871,-0.182,0.174
11.956,0.787,1.569,11677.117,1110.905,0.429,0.689
28.797,0.84,1.54,11190.568,987.493,0.224,-0.033
27.842,0.844,1.481,11100.281,1107.89,-0.199,1.288
38.294,0.699,1.687,11482.965,1230.647,0.636,1.717
31.777,0.84,1.3,11189.751,986.522,-0.268,1.693
9.477,0.874,1.383,10766.999,1051.675,0.395,0.073
7.179,0.803,1.768,10685.141,1125.358,-0.526,-0.442
28.028,0.831,1.503,11428.29,941.986,-0.192,-0.002
26.685,0.758,1.986,10986.26,910.032,-0.372,0.195
19.184,0.813,1.628,11117.936,1101.818,0.044,-0.19
31.742,0.734,1.672,11245.708,1144.406,0.646,2.109
18.64,0.87,1.337,11162.186,1223.999,0.178,0.967
35.094,0.818,1.627,11228.528,1038.919,0.458,0.845
27.357,0.856,1.377,11498.405,697.587,-0.507,0.146
12.397,0.803,1.705,10990.825,1191.592,0.17,-0.086
6.355,0.872,1.374,11428.794,941.012,0.518,0.288
24.676,0.816,1.6,11224.066,1038.15,0.449,-0.162
25.152,0.812,1.666,11765.101,746.971,0.137,1.16
33.398,0.767,1.546,11433.644,1155.893,0.413,0.824
22.344,0.847,1.564,11017.194,979.574,-0.409,1.758
30.493,0.876,1.207,11187.141,871.722,-0.253,0.866
32.737,0.839,1.391,11225.027,1016.786,0.037,-0.164
23.794,0.876,1.331,11217.817,804.947,-0.367,0.302
13.99,0.694,2.164,11164.371,1025.244,-0.104,0.439
27.67,0.791,1.776,11255.287,1077.686,-0.309,-0.106
23.329,0.762,1.674,11585.694,1045.914,0.977,2.494
31.997,0.859,1.265,11103.414,1034.007,-0.008,0.455
22.579,0.75,1.761,11333.567,1206.96,0.754,1.759
14.901,0.772,1.92,10878.362,1177.993,-0.656,0.628
25.431,0.757,1.744,11409.029,875.319,0.585,2.14
24.039,0.793,1.818,11045.133,933.04,-0.289,0.57
38.274,0.785,1.724,11271.595,934.754,-0.195,0.705
6.473,0.856,1.371,10876.052,1254.463,-0.158,-0.925
25.867,0.818,1.662,11179.134,998.984,0.204,2.744
25.181,0.759,1.724,11200.506,1068.882,-0.089,0.127
22.001,0.793,1.471,11651.279,1223.491,0.738,1.619
34.996,0.723,1.774,11760.333,768.125,0.904,8.144
26.73,0.728,1.549,11741.047,687.483,-0.441,1.039
29.263,0.737,1.704,11575.87,930.727,0.459,2.503
27.989,0.803,1.458,11244.495,995.538,0.185,0.838
31.659,0.773,1.682,11346.088,911.391,-0.4,1.934
29.723,0.764,1.841,11414.843,785.853,-0.389,0.921
24.74,0.804,1.672,11200.355,1066.871,0.223,0.128
28.307,0.817,1.608,11127.396,996.067,-0.234,0.476
27.043,0.859,1.319,11366.067,1029.624,0.028,2.303
32.34,0.704,1.783,11339.654,1046.204,0.281,2.118
25.906,0.783,1.665,11147.751,897.088,0.0006996,0.755
16.738,0.82,1.178,11327.99,1055.613,-0.255,-0.466
33.771,0.801,1.39,11181.137,977.377,-0.035,0.734
29.567,0.856,1.341,11164.347,872.152,-0.207,-0.552
12.412,0.763,1.972,11808.274,746.155,0.042,0.073
31.644,0.827,1.165,11084.208,1094.238,-0.525,0.433
9.423,0.799,1.454,11219.641,1234.557,-0.165,0.517
12.098,0.769,1.666,11081.293,1524.548,0.529,0.441
27.479,0.772,1.764,11192.328,977.719,-0.224,1.491
32.423,0.845,1.282,11406.404,905.614,0.244,1.374
6.047,0.823,1.595,10579.225,1168.904,0.315,-0.504
29.978,0.765,1.603,11296.11,983.289,-0.024,0.732
26.524,0.755,1.882,11441.641,755.543,-0.115,1.174
6.517,0.835,1.212,11015.615,1566.829,0.583,0.218
21.952,0.785,1.442,11438.846,897.37,-0.091,0.815
19.546,0.79,1.741,11327.487,1117.998,-0.173,0.143
18.096,0.812,1.472,11335.245,920.561,0.35,0.209
17.233,0.713,2.143,11283.561,1350.112,-0.103,-0.119
22.026,0.805,1.602,11270.578,995.029,0.029,0.881
23.398,0.766,1.907,11046.854,1186.031,-0.346,0.62
26.798,0.723,1.886,11482.935,1090.522,0.668,2.353
21.839,0.789,1.83,11517.067,769.712,-0.067,0.576
31.002,0.832,1.539,11254.556,1001.117,0.22,-0.075
27.033,0.801,1.606,11479.687,754.719,-0.196,0.386
13.377,0.732,1.971,11391.043,1059.511,0.137,-0.489
22.756,0.802,1.587,11197.017,878.856,-0.292,-0.686
30.37,0.762,1.667,11120.908,981.043,-0.53,0.894
19.615,0.768,1.707,11188.145,1139.939,0.056,0.67
32.056,0.824,1.578,11627.761,835.134,-0.315,0.368
25.558,0.81,1.635,11503.341,733.639,-0.279,1.238
23.172,0.823,1.547,11310.62,1043.943,-0.191,-0.272
31.424,0.818,1.35,11538.262,778.713,-0.517,0.767
27.548,0.734,1.727,11249.788,1035.71,-0.083,0.539
23.442,0.78,1.842,11551.222,757.303,0.382,1.778
25.735,0.812,1.484,11306.853,958.607,0.038,0.264
21.883,0.769,1.886,11135.259,932.101,-0.37,0.111
14.494,0.728,1.666,11436.983,1316.547,0.961,2.235
30.12,0.843,1.277,11284.923,1101.758,0.302,0.654
22.859,0.739,1.776,11298.281,962.09,-0.323,1.212
32.928,0.771,1.49,11305.129,865.772,0.136,0.224
30.081,0.799,1.57,11525.982,740.312,-0.456,0.327
27.656,0.792,1.689,11636.633,786.943,-0.153,1.632
22.584,0.801,1.819,11179.005,844.631,0.014,-0.022
10.55,0.715,1.607,11590.988,1083.873,-0.351,0.368
20.511,0.782,1.866,11283.597,928.731,-0.643,0.526
14.112,0.729,1.65,10951.649,1703.586,-0.068,0.14
15.18,0.752,1.74,11305.681,1126.441,0.41,0.053
28.508,0.794,1.788,11575.119,700.313,-0.353,1.763
12.99,0.812,1.287,11833.61,840.51,-0.126,0.361
23.304,0.829,1.477,11295.77,1039.243,0.219,1.058
22.555,0.747,1.798,11320.041,1009.697,0.058,0.621
26.529,0.739,1.647,11335.46,1054.465,-0.271,0.767
23.226,0.808,1.589,11178.193,961.229,0.03,0.657
28.596,0.724,1.946,11498.564,848.421,0.405,1.136
29.88,0.777,1.667,11619.221,822.985,-0.342,0.901
9.124,0.813,1.723,10995.571,1018.595,-0.678,0.212
31.032,0.78,1.341,11384.542,996.569,0.057,1.247
25.838,0.772,1.435,11244.143,1189.943,0.951,2.451
21.825,0.828,1.592,11735.107,764.087,-0.202,0.505
