Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt
20.884,0.755,1.87,12067.91,1023.148,-0.021,0.698
13.882,0.67,2.358,11950.545,977.672,0.058,0.895
15.077,0.716,2.025,12055.063,1062.404,-0.355,0.423
23.069,0.766,1.869,12394.032,1269.938,0.146,0.662
27.881,0.821,1.542,12418.708,1256.221,0.413,0.533
22.295,0.681,2.208,12114.465,984.976,-0.069,0.03
18.581,0.818,1.483,12448.518,1299.71,0.058,0.326
15.322,0.781,1.843,12215.057,1291.436,-0.017,0.726
22.099,0.826,1.542,12157.92,1266.907,0.368,0.998
19.713,0.692,2.399,12009.698,1370.03,0.589,0.695
18.924,0.646,1.865,12438.756,1068.385,-0.0006473,0.392
27.906,0.772,1.747,12407.254,1384.049,0.297,0.609
11.427,0.733,1.93,12473.417,1309,0.474,0.254
21.683,0.817,1.332,12463.934,1308.973,-0.015,0.218
27.793,0.793,1.751,12365.795,1416.822,-0.328,-0.485
15.146,0.838,1.618,12208.422,1313.925,0.196,0.493
23.726,0.752,2.064,12404.886,1366.378,0.002,0.567
8.786,0.847,1.339,12575.502,1077.527,0.069,0.278
18.973,0.657,2.272,12501.034,1313.315,0.564,0.311
8.154,0.728,1.648,12857.572,1698.741,0.355,-0.468
19.816,0.727,1.718,12573.673,1384.952,0.256,0.431
24.848,0.787,1.602,12544.039,1134.379,0.019,0.968
13.529,0.647,2.54,11934.746,1011.185,-0.036,0.567
15.411,0.861,1.396,12881.688,1649.696,0.437,-0.482
26.524,0.86,1.384,12419.066,1291.426,-0.051,0.75
28.239,0.73,1.67,12564.295,1309.751,0.254,0.404
18.992,0.869,1.174,13143.299,1422.599,0.105,0.162
14.965,0.798,1.686,12368.468,1454.919,0.572,0.573
14.778,0.776,1.696,12287.142,1449.631,-0.479,0.275
9.114,0.777,1.922,12218.749,1159.267,0.543,0.336
30.101,0.847,1.423,12528.268,1201.922,-0.297,0.217
30.478,0.783,1.452,12750.529,1548.04,-0.053,-0.266
18.223,0.792,1.673,12304.758,1150.212,0.255,0.742
17.238,0.807,1.189,12841.742,1372.723,0.258,-0.163
37.916,0.733,1.755,12696.382,1384.606,0.087,0.137
23.819,0.675,2.475,12343.314,1192.577,-0.234,0.085
16.165,0.687,1.763,12372.848,1400.048,0.682,0.926
22.094,0.752,1.835,12707.271,1476.636,-0.034,-0.329
25.113,0.749,1.463,12677.807,1554.29,0.304,0.022
27.94,0.825,1.394,12725.537,1333.042,0.302,0.025
7.076,0.781,1.44,12985.541,1526.839,-0.422,0.394
24.319,0.684,1.884,12572.453,1524.646,-0.436,-0.0008785
19.237,0.678,2.342,12684.239,1140.087,0.24,0.459
21.261,0.744,1.677,12740.003,1526.86,0.695,0.177
23.064,0.781,1.77,12479.83,1171.734,-0.198,0.536
17.733,0.726,2.008,12566.22,1215.567,0.393,0.772
8.663,0.76,1.6,12607.352,1075.293,0.063,0.687
24.265,0.738,1.981,12796.118,1490.129,0.104,-0.109
22.648,0.728,2.088,12419.232,1339.162,-0.204,0.212
7.154,0.824,1.45,12517.991,996.783,0.286,1.125
17.179,0.812,1.412,12595.587,1604.276,0.03,-0.229
24.774,0.777,1.665,12789.629,1194.486,0.582,0.603
20.286,0.803,1.398,12498.379,1574.757,0.386,-0.004
18.115,0.77,1.69,12679.529,1255.509,0.347,0.698
12.304,0.787,1.742,12780.474,1201.763,-0.094,0.244
14.391,0.81,1.379,12679.692,1658.522,-0.075,0.082
25.926,0.841,1.368,12744.118,1275.94,0.178,0.679
12.975,0.735,1.869,12501.225,1465.505,0.263,-0.027
11.535,0.799,1.685,12011.413,1365.14,0.058,0.769
12.387,0.675,2.043,12908.125,1337.499,0.65,0.222
22.628,0.847,1.441,13027.42,1388.944,0.274,-0.267
10.746,0.74,1.69,12219.445,1403.81,-0.313,-0.453
16.381,0.747,1.985,12727.773,1153.123,0.1,0.352
30.16,0.763,1.565,13004.697,1275.036,0.135,0.109
7.639,0.808,1.324,12912.417,890.057,-0.115,-0.104
30.434,0.697,2.116,12936.307,1459.749,0.158,-0.06
18.772,0.806,1.584,12676.033,1201.187,-0.458,0.304
20.634,0.753,1.881,13177.772,1625.28,-0.156,-0.522
19.233,0.786,1.792,12492.534,1192.995,-0.289,0.387
28.984,0.765,1.894,12833.938,1100.943,0.273,0.427
18.591,0.669,2.372,12777.175,1238.833,0.333,0.382
7.463,0.76,1.336,12876.678,1542.374,-0.101,-0.043
21.864,0.707,1.613,13146.39,1572.22,0.046,-0.281
25.661,0.625,2.393,13023.857,1128.318,0.037,0.661
12.51,0.771,1.832,12550.864,1576.916,0.078,-0.449
27.852,0.789,1.753,12764.57,1194.127,-0.248,0.491
27.803,0.738,2.095,12773.509,1313.132,-0.384,0.326
6.233,0.682,2.44,12088.587,1651.216,-0.008,-0.207
6.003,0.842,1.546,13220.164,1247.247,-0.582,1.19
22.266,0.715,2.336,12695.535,1186.706,-0.435,1.529
20.482,0.765,1.702,12712.248,1175.177,-0.171,0.675
12.946,0.732,2.039,13170.551,1674.798,0.187,-0.636
28.611,0.766,1.719,13003.497,1368.353,0.047,-0.355
20.492,0.776,1.766,12996.514,1567.599,-0.277,-0.274
22.741,0.684,2.324,12602.785,1166.408,-0.655,1.199
14.269,0.715,1.802,12785.356,1285.228,0.058,0.656
27.107,0.844,1.523,12860.225,1269.889,-0.091,0.137
22.246,0.796,1.687,12990.367,1411.501,-0.126,0.143
9.918,0.708,2.301,12443.822,1484.439,-0.187,-0.394
