Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
16.175,0.722,2.122,11367.233,1071.939,0.697,2.371,8,1063.3,30,56,268041,week8_D04_cluster_1
20.859,0.746,2.027,11575.358,1223.408,0.378,0.847,8,1063.3,30,56,268041,week8_D04_cluster_1
15.7,0.722,1.696,11792.438,1639.342,0.619,0.058,8,1063.3,30,56,268041,week8_D04_cluster_1
17.988,0.699,2.295,11274.775,1450.319,0.113,0.067,8,1063.3,30,56,268041,week8_D04_cluster_1
23.687,0.8,1.373,11570.289,1375.458,0.504,0.628,8,1063.3,30,56,268041,week8_D04_cluster_1
11.437,0.755,1.976,12096.125,1505.603,0.543,-0.098,8,1063.3,30,56,268041,week8_D04_cluster_1
21.844,0.71,1.945,11509.849,1075.641,-0.38,1.92,8,1063.3,30,56,268041,week8_D04_cluster_1
22.761,0.762,1.462,11958.429,1545.526,0.524,0.03,8,1063.3,30,56,268041,week8_D04_cluster_1
15.675,0.726,2.043,11572.394,1371.329,0.393,-0.509,8,1063.3,30,56,268041,week8_D04_cluster_1
6.517,0.674,2.095,11934.944,661.682,-0.096,-0.138,8,1063.3,30,56,268041,week8_D04_cluster_1
21.585,0.631,2.545,11307.936,1238.474,-0.628,0.807,8,1063.3,30,56,268041,week8_D04_cluster_1
22.177,0.808,1.509,11553.219,1094.331,0.294,1.348,8,1063.3,30,56,268041,week8_D04_cluster_1
17.282,0.698,1.905,11283.255,1099.884,-0.39,0.394,8,1063.3,30,56,268041,week8_D04_cluster_1
16.552,0.843,1.338,11847.475,1341.519,0.563,0.689,8,1063.3,30,56,268041,week8_D04_cluster_1
23.819,0.775,1.872,11364.809,1164.558,-0.073,1.203,8,1063.3,30,56,268041,week8_D04_cluster_1
13.828,0.677,2.15,11428.057,1191.384,-0.205,0.233,8,1063.3,30,56,268041,week8_D04_cluster_1
27.817,0.689,1.886,11967.833,1549.933,0.178,-0.458,8,1063.3,30,56,268041,week8_D04_cluster_1
22.354,0.795,1.484,11646.945,1537.496,0.621,0.329,8,1063.3,30,56,268041,week8_D04_cluster_1
19.11,0.751,1.96,11536.204,1242.379,0.099,0.046,8,1063.3,30,56,268041,week8_D04_cluster_1
16.513,0.776,1.73,11630.131,1361.816,0.232,0.372,8,1063.3,30,56,268041,week8_D04_cluster_1
21.423,0.802,1.616,11736.804,1386.439,0.672,0.831,8,1063.3,30,56,268041,week8_D04_cluster_1
27.773,0.736,1.958,11876.691,1342.473,0.064,-0.064,8,1063.3,30,56,268041,week8_D04_cluster_1
20.404,0.768,1.909,11488.744,1426.845,0.019,0.047,8,1063.3,30,56,268041,week8_D04_cluster_1
17.714,0.718,1.921,11624.706,1115.764,-0.078,0.977,8,1063.3,30,56,268041,week8_D04_cluster_1
21.624,0.755,1.734,11726.505,1281.379,0.557,0.129,8,1063.3,30,56,268041,week8_D04_cluster_1
23.3,0.754,1.891,11786.736,977.048,0.241,0.98,8,1063.3,30,56,268041,week8_D04_cluster_1
6.698,0.793,1.821,11815.893,1027.01,0.208,-0.25,8,1063.3,30,56,268041,week8_D04_cluster_1
20.698,0.703,2.261,11550.974,1118.922,-0.097,0.796,8,1063.3,30,56,268041,week8_D04_cluster_1
17.086,0.759,2,11479.551,1197.481,-0.164,1.058,8,1063.3,30,56,268041,week8_D04_cluster_1
18.38,0.648,2.316,11744.622,1573.733,0.447,-0.208,8,1063.3,30,56,268041,week8_D04_cluster_1
