Area,Circularity,Aspect_Ratio,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
10.084,0.637,2.572,11853.132,956.774,-0.166,-0.059,8,22939.86,589,1197,271041,week8_G04_cluster_1
20.32,0.71,2.238,11447.925,1450.934,0.763,1.21,8,22939.86,589,1197,271041,week8_G04_cluster_1
16.454,0.699,2.089,11521.278,1465.845,-0.083,-0.257,8,22939.86,589,1197,271041,week8_G04_cluster_1
14.323,0.736,2.153,11619.69,966.917,0.252,0.051,8,22939.86,589,1197,271041,week8_G04_cluster_1
14.925,0.677,2.597,11525.448,696.818,-0.609,0.352,8,22939.86,589,1197,271041,week8_G04_cluster_1
23.074,0.614,2.082,11554.324,1149.445,0.103,-0.159,8,22939.86,589,1197,271041,week8_G04_cluster_1
22.408,0.875,1.257,11666.539,1105.778,0.23,-0.15,8,22939.86,589,1197,271041,week8_G04_cluster_1
16.346,0.788,1.706,11795.457,1438.91,0.872,1.077,8,22939.86,589,1197,271041,week8_G04_cluster_1
20.222,0.675,2.021,11529.992,1221.733,0.539,0.769,8,22939.86,589,1197,271041,week8_G04_cluster_1
7.752,0.826,1.586,11789.946,1176.726,-0.222,-0.261,8,22939.86,589,1197,271041,week8_G04_cluster_1
17.807,0.729,1.887,11380.685,1056.32,-0.24,-0.275,8,22939.86,589,1197,271041,week8_G04_cluster_1
22.746,0.657,2.331,11405.089,1339.734,0.1,0.567,8,22939.86,589,1197,271041,week8_G04_cluster_1
25.333,0.826,1.391,11867.417,1274.112,0.257,-0.372,8,22939.86,589,1197,271041,week8_G04_cluster_1
9.486,0.767,1.811,11564.914,1021.444,-0.398,0.023,8,22939.86,589,1197,271041,week8_G04_cluster_1
26.318,0.767,1.881,11712.216,1193.216,0.363,1.157,8,22939.86,589,1197,271041,week8_G04_cluster_1
22.971,0.786,1.531,11691.524,1035.425,0.408,0.831,8,22939.86,589,1197,271041,week8_G04_cluster_1
20.325,0.738,2.124,11440.785,1288.555,-0.7,1.312,8,22939.86,589,1197,271041,week8_G04_cluster_1
22.883,0.693,2.335,11803.793,1333.814,0.018,1.07,8,22939.86,589,1197,271041,week8_G04_cluster_1
11.544,0.796,1.593,11622.807,1018.984,-0.298,-0.147,8,22939.86,589,1197,271041,week8_G04_cluster_1
11.53,0.698,2.221,12011.112,1050.497,0.722,1.122,8,22939.86,589,1197,271041,week8_G04_cluster_1
13.343,0.695,2.412,11384.312,921.037,-0.097,0.584,8,22939.86,589,1197,271041,week8_G04_cluster_1
23.907,0.744,1.428,11732.9,1358.482,0.139,0.098,8,22939.86,589,1197,271041,week8_G04_cluster_1
20.854,0.677,2.431,11523.257,1121.477,0.007,-0.349,8,22939.86,589,1197,271041,week8_G04_cluster_1
27.298,0.698,1.862,11783.295,1258.346,0.147,0.456,8,22939.86,589,1197,271041,week8_G04_cluster_1
19.781,0.718,2.016,11922.527,1441.594,0.437,0.824,8,22939.86,589,1197,271041,week8_G04_cluster_1
6.375,0.673,1.96,11106.885,1448.41,-0.137,-0.532,8,22939.86,589,1197,271041,week8_G04_cluster_1
16.944,0.821,1.494,11660.671,885.353,0.289,0.223,8,22939.86,589,1197,271041,week8_G04_cluster_1
19.674,0.684,2.195,11566.2,1273.793,0.497,0.575,8,22939.86,589,1197,271041,week8_G04_cluster_1
25.642,0.699,2.312,11715.419,843.484,-0.138,0.584,8,22939.86,589,1197,271041,week8_G04_cluster_1
19.659,0.806,1.755,11675.332,1357.557,0.488,0.552,8,22939.86,589,1197,271041,week8_G04_cluster_1
18.924,0.799,1.792,11675.711,1191.041,0.125,-0.198,8,22939.86,589,1197,271041,week8_G04_cluster_1
22.035,0.744,1.416,11930.128,1183.417,0.596,0.409,8,22939.86,589,1197,271041,week8_G04_cluster_1
19.007,0.84,1.238,11680.885,1273.117,0.353,1.102,8,22939.86,589,1197,271041,week8_G04_cluster_1
17.542,0.732,2.255,11450.072,1232.838,0.071,-0.298,8,22939.86,589,1197,271041,week8_G04_cluster_1
8.33,0.72,2.269,11237.702,1492.196,0.093,-0.145,8,22939.86,589,1197,271041,week8_G04_cluster_1
20.791,0.669,2.259,11737.223,1237.541,0.308,0.234,8,22939.86,589,1197,271041,week8_G04_cluster_1
19.071,0.708,2.059,11858.268,1312.721,0.425,0.811,8,22939.86,589,1197,271041,week8_G04_cluster_1
17.792,0.731,1.691,11693.197,1137.736,0.334,0.227,8,22939.86,589,1197,271041,week8_G04_cluster_1
21.756,0.718,2.181,11648.188,1218.709,-0.23,0.658,8,22939.86,589,1197,271041,week8_G04_cluster_1
16.435,0.735,1.732,11682.171,1278.648,0.528,0.531,8,22939.86,589,1197,271041,week8_G04_cluster_1
