Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
11.437,1.307,0.00605,0.00786,0.865,10733.684,989.485,-0.51,0.364,0,13908.42,402,943,167031,week0_C03_cluster_1
19.463,1.322,0.01019,3e-05,0.893,10925.329,1210.217,-0.201,0.501,0,13908.42,402,943,167031,week0_C03_cluster_1
11.446,1.052,0.00227,0.05942,0.898,10864.191,1055.942,-0.161,-0.356,0,13908.42,402,943,167031,week0_C03_cluster_1
8.943,1.252,0.04568,0.02155,0.883,10930.622,872.235,-0.489,-0.04,0,13908.42,402,943,167031,week0_C03_cluster_1
15.479,1.101,0.03439,0.02029,0.878,10846.217,1294.784,0.034,1.339,0,13908.42,402,943,167031,week0_C03_cluster_1
17.454,1.258,0.01448,0.01877,0.833,10861.147,1038.409,-0.673,0.635,0,13908.42,402,943,167031,week0_C03_cluster_1
10.457,1.103,0.02545,0.00943,0.905,10942.734,1166.411,-0.496,2.268,0,13908.42,402,943,167031,week0_C03_cluster_1
20.178,1.136,0.02413,0.0051,0.866,10928.395,1303.263,0.121,0.709,0,13908.42,402,943,167031,week0_C03_cluster_1
14.563,1.184,0.0263,0.02891,0.904,10885.963,1124.32,-0.356,-0.308,0,13908.42,402,943,167031,week0_C03_cluster_1
9.555,1.225,0.00642,0.03644,0.889,11140.295,957.765,-0.853,1.469,0,13908.42,402,943,167031,week0_C03_cluster_1
23.143,1.497,0.00544,0.00872,0.777,10993.285,1033.008,-0.331,0.52,0,13908.42,402,943,167031,week0_C03_cluster_1
9.408,1.236,0.03143,0.00018,0.889,10802.634,751.312,-0.355,-0.174,0,13908.42,402,943,167031,week0_C03_cluster_1
18.723,1.289,0.01416,0.0006,0.887,10828.625,1272.459,-0.247,0.234,0,13908.42,402,943,167031,week0_C03_cluster_1
7.242,1.248,0.00776,0.00675,0.891,11184.437,737.294,-0.695,0.487,0,13908.42,402,943,167031,week0_C03_cluster_1
6.223,1.276,0.01604,0.01586,0.879,10592.604,1095.315,-0.394,0.689,0,13908.42,402,943,167031,week0_C03_cluster_1
20.776,1.271,0.00733,0.01076,0.853,11153.027,1466.37,0.024,0.636,0,13908.42,402,943,167031,week0_C03_cluster_1
15.999,1.124,0.00341,0.02159,0.898,11497.114,1133.963,-0.194,-0.048,0,13908.42,402,943,167031,week0_C03_cluster_1
21.197,1.366,0.02446,0.00464,0.859,11064.96,972.717,-0.117,0.205,0,13908.42,402,943,167031,week0_C03_cluster_1
7.365,1.24,8e-05,0.02992,0.887,11393.154,855.509,0.434,0.271,0,13908.42,402,943,167031,week0_C03_cluster_1
