Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
26.171,1.719,0.07171,0.01566,0.737,11357.038,1013.605,-0.251,0.3,24,8828.923,241,403,469091,week24_E09_cluster_1
6.63,1.562,0.01524,0.03655,0.817,10906.212,1116.872,-0.904,1.508,24,8828.923,241,403,469091,week24_E09_cluster_1
26.94,1.887,0.00123,0.0215,0.752,11431.184,1207.359,0.915,2.467,24,8828.923,241,403,469091,week24_E09_cluster_1
20.031,1.927,0.00558,0.01235,0.783,11071.761,1068.283,0.353,1.834,24,8828.923,241,403,469091,week24_E09_cluster_1
25.372,1.343,0.0084,0.01225,0.843,11441.112,1200.343,0.139,0.224,24,8828.923,241,403,469091,week24_E09_cluster_1
12.926,1.666,0.00439,0.01107,0.822,11175.872,1046.623,-0.058,0.185,24,8828.923,241,403,469091,week24_E09_cluster_1
24.069,1.707,0.04693,0.00641,0.789,11390.068,1097.461,0.336,0.792,24,8828.923,241,403,469091,week24_E09_cluster_1
24.706,1.616,0.00398,0.01138,0.805,11564.757,1214.869,0.127,0.994,24,8828.923,241,403,469091,week24_E09_cluster_1
15.778,1.8,0.00656,0.02998,0.814,10962.891,1107.69,-0.584,0.52,24,8828.923,241,403,469091,week24_E09_cluster_1
18.101,1.541,0.01822,0.00955,0.849,11304.965,1389.893,-0.204,0.362,24,8828.923,241,403,469091,week24_E09_cluster_1
24.917,1.525,0.00837,0.0041,0.837,11263.801,917.986,-0.506,0.438,24,8828.923,241,403,469091,week24_E09_cluster_1
24.956,1.474,0.00872,0.02743,0.866,11334.185,1040.419,-0.178,0.747,24,8828.923,241,403,469091,week24_E09_cluster_1
14.739,2.267,0.04316,0.03722,0.719,11024.575,870.523,-0.228,-0.471,24,8828.923,241,403,469091,week24_E09_cluster_1
33.173,1.449,0.05109,0.01205,0.829,11598.195,1035.641,0.146,0.696,24,8828.923,241,403,469091,week24_E09_cluster_1
13.46,1.963,0.02937,0.00813,0.764,11054.963,1359.531,-0.085,-0.454,24,8828.923,241,403,469091,week24_E09_cluster_1
19.478,1.774,0.03421,0.00294,0.784,11185.509,1102.148,-0.422,1.907,24,8828.923,241,403,469091,week24_E09_cluster_1
26.269,1.409,0.0455,0.02011,0.858,11330.424,1148.378,-0.045,0.083,24,8828.923,241,403,469091,week24_E09_cluster_1
14.636,1.679,0.01812,0.01604,0.811,11238.95,989.722,0.174,0.366,24,8828.923,241,403,469091,week24_E09_cluster_1
25.127,1.423,0.06436,0.01103,0.829,11748.443,1156.15,0.305,0.666,24,8828.923,241,403,469091,week24_E09_cluster_1
23.378,1.424,0.00165,0.01782,0.853,11553.409,1028.561,-0.298,0.149,24,8828.923,241,403,469091,week24_E09_cluster_1
30.801,1.51,0.10711,0.01804,0.75,11510.642,1354.709,0.138,0.375,24,8828.923,241,403,469091,week24_E09_cluster_1
25.103,1.795,0.0438,0.00895,0.772,11443.327,964.223,-0.212,-0.123,24,8828.923,241,403,469091,week24_E09_cluster_1
21.683,1.391,0.01253,0.00638,0.873,11322.81,1092.025,0.044,-0.254,24,8828.923,241,403,469091,week24_E09_cluster_1
20.698,1.521,0.01159,0.00367,0.847,11188.83,1066.237,-0.492,0.995,24,8828.923,241,403,469091,week24_E09_cluster_1
26.22,1.569,0.10941,0.00364,0.772,11268.551,1272.031,0.421,1.8,24,8828.923,241,403,469091,week24_E09_cluster_1
22.32,1.534,0.08768,0.01945,0.81,11386.38,1191.6,-0.033,0.476,24,8828.923,241,403,469091,week24_E09_cluster_1
13.382,1.989,0.04219,0.00491,0.77,11609.616,1081.332,-0.291,0.29,24,8828.923,241,403,469091,week24_E09_cluster_1
9.903,1.729,0.0506,0.02672,0.81,11079.788,1206.491,-0.323,-0.144,24,8828.923,241,403,469091,week24_E09_cluster_1
23.78,1.662,0.02037,0.00328,0.813,11572.728,1055.707,0.468,1.924,24,8828.923,241,403,469091,week24_E09_cluster_1
25.872,1.322,0.01654,0.00723,0.872,11503.469,1041.635,0.096,0.137,24,8828.923,241,403,469091,week24_E09_cluster_1
20.874,1.587,0.04367,0.01207,0.812,11536,1097.294,-0.452,1.577,24,8828.923,241,403,469091,week24_E09_cluster_1
26.975,1.41,0.03612,0.00163,0.834,11421.676,981.566,0.18,1.499,24,8828.923,241,403,469091,week24_E09_cluster_1
25.524,1.422,0.07808,0.00714,0.829,11032.699,1110.217,0.082,0.729,24,8828.923,241,403,469091,week24_E09_cluster_1
19.919,2.363,0.03754,0.03305,0.673,11417.325,1119.404,-0.704,2.084,24,8828.923,241,403,469091,week24_E09_cluster_1
8.972,1.429,0.00112,0.06315,0.829,11344.859,1692.815,0.006,-0.662,24,8828.923,241,403,469091,week24_E09_cluster_1
29.268,1.561,0.02502,0.00231,0.808,11817.229,1064.737,0.492,1.275,24,8828.923,241,403,469091,week24_E09_cluster_1
28.312,2.002,0.00884,0.00497,0.756,11003.155,1135.665,-0.544,1.72,24,8828.923,241,403,469091,week24_E09_cluster_1
29.655,1.351,0.04037,0.01799,0.863,11498.791,1016.466,-0.252,-0.183,24,8828.923,241,403,469091,week24_E09_cluster_1
16.111,1.608,0.06208,0.03004,0.801,11242.143,1299.877,0.887,1.14,24,8828.923,241,403,469091,week24_E09_cluster_1
25.735,1.526,0.08243,0.00848,0.796,11601.379,1284.024,1.135,2.112,24,8828.923,241,403,469091,week24_E09_cluster_1
24.064,1.324,0.03446,0.01269,0.787,11719.461,1247.444,0.525,1.605,24,8828.923,241,403,469091,week24_E09_cluster_1
22.545,1.893,0.07287,0.04311,0.733,11566.063,1001.775,-0.429,0.227,24,8828.923,241,403,469091,week24_E09_cluster_1
11.956,2.387,0.00945,0.02922,0.709,11416.895,1258.17,-0.564,-0.327,24,8828.923,241,403,469091,week24_E09_cluster_1
23.745,2.269,0.00533,0.02142,0.687,11468.754,1098.631,0.106,0.852,24,8828.923,241,403,469091,week24_E09_cluster_1
24.343,1.496,0.00887,0.01644,0.825,11594.538,1064.715,-0.217,0.158,24,8828.923,241,403,469091,week24_E09_cluster_1
10.628,1.955,0.00736,0.00125,0.763,11576.093,1087.42,-0.191,-0.039,24,8828.923,241,403,469091,week24_E09_cluster_1
21.599,2.189,0.05708,0.00333,0.706,11588.695,884.416,-0.234,0.6,24,8828.923,241,403,469091,week24_E09_cluster_1
28.763,1.732,0.03966,0.00673,0.687,11686.315,1193.457,0.427,0.774,24,8828.923,241,403,469091,week24_E09_cluster_1
22.506,1.734,0.02539,0.00788,0.747,11535.194,1262.407,0.103,0.779,24,8828.923,241,403,469091,week24_E09_cluster_1
25.931,1.485,0.06438,0.04494,0.836,11643.762,1254.415,-0.022,0.249,24,8828.923,241,403,469091,week24_E09_cluster_1
15.832,1.526,0.04591,0.07543,0.784,11611.552,1175.138,-0.223,0.189,24,8828.923,241,403,469091,week24_E09_cluster_1
33.967,1.783,0.02392,0.00174,0.8,11498.902,1018.284,-0.493,1.022,24,8828.923,241,403,469091,week24_E09_cluster_1
27.852,1.359,0.01994,0.01966,0.865,11230.551,995.952,0.228,1.754,24,8828.923,241,403,469091,week24_E09_cluster_1
24.618,2.284,0.07146,0.01353,0.653,11871.381,1338.092,0.529,0.777,24,8828.923,241,403,469091,week24_E09_cluster_1
29.101,1.504,0.01536,0.00793,0.82,11269.996,1378.78,0.19,0.174,24,8828.923,241,403,469091,week24_E09_cluster_1
32.203,1.746,0.03833,0.02127,0.764,11840.912,1059.254,0.373,1.225,24,8828.923,241,403,469091,week24_E09_cluster_1
29.106,1.873,0.01512,0.01052,0.76,11288.066,1016.951,0.45,2.358,24,8828.923,241,403,469091,week24_E09_cluster_1
20.472,1.802,0.01389,0.01517,0.776,11730.92,1287.835,0.003,0.193,24,8828.923,241,403,469091,week24_E09_cluster_1
21.462,1.81,0.04186,0.01748,0.779,11453.35,1071.245,-0.232,0.045,24,8828.923,241,403,469091,week24_E09_cluster_1
19.776,2.008,0.03092,0.03413,0.747,11663.192,1221.536,0.415,0.624,24,8828.923,241,403,469091,week24_E09_cluster_1
28.111,1.346,0.01299,0.01871,0.87,12058.506,1204.166,0.546,1.196,24,8828.923,241,403,469091,week24_E09_cluster_1
22.079,1.38,0.047,0.02444,0.837,11471.982,1216.876,-0.356,-0.247,24,8828.923,241,403,469091,week24_E09_cluster_1
15.136,1.713,0.00416,0.00983,0.789,11578.808,964.829,-0.452,0.769,24,8828.923,241,403,469091,week24_E09_cluster_1
26.877,1.645,0.0018,0.00502,0.821,11236.411,978.67,0.2,1.313,24,8828.923,241,403,469091,week24_E09_cluster_1
24.627,1.457,0.03329,0.02028,0.737,11574.384,1200.844,0.517,1.526,24,8828.923,241,403,469091,week24_E09_cluster_1
16.204,1.49,0.02283,0.00218,0.825,11656.536,1299.354,0.652,0.726,24,8828.923,241,403,469091,week24_E09_cluster_1
18.017,1.594,0.01098,0.00608,0.835,11755.548,1304.373,0.031,1.506,24,8828.923,241,403,469091,week24_E09_cluster_1
27.754,1.216,0.05284,0.01568,0.839,11693.44,1174.971,0.075,0.228,24,8828.923,241,403,469091,week24_E09_cluster_1
21.197,1.624,0.02559,0.01237,0.801,11208.33,1240.832,0.289,0.716,24,8828.923,241,403,469091,week24_E09_cluster_1
18.89,2.217,0.002,0.02508,0.653,11718.339,1023.708,-0.157,0.814,24,8828.923,241,403,469091,week24_E09_cluster_1
22.143,1.662,0.0281,0.01642,0.815,11330.228,1066.194,-0.438,0.274,24,8828.923,241,403,469091,week24_E09_cluster_1
26.093,1.769,0.00437,0.00593,0.766,11752.627,1100.199,-0.023,0.551,24,8828.923,241,403,469091,week24_E09_cluster_1
13.833,2.086,0.02097,0.06619,0.674,11566.551,1282.857,0.396,1.32,24,8828.923,241,403,469091,week24_E09_cluster_1
19.87,1.487,0.14884,0.00923,0.745,11340.222,1342.499,-0.261,0.656,24,8828.923,241,403,469091,week24_E09_cluster_1
22.78,1.481,0.00701,0.02132,0.823,11655.381,1233.452,0.187,0.23,24,8828.923,241,403,469091,week24_E09_cluster_1
26.431,1.533,0.01003,0.01123,0.841,11619.097,1212.264,0.105,0.522,24,8828.923,241,403,469091,week24_E09_cluster_1
23.897,1.644,0.01002,0.03368,0.806,11266.769,1138.986,0.033,0.06,24,8828.923,241,403,469091,week24_E09_cluster_1
29.052,1.231,0.04943,0.04654,0.843,11941.64,1354.045,-0.084,0.624,24,8828.923,241,403,469091,week24_E09_cluster_1
26.984,1.298,0.03303,0.00861,0.871,12229.781,1319.37,-0.024,1.151,24,8828.923,241,403,469091,week24_E09_cluster_1
28.317,1.214,0.01312,0.03309,0.809,11737.021,1162.251,0.343,2.15,24,8828.923,241,403,469091,week24_E09_cluster_1
19.571,1.54,0.01542,0.00294,0.841,12123.286,1141.168,-0.023,1.349,24,8828.923,241,403,469091,week24_E09_cluster_1
26.455,1.557,0.00068,0.01459,0.811,11552,1133.947,-0.054,0.916,24,8828.923,241,403,469091,week24_E09_cluster_1
32.061,1.608,0.01601,0.00711,0.766,11647.468,1208.001,-0.262,0.024,24,8828.923,241,403,469091,week24_E09_cluster_1
32.33,1.489,0.09374,0.02239,0.78,11637.108,1217.724,0.539,0.922,24,8828.923,241,403,469091,week24_E09_cluster_1
13.896,1.795,0.00195,0.10491,0.733,12181.719,1460.094,0.304,0.137,24,8828.923,241,403,469091,week24_E09_cluster_1
18.87,1.873,0.00123,0.01695,0.783,11036.502,1118.205,0.229,1.557,24,8828.923,241,403,469091,week24_E09_cluster_1
16.513,1.75,0.0293,0.03497,0.767,11431.728,1138.204,0.202,0.31,24,8828.923,241,403,469091,week24_E09_cluster_1
10.192,2.091,0.06953,0.06683,0.662,11756.395,1359.799,0.055,0.217,24,8828.923,241,403,469091,week24_E09_cluster_1
12.74,2.647,0.0767,0.05336,0.637,12653.266,1460.389,0.428,-0.293,24,8828.923,241,403,469091,week24_E09_cluster_1
31.238,1.276,0.05486,0.01563,0.837,11545.542,1226.233,-0.213,0.476,24,8828.923,241,403,469091,week24_E09_cluster_1
15.303,1.9,0.00066,0.02787,0.78,11361.803,1082.016,-0.444,0.585,24,8828.923,241,403,469091,week24_E09_cluster_1
23.407,1.638,0.01141,0.03618,0.787,11975.071,1523.809,0.95,1.068,24,8828.923,241,403,469091,week24_E09_cluster_1
26.063,1.729,0.01169,0.01425,0.752,11837.798,1207.416,0.679,0.999,24,8828.923,241,403,469091,week24_E09_cluster_1
18.321,1.68,0.0359,0.04974,0.803,11603.612,1280.17,0.225,0.818,24,8828.923,241,403,469091,week24_E09_cluster_1
27.259,1.687,0.03544,0.00705,0.747,11937.802,1227.854,-0.109,-0.264,24,8828.923,241,403,469091,week24_E09_cluster_1
33.8,1.441,0.0628,0.02481,0.752,12145.89,1405.098,0.067,0.382,24,8828.923,241,403,469091,week24_E09_cluster_1
24.103,1.542,0.02053,0.00968,0.826,12047.997,1054.859,-0.136,0.122,24,8828.923,241,403,469091,week24_E09_cluster_1
23.652,1.582,0.02998,0.00881,0.834,11957.096,1075.923,-0.258,-0.037,24,8828.923,241,403,469091,week24_E09_cluster_1
19.36,1.744,0.06738,0.02121,0.729,12780.624,1833.424,0.04,-0.535,24,8828.923,241,403,469091,week24_E09_cluster_1
21.55,1.769,0.04321,0.03223,0.787,11597.868,1023.235,-0.021,0.222,24,8828.923,241,403,469091,week24_E09_cluster_1
23.363,2.095,0.06143,0.04549,0.689,11533.752,1128.447,0.935,4.665,24,8828.923,241,403,469091,week24_E09_cluster_1
24.294,1.784,0.03853,0.00556,0.746,11483.885,1058.789,0.489,1.887,24,8828.923,241,403,469091,week24_E09_cluster_1
24.348,1.584,0.01586,0.0081,0.794,11537.743,1341.058,0.572,0.454,24,8828.923,241,403,469091,week24_E09_cluster_1
13.054,2.006,0.00624,0.02631,0.725,11892.639,1143.787,-0.045,0.071,24,8828.923,241,403,469091,week24_E09_cluster_1
17.003,1.618,0.00213,0.02117,0.82,11659.803,1324.449,-0.212,0.327,24,8828.923,241,403,469091,week24_E09_cluster_1
19.37,2.098,0.02171,0.01292,0.705,11821.99,1040.443,0.14,-0.185,24,8828.923,241,403,469091,week24_E09_cluster_1
22.535,1.732,0.0147,0.06473,0.782,11625.9,1113.759,0.514,0.255,24,8828.923,241,403,469091,week24_E09_cluster_1
18.782,2.16,0.05816,0.01975,0.705,11472.698,1095.392,0.071,-0.543,24,8828.923,241,403,469091,week24_E09_cluster_1
