Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
14.181,1.279,0.0104,0.00464,0.821,10807.18,1142.02,-0.185,0.079,24,4830.577,120,213,470101,week24_F10_cluster_1
25.509,1.932,0.03732,0.00813,0.767,11027.435,930.838,-0.495,0.593,24,4830.577,120,213,470101,week24_F10_cluster_1
13.602,1.84,0.00618,0.00712,0.778,10821.499,1077.757,-0.429,0.378,24,4830.577,120,213,470101,week24_F10_cluster_1
24.206,1.886,0.06397,0.00034,0.766,11327.347,1164.927,0.563,1.274,24,4830.577,120,213,470101,week24_F10_cluster_1
22.579,1.719,0.09548,0.0141,0.773,11368.133,1393.111,0.16,0.571,24,4830.577,120,213,470101,week24_F10_cluster_1
21.114,1.8,0.06151,0.00011,0.78,11262.836,1005.402,-0.664,1.303,24,4830.577,120,213,470101,week24_F10_cluster_1
26.171,1.857,0.1001,0.01051,0.754,11438.373,1271.82,0.44,1.258,24,4830.577,120,213,470101,week24_F10_cluster_1
21.722,1.795,0.03042,0.0078,0.804,11186.881,1024.218,-0.625,0.632,24,4830.577,120,213,470101,week24_F10_cluster_1
28.038,1.543,0.04463,0.00605,0.827,11349.642,1326.081,0.059,-0.042,24,4830.577,120,213,470101,week24_F10_cluster_1
16.729,1.925,0.01174,0.01274,0.772,11018.116,926.48,-0.922,1.909,24,4830.577,120,213,470101,week24_F10_cluster_1
32.11,1.418,0.0621,0.00733,0.843,11460.373,1392.382,-0.61,0.465,24,4830.577,120,213,470101,week24_F10_cluster_1
29.645,1.817,0.03083,9e-05,0.77,11471.867,1017.477,-0.016,0.316,24,4830.577,120,213,470101,week24_F10_cluster_1
21.472,1.502,0.05657,0.04178,0.837,11303.944,1131.613,0.554,1.062,24,4830.577,120,213,470101,week24_F10_cluster_1
20.477,1.721,0.04581,0.00365,0.801,11372.682,1121.671,-0.231,0.17,24,4830.577,120,213,470101,week24_F10_cluster_1
25.715,1.441,0.04321,0.0381,0.83,11399.405,885.513,0.064,0.943,24,4830.577,120,213,470101,week24_F10_cluster_1
25.764,1.565,0.01041,0.03633,0.818,11410.543,1303.985,0.697,0.642,24,4830.577,120,213,470101,week24_F10_cluster_1
21.227,1.367,0.03209,0.01298,0.863,11100.908,1213.084,0.262,0.968,24,4830.577,120,213,470101,week24_F10_cluster_1
13.421,1.686,0.02467,0.00077,0.814,11372.241,1458.728,0.291,-0.184,24,4830.577,120,213,470101,week24_F10_cluster_1
24.73,1.681,0.00206,0.01983,0.821,11409.975,1245.51,-0.214,-0.251,24,4830.577,120,213,470101,week24_F10_cluster_1
33.379,1.309,0.00014,0.01534,0.861,11626.208,1124.12,0.145,1.41,24,4830.577,120,213,470101,week24_F10_cluster_1
26.097,1.447,0.03539,0.02976,0.843,11412.195,1036.816,0.051,-0.432,24,4830.577,120,213,470101,week24_F10_cluster_1
11.275,2.115,0.00108,0.03937,0.721,11293.326,1166.527,0.036,-0.478,24,4830.577,120,213,470101,week24_F10_cluster_1
10.741,1.578,0.00326,0.01154,0.802,10922.267,1209.63,0.617,2.343,24,4830.577,120,213,470101,week24_F10_cluster_1
