Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
14.23,2.075,0.05215,0.01932,0.748,10970.896,1177.95,0.189,0.331,24,8672.863,217,416,471101,week24_G10_cluster_1
17.62,1.243,0.00443,0.02249,0.82,11194.924,1646.792,-0.014,0.075,24,8672.863,217,416,471101,week24_G10_cluster_1
14.509,2.02,0.0397,0.00109,0.745,11139.31,1358.274,0.33,1.058,24,8672.863,217,416,471101,week24_G10_cluster_1
9.3,1.876,0.0228,0.0036,0.746,10756.62,1168.237,0.143,0.349,24,8672.863,217,416,471101,week24_G10_cluster_1
10.172,1.585,0.0114,0.03721,0.73,11126.346,1372.107,-0.535,0.232,24,8672.863,217,416,471101,week24_G10_cluster_1
27.455,1.716,0.01599,0.0116,0.803,11483.154,1162.219,-0.053,-0.484,24,8672.863,217,416,471101,week24_G10_cluster_1
20.124,1.658,0.00426,0.01292,0.816,11031.801,1091.459,0.172,0.148,24,8672.863,217,416,471101,week24_G10_cluster_1
24.872,1.592,0.04379,0.02766,0.812,11271.991,1087.995,0.004,-0.003,24,8672.863,217,416,471101,week24_G10_cluster_1
12.902,1.567,0.05844,0.02019,0.819,10931.785,1206.324,-0.041,0.524,24,8672.863,217,416,471101,week24_G10_cluster_1
28.136,1.841,0.07861,0.01638,0.765,10964.949,1182.925,-0.084,-0.245,24,8672.863,217,416,471101,week24_G10_cluster_1
19.046,1.996,0.00209,0.03172,0.717,11597.198,1434.163,0.457,-0.099,24,8672.863,217,416,471101,week24_G10_cluster_1
18.292,1.514,0.0488,0.05128,0.812,11055.609,1282.33,0.969,1.53,24,8672.863,217,416,471101,week24_G10_cluster_1
18.792,1.598,0.00608,0.01497,0.837,11064.174,1290.774,0.259,0.094,24,8672.863,217,416,471101,week24_G10_cluster_1
20.492,1.439,0.00085,0.01379,0.836,11513.497,1401.773,-0.009,0.014,24,8672.863,217,416,471101,week24_G10_cluster_1
24.177,1.494,0.02871,0.02488,0.817,11127.105,1294.639,0.02,-0.429,24,8672.863,217,416,471101,week24_G10_cluster_1
28.41,1.599,0.02803,0.00844,0.79,11734.787,1424.24,0.181,0.409,24,8672.863,217,416,471101,week24_G10_cluster_1
28.748,1.357,0.00286,0.00035,0.859,11254.274,1325.149,0.252,0.094,24,8672.863,217,416,471101,week24_G10_cluster_1
28.43,1.85,0.05356,0.00296,0.769,11508.453,1340.864,-0.153,-0.297,24,8672.863,217,416,471101,week24_G10_cluster_1
11.094,1.854,0.03419,0.00819,0.784,11151.934,1507.44,0.454,-0.385,24,8672.863,217,416,471101,week24_G10_cluster_1
28.347,1.388,0.03864,0.00567,0.784,11347.812,1228.939,-0.209,0.185,24,8672.863,217,416,471101,week24_G10_cluster_1
22.422,2.114,0.03394,0.00516,0.751,11157.92,1271.881,0.633,0.875,24,8672.863,217,416,471101,week24_G10_cluster_1
19.012,1.447,0.03695,0.00086,0.85,10828.002,1320.002,0.004,0.504,24,8672.863,217,416,471101,week24_G10_cluster_1
21.8,1.721,0.0066,0.00212,0.805,11367.2,1348.014,0.379,-0.232,24,8672.863,217,416,471101,week24_G10_cluster_1
18.267,1.248,0.03903,0.01542,0.802,11820.398,2019.557,-0.204,-0.512,24,8672.863,217,416,471101,week24_G10_cluster_1
26.372,2.295,0.00672,0.01581,0.651,11214.386,1147.603,0.338,0.855,24,8672.863,217,416,471101,week24_G10_cluster_1
15.754,1.623,0.02521,0.00888,0.839,10911.019,1183.613,-0.035,0.131,24,8672.863,217,416,471101,week24_G10_cluster_1
15.562,1.919,0.01316,0.10092,0.733,11136.851,1198.661,-0.155,0.113,24,8672.863,217,416,471101,week24_G10_cluster_1
22.418,1.423,0.02031,0.00908,0.859,11214.047,1388.323,0.166,-0.573,24,8672.863,217,416,471101,week24_G10_cluster_1
27.695,1.681,0.08714,0.11989,0.698,11111.383,1532.271,0.458,0.183,24,8672.863,217,416,471101,week24_G10_cluster_1
10.383,1.85,0.03655,0.01134,0.787,11443.342,2193.165,0.285,-0.762,24,8672.863,217,416,471101,week24_G10_cluster_1
20.84,1.847,0.04356,0.00409,0.786,11442.232,1150.796,0.005,-0.274,24,8672.863,217,416,471101,week24_G10_cluster_1
23.956,1.364,0.01111,0.00468,0.867,11679.857,1394.94,0.037,-0.132,24,8672.863,217,416,471101,week24_G10_cluster_1
14.739,1.741,0.07609,0.0129,0.78,11473.171,1269.836,0.072,-0.576,24,8672.863,217,416,471101,week24_G10_cluster_1
33.227,1.379,0.01974,0.01341,0.856,11024.463,1352.953,0.043,0.099,24,8672.863,217,416,471101,week24_G10_cluster_1
10.065,1.937,0.012,0.00061,0.762,11232.403,1417.51,-0.446,0.137,24,8672.863,217,416,471101,week24_G10_cluster_1
30.973,1.503,0.0243,0.02407,0.783,11707.913,1623.418,-0.005,-0.134,24,8672.863,217,416,471101,week24_G10_cluster_1
15.499,2.109,0.01648,0.00241,0.744,11447.947,1528.259,0.167,-0.546,24,8672.863,217,416,471101,week24_G10_cluster_1
14.97,2.237,0.0388,0.02562,0.725,11299.143,1037.517,-0.184,-0.551,24,8672.863,217,416,471101,week24_G10_cluster_1
26.235,2.025,0.01274,0.00667,0.75,11250.685,1209.284,0.1,-0.298,24,8672.863,217,416,471101,week24_G10_cluster_1
17.586,1.37,0.03099,0.01443,0.859,11569.306,1484.504,0.009,-0.493,24,8672.863,217,416,471101,week24_G10_cluster_1
14.543,2.122,0.02955,0.04448,0.729,11582.642,1306.388,0.28,-0.273,24,8672.863,217,416,471101,week24_G10_cluster_1
23.157,1.653,0.02877,0.01323,0.804,11668.521,1483.349,0.073,0.082,24,8672.863,217,416,471101,week24_G10_cluster_1
21.433,1.707,0.0519,0.01405,0.759,11484.553,1569.468,0.438,0.04,24,8672.863,217,416,471101,week24_G10_cluster_1
23.52,1.448,0.00543,0.01734,0.86,11524.18,1467.65,0.106,-0.382,24,8672.863,217,416,471101,week24_G10_cluster_1
17.91,1.965,0.05214,0.01203,0.767,10868.114,1200.741,0.294,1.049,24,8672.863,217,416,471101,week24_G10_cluster_1
24.123,1.335,0.0257,0.0196,0.863,11724.224,1436.149,0.234,0.439,24,8672.863,217,416,471101,week24_G10_cluster_1
10.697,1.704,0.01335,0.0647,0.796,11392.9,1488.59,-0.064,-0.01,24,8672.863,217,416,471101,week24_G10_cluster_1
22.226,1.862,0.085,0.04668,0.736,11077.095,1392.642,0.61,1.237,24,8672.863,217,416,471101,week24_G10_cluster_1
20.649,1.66,0.05545,0.01121,0.774,11144.724,1733.853,0.408,-0.618,24,8672.863,217,416,471101,week24_G10_cluster_1
25.431,1.418,0.05432,0.01296,0.774,11155.511,1510.76,-0.041,-0.083,24,8672.863,217,416,471101,week24_G10_cluster_1
23.133,1.872,0.00148,0.02543,0.637,10836.905,1238.37,0.36,-0.209,24,8672.863,217,416,471101,week24_G10_cluster_1
28.454,2.002,0.04208,0.01059,0.745,11578.398,1377.704,-0.245,-0.361,24,8672.863,217,416,471101,week24_G10_cluster_1
16.768,1.782,0.01224,0.0381,0.798,11485.257,1934.204,0.568,-0.347,24,8672.863,217,416,471101,week24_G10_cluster_1
23.525,2.21,0.03036,0.03239,0.697,11584.768,1272.517,0.327,-0.188,24,8672.863,217,416,471101,week24_G10_cluster_1
23.834,1.837,0.00541,0.00988,0.783,11410.275,1175.249,0.463,0.707,24,8672.863,217,416,471101,week24_G10_cluster_1
24.147,1.534,0.00873,0.02016,0.833,11750.38,1508.55,0.618,-0.056,24,8672.863,217,416,471101,week24_G10_cluster_1
23.848,1.484,0.1023,0.0333,0.761,11365.462,1428.463,0.355,0.055,24,8672.863,217,416,471101,week24_G10_cluster_1
21.942,1.701,0.02073,0.02417,0.812,11061.421,1567.68,0.529,0.951,24,8672.863,217,416,471101,week24_G10_cluster_1
21.369,1.902,0.07434,0.03021,0.752,11611.662,1240.134,0.281,0.758,24,8672.863,217,416,471101,week24_G10_cluster_1
26.127,1.867,0.04407,0.01032,0.77,10860.513,1230.357,0.125,0.575,24,8672.863,217,416,471101,week24_G10_cluster_1
14.053,1.69,0.05564,0.03718,0.76,11500.928,1420.302,-0.277,-0.476,24,8672.863,217,416,471101,week24_G10_cluster_1
21.776,1.905,0.01541,0.02672,0.782,11523.355,1278.733,-0.316,0.742,24,8672.863,217,416,471101,week24_G10_cluster_1
21.673,1.631,0.03272,0.02131,0.81,11081.938,1315.165,0.151,-0.021,24,8672.863,217,416,471101,week24_G10_cluster_1
21.281,1.508,0.02746,0.0153,0.82,11762.622,1393.814,0.492,0.548,24,8672.863,217,416,471101,week24_G10_cluster_1
20.149,1.597,0.07337,0.01306,0.796,11728.867,1507.94,0.343,0.139,24,8672.863,217,416,471101,week24_G10_cluster_1
21.09,1.657,0.01675,0.03953,0.8,11531.859,1462.693,0.059,-0.04,24,8672.863,217,416,471101,week24_G10_cluster_1
20.399,1.948,0.02433,0.01981,0.737,11432.579,1363.597,0.128,-0.117,24,8672.863,217,416,471101,week24_G10_cluster_1
25.622,1.476,0.03083,0.04752,0.831,11770.189,1276.698,-0.043,0.107,24,8672.863,217,416,471101,week24_G10_cluster_1
18.253,1.709,0.03817,0.00553,0.81,10954.081,1162.93,0.119,0.383,24,8672.863,217,416,471101,week24_G10_cluster_1
24.721,1.897,0.01539,0.02132,0.766,11447.856,1191.557,-0.032,-0.35,24,8672.863,217,416,471101,week24_G10_cluster_1
13.397,1.831,0.03752,0.0164,0.767,11524.365,1609.605,0.577,-0.505,24,8672.863,217,416,471101,week24_G10_cluster_1
15.44,1.696,0.00525,0.01654,0.799,11031.8,1154.084,-0.041,-0.254,24,8672.863,217,416,471101,week24_G10_cluster_1
29.527,1.556,0.00267,0.05033,0.769,11872.668,1847.452,0.403,-0.127,24,8672.863,217,416,471101,week24_G10_cluster_1
18.248,1.543,0.01194,0.00941,0.836,11256.515,1518.42,0.609,0.138,24,8672.863,217,416,471101,week24_G10_cluster_1
12.284,1.536,0.00674,0.02737,0.824,11797.28,1919.926,-0.159,-0.77,24,8672.863,217,416,471101,week24_G10_cluster_1
21.217,1.555,0.02559,0.07114,0.774,11160.085,1562.538,0.435,-0.498,24,8672.863,217,416,471101,week24_G10_cluster_1
10.074,1.535,0.00686,0.02668,0.842,11634.25,1897.132,-0.023,-0.719,24,8672.863,217,416,471101,week24_G10_cluster_1
26.436,1.92,0.0451,0.00863,0.759,11411.499,1212.803,0.381,0.522,24,8672.863,217,416,471101,week24_G10_cluster_1
20.119,2.097,0.05477,0.02591,0.734,11552.902,1636.557,0.196,-0.03,24,8672.863,217,416,471101,week24_G10_cluster_1
20.511,1.598,0.0185,0.01119,0.834,11600.207,1608.714,0.296,-0.659,24,8672.863,217,416,471101,week24_G10_cluster_1
23.319,1.502,0.0106,0.0435,0.82,11089.663,1301.232,0.808,0.993,24,8672.863,217,416,471101,week24_G10_cluster_1
13.96,1.773,0.00828,0.05459,0.799,11690.535,1363.951,-0.049,-0.607,24,8672.863,217,416,471101,week24_G10_cluster_1
14.857,1.446,0.03838,0.00933,0.848,10928.89,1241.091,0.569,0.451,24,8672.863,217,416,471101,week24_G10_cluster_1
19.463,1.487,0.02912,0.0126,0.844,11161.567,1180.259,0.332,0.275,24,8672.863,217,416,471101,week24_G10_cluster_1
18.449,1.442,0.00302,0.03404,0.855,11117.075,1570.564,0.226,-0.817,24,8672.863,217,416,471101,week24_G10_cluster_1
34.197,1.359,0.01519,0.0023,0.848,11638.574,1505.48,-0.254,-0.29,24,8672.863,217,416,471101,week24_G10_cluster_1
10.971,2.495,0.00846,0.05183,0.691,11723.917,1625.417,-0.011,-0.011,24,8672.863,217,416,471101,week24_G10_cluster_1
15.876,1.826,0.03547,0.01318,0.804,11660.238,1379.521,-0.173,0.495,24,8672.863,217,416,471101,week24_G10_cluster_1
8.364,1.472,0.04424,0.07634,0.826,11062.168,1502.661,1.153,2.105,24,8672.863,217,416,471101,week24_G10_cluster_1
6.777,1.397,0.07701,0.06016,0.844,11968.839,1788.956,0.232,-0.059,24,8672.863,217,416,471101,week24_G10_cluster_1
26.499,1.922,0.0232,0.0238,0.757,11758.546,1364.36,-0.038,-0.203,24,8672.863,217,416,471101,week24_G10_cluster_1
10.153,1.942,0.06061,0.0156,0.752,11454.851,1463.682,-0.027,-0.403,24,8672.863,217,416,471101,week24_G10_cluster_1
17.66,1.466,0,0.02885,0.836,11484.253,1472.148,0.398,-0.122,24,8672.863,217,416,471101,week24_G10_cluster_1
13.112,2.132,0.02857,0.02833,0.704,11702.213,1165.766,0.223,0.332,24,8672.863,217,416,471101,week24_G10_cluster_1
6.502,1.813,0.02788,0.03051,0.767,11687.402,1317.345,0.124,-0.378,24,8672.863,217,416,471101,week24_G10_cluster_1
31.958,1.657,0.02291,0.00608,0.781,11470.266,1557.717,0.449,-0.003,24,8672.863,217,416,471101,week24_G10_cluster_1
23.932,1.799,0.06325,0.00516,0.76,11166.302,1467.156,0.184,-0.432,24,8672.863,217,416,471101,week24_G10_cluster_1
20.467,1.58,0.01477,0.01024,0.815,11444.393,1400.227,0.062,0.059,24,8672.863,217,416,471101,week24_G10_cluster_1
19.992,1.648,0.07487,0.01005,0.783,11481.857,1372.281,-0.006,0.495,24,8672.863,217,416,471101,week24_G10_cluster_1
9.09,1.847,0.08203,0.03904,0.751,10625.135,1188.421,-0.59,0.684,24,8672.863,217,416,471101,week24_G10_cluster_1
25.132,1.943,0.03662,0.01623,0.773,10956.188,1294.587,-0.065,-0.654,24,8672.863,217,416,471101,week24_G10_cluster_1
31.056,1.963,0.00603,0.01341,0.703,11378.984,1446.845,0.048,-0.161,24,8672.863,217,416,471101,week24_G10_cluster_1
20.384,1.468,0.00458,0.00177,0.85,11749.181,1288.877,0.339,0.62,24,8672.863,217,416,471101,week24_G10_cluster_1
34.246,1.799,0.01027,0.08629,0.76,11927.839,1602.803,0.033,-0.31,24,8672.863,217,416,471101,week24_G10_cluster_1
22.917,1.213,0.0184,0.00629,0.783,11659.943,1603.372,0.55,-0.185,24,8672.863,217,416,471101,week24_G10_cluster_1
23.157,1.304,0.04697,0.04722,0.851,11450.754,1285.627,0.127,-0.283,24,8672.863,217,416,471101,week24_G10_cluster_1
21.918,1.583,0.00437,0.01921,0.831,11718.961,1285.476,0.059,-0.413,24,8672.863,217,416,471101,week24_G10_cluster_1
11.549,1.699,0.00769,0.00471,0.802,11128.728,1516.112,0.138,-0.522,24,8672.863,217,416,471101,week24_G10_cluster_1
12.784,1.839,0.02243,0.00561,0.803,11835.139,1592.763,0.585,0.011,24,8672.863,217,416,471101,week24_G10_cluster_1
20.423,1.614,0.00794,0.01468,0.802,11194.69,1431.861,0.277,0.101,24,8672.863,217,416,471101,week24_G10_cluster_1
25.686,1.387,0.02585,0.00833,0.856,12022.487,1576.642,0.228,-0.642,24,8672.863,217,416,471101,week24_G10_cluster_1
29.939,1.718,0.09508,0.00054,0.723,11637.7,1342.683,0.065,-0.49,24,8672.863,217,416,471101,week24_G10_cluster_1
27.239,1.639,0.02079,0.03046,0.778,11303.822,1257.896,-0.073,-0.235,24,8672.863,217,416,471101,week24_G10_cluster_1
16.905,1.579,0.02457,0.0011,0.848,11168.834,1217.801,1.09,2.813,24,8672.863,217,416,471101,week24_G10_cluster_1
19.644,1.581,0.0243,0.04854,0.731,11967.272,1352.735,-0.118,0.189,24,8672.863,217,416,471101,week24_G10_cluster_1
13.049,2.114,0.06116,0.01234,0.71,11338.148,1390.109,-0.271,-0.171,24,8672.863,217,416,471101,week24_G10_cluster_1
17.297,1.831,0.00728,0.01408,0.779,11515.398,1589.41,-0.171,-0.486,24,8672.863,217,416,471101,week24_G10_cluster_1
31.076,1.628,0.02436,0.02169,0.759,11741.061,1518.256,0.178,0.407,24,8672.863,217,416,471101,week24_G10_cluster_1
31.463,1.437,0.0382,0.0221,0.833,11176.485,1253.057,0.1,-0.475,24,8672.863,217,416,471101,week24_G10_cluster_1
24.681,1.718,0.07654,0.01365,0.714,11580.666,1473.015,0.137,-0.593,24,8672.863,217,416,471101,week24_G10_cluster_1
18.179,2.045,0.02678,0.04957,0.751,10887.208,1150.778,-0.141,1.009,24,8672.863,217,416,471101,week24_G10_cluster_1
23.456,2.029,0.0118,0.02684,0.667,11488.575,1473.43,0.316,-0.279,24,8672.863,217,416,471101,week24_G10_cluster_1
