Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
11.701,2.256,0.04099,0.02603,0.716,11068.739,1113.714,0.083,-0.146,24,22754.782,375,960,473101,week24_I10_cluster_1
26.7,1.99,0.04245,0.01781,0.673,11073.332,1162.204,0.343,0.554,24,22754.782,375,960,473101,week24_I10_cluster_1
24.564,1.251,0.05597,0.0038,0.875,11100.831,1169.516,-0.293,-0.375,24,22754.782,375,960,473101,week24_I10_cluster_1
27.871,1.703,0.00238,0.00117,0.812,11038.509,1025.819,-0.091,0.785,24,22754.782,375,960,473101,week24_I10_cluster_1
14.837,1.365,0.04917,0.01114,0.846,10791.95,2361.86,0.053,-0.732,24,22754.782,375,960,473101,week24_I10_cluster_1
16.567,1.553,0.05927,0.00733,0.804,11131.944,1122.786,-0.362,-0.3,24,22754.782,375,960,473101,week24_I10_cluster_1
21.776,1.888,0.00877,0.00923,0.782,11000.332,1006.694,-0.096,0.38,24,22754.782,375,960,473101,week24_I10_cluster_1
21.07,1.727,0.01946,0.04294,0.802,11375.089,936.229,0.118,0.776,24,22754.782,375,960,473101,week24_I10_cluster_1
12.549,1.197,0.04716,0.15727,0.796,10972.793,1151.335,-0.318,0.346,24,22754.782,375,960,473101,week24_I10_cluster_1
17.674,1.685,0.03266,0.01346,0.807,11001.52,1078.613,0.261,0.708,24,22754.782,375,960,473101,week24_I10_cluster_1
26.852,1.83,0.07104,1e-05,0.734,11194.043,1138.786,0.089,-0.393,24,22754.782,375,960,473101,week24_I10_cluster_1
25.397,1.588,0.03862,0.00567,0.811,10935.205,1168.568,-0.288,-0.706,24,22754.782,375,960,473101,week24_I10_cluster_1
6.502,1.393,0.05471,0.04879,0.861,10856.194,1050.92,0.199,-0.112,24,22754.782,375,960,473101,week24_I10_cluster_1
29.508,1.686,0.01545,0.00724,0.823,11119.312,1003.813,0.059,0.954,24,22754.782,375,960,473101,week24_I10_cluster_1
26.391,1.614,0.02125,0.01736,0.819,11124.867,1002.896,-0.541,0.411,24,22754.782,375,960,473101,week24_I10_cluster_1
24,1.844,0.05484,0.00866,0.773,11031.11,900.768,-0.06,0.211,24,22754.782,375,960,473101,week24_I10_cluster_1
27.357,1.513,0.01447,0.00679,0.842,11091.268,942.378,-0.166,-0.342,24,22754.782,375,960,473101,week24_I10_cluster_1
20.83,1.476,0.00086,0.00654,0.864,11032.558,1386.734,0.505,0.599,24,22754.782,375,960,473101,week24_I10_cluster_1
