Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
17.351,1.9,0.00618,0.01902,0.772,11151.571,867.687,-0.243,-0.511,24,11868.266,169,488,474101,week24_J10_cluster_1
9.286,1.897,0.01388,0.018,0.78,10854.066,1035.792,0.346,-0.175,24,11868.266,169,488,474101,week24_J10_cluster_1
29.606,1.596,0.00501,0.00613,0.803,11304.358,792.311,0.103,0.818,24,11868.266,169,488,474101,week24_J10_cluster_1
25.999,1.74,0.03814,0.01082,0.785,11187.695,787.045,-0.273,0.334,24,11868.266,169,488,474101,week24_J10_cluster_1
28.048,1.673,0.01346,0.00416,0.821,11225.782,699.133,-0.281,0.339,24,11868.266,169,488,474101,week24_J10_cluster_1
17.63,1.588,0.00698,0.00369,0.836,11042.84,878.267,-0.371,0.277,24,11868.266,169,488,474101,week24_J10_cluster_1
35.05,1.752,0.03815,0.0261,0.803,11138.47,868.213,-0.014,0.432,24,11868.266,169,488,474101,week24_J10_cluster_1
35.927,1.692,0.03262,0.03354,0.8,11276.643,841.506,0.318,1.975,24,11868.266,169,488,474101,week24_J10_cluster_1
18.228,1.774,0.01392,0.00182,0.8,11113.095,1049.239,0.076,-0.29,24,11868.266,169,488,474101,week24_J10_cluster_1
30.978,1.452,0.04833,0.0154,0.826,11399.344,930.507,0.46,1.872,24,11868.266,169,488,474101,week24_J10_cluster_1
28.944,1.632,0.02902,0.00486,0.819,11156.67,810.107,-0.69,0.496,24,11868.266,169,488,474101,week24_J10_cluster_1
30.409,1.715,0.01302,0.01305,0.799,11193.101,842.889,-0.645,0.95,24,11868.266,169,488,474101,week24_J10_cluster_1
24.064,1.789,0.05086,0.03739,0.753,11241.382,852.03,-0.125,0.837,24,11868.266,169,488,474101,week24_J10_cluster_1
24.882,1.437,0.03913,0.02064,0.842,11233.212,812.222,-0.425,0.439,24,11868.266,169,488,474101,week24_J10_cluster_1
27.803,1.73,0.07197,0.01951,0.751,11169.202,923.907,0.245,0.49,24,11868.266,169,488,474101,week24_J10_cluster_1
13.259,1.618,0.00462,0.02211,0.824,11062.378,1098.246,-0.638,0.811,24,11868.266,169,488,474101,week24_J10_cluster_1
18.635,1.573,0.00826,0.01689,0.842,11178.142,890.841,0.221,0.894,24,11868.266,169,488,474101,week24_J10_cluster_1
27.837,1.772,0.00844,0.0094,0.797,11207.104,838.671,-0.269,0.534,24,11868.266,169,488,474101,week24_J10_cluster_1
30.209,1.69,0.01503,0.02699,0.799,11336.729,943.646,0.216,0.734,24,11868.266,169,488,474101,week24_J10_cluster_1
26.45,1.622,0.01114,0.00901,0.827,11104.832,911.915,0.051,-0.165,24,11868.266,169,488,474101,week24_J10_cluster_1
21.874,1.912,0.00229,0.00767,0.782,11207.007,710.325,-0.534,0.001,24,11868.266,169,488,474101,week24_J10_cluster_1
9.736,2.167,0.00809,0.03669,0.692,11368.82,781.838,-0.468,0.465,24,11868.266,169,488,474101,week24_J10_cluster_1
