Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
21.237,2.498,0.08503,0.02473,0.654,11557.486,1174.577,-0.383,1.331,8,14262.548,330,719,265011,week8_A01_cluster_1
14.832,2.06,0.04669,0.02942,0.734,11399.793,898.8,-0.619,1.477,8,14262.548,330,719,265011,week8_A01_cluster_1
21.722,1.78,0.037,0.02369,0.796,11584.374,1053.817,0.007,0.062,8,14262.548,330,719,265011,week8_A01_cluster_1
9.104,2.438,0.0114,0.00534,0.701,11628.475,915.199,0.235,-0.085,8,14262.548,330,719,265011,week8_A01_cluster_1
12.221,3.094,0.00995,0.05953,0.605,11832.444,1379.016,-0.193,0.002,8,14262.548,330,719,265011,week8_A01_cluster_1
19.272,1.852,0.12128,0.02757,0.681,11693.207,1206.161,0.611,0.832,8,14262.548,330,719,265011,week8_A01_cluster_1
19.409,1.83,0.03229,0.01092,0.775,11910.457,1254.525,0.444,-0.139,8,14262.548,330,719,265011,week8_A01_cluster_1
24.054,1.434,0.04588,0.01204,0.852,11729.228,1254.121,-0.037,-0.277,8,14262.548,330,719,265011,week8_A01_cluster_1
22.084,2.783,0.03439,0.03203,0.619,11560.815,1122.085,0.083,0.265,8,14262.548,330,719,265011,week8_A01_cluster_1
21.732,2.864,0.02463,0.01304,0.613,11555.035,1277.512,0.079,0.444,8,14262.548,330,719,265011,week8_A01_cluster_1
12.304,1.819,0.05113,0.03944,0.783,11491.352,1028.525,0.618,0.515,8,14262.548,330,719,265011,week8_A01_cluster_1
18.919,2.384,0.01464,0.00499,0.681,11881.443,1063.088,0.303,0.387,8,14262.548,330,719,265011,week8_A01_cluster_1
26.779,2.292,0.00867,0.02547,0.675,11974.754,1211.902,0.558,0.521,8,14262.548,330,719,265011,week8_A01_cluster_1
16.008,2.673,0.04604,0.0329,0.646,11270.914,1033.939,-0.68,0.647,8,14262.548,330,719,265011,week8_A01_cluster_1
13.137,2.283,0.07084,0.03225,0.698,11497.351,1142.035,0.542,0.284,8,14262.548,330,719,265011,week8_A01_cluster_1
16.92,1.986,0.0236,0.0057,0.756,11500.059,1162.71,0.33,0.215,8,14262.548,330,719,265011,week8_A01_cluster_1
24.877,2.082,0.0006,0.02816,0.734,11527.496,1155.881,-0.124,-0.343,8,14262.548,330,719,265011,week8_A01_cluster_1
23.422,2.062,0.01922,0.00688,0.74,11571.939,1217.796,-0.027,-0.214,8,14262.548,330,719,265011,week8_A01_cluster_1
27.665,1.742,0.01971,0.02063,0.791,11616.895,1051.879,0.499,0.88,8,14262.548,330,719,265011,week8_A01_cluster_1
19.669,1.565,0.03179,0.01938,0.812,11562.487,1237.348,0.524,0.136,8,14262.548,330,719,265011,week8_A01_cluster_1
22.814,1.564,0.03247,0.00401,0.806,11647.077,1202.13,0.011,0.484,8,14262.548,330,719,265011,week8_A01_cluster_1
14.411,2.168,0.05293,0.00736,0.705,11616.153,1084.376,-0.03,-0.481,8,14262.548,330,719,265011,week8_A01_cluster_1
14.788,2.359,0.07604,0.01151,0.673,11545.93,1255.323,-0.287,0.014,8,14262.548,330,719,265011,week8_A01_cluster_1
