Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
15.268,2.281,0.01681,0.04766,0.625,12108.621,1010.185,0.054,1.089,8,3708.83,74,219,266012,week8_B01_cluster_2
9.785,1.158,0.05261,0.01175,0.822,12010.574,768.387,0.674,1.203,8,3708.83,74,219,266012,week8_B01_cluster_2
8.874,1.903,0.10269,0.04586,0.739,12426.516,827.705,0.348,-0.334,8,3708.83,74,219,266012,week8_B01_cluster_2
17.983,2.398,0.00423,0.0368,0.681,11989.102,1142.928,0.114,2.228,8,3708.83,74,219,266012,week8_B01_cluster_2
20.933,2.051,0.0733,0.00525,0.72,12241.374,1192.725,0.655,1.158,8,3708.83,74,219,266012,week8_B01_cluster_2
15.807,1.735,0.02814,0.0039,0.778,12051.316,1356.663,0.015,0.257,8,3708.83,74,219,266012,week8_B01_cluster_2
13.054,2.328,0.0496,0.00322,0.707,12080.774,1288.204,-0.457,-0.12,8,3708.83,74,219,266012,week8_B01_cluster_2
18.576,2.541,0.00143,0.02784,0.656,11796.43,1219.292,-0.331,0.599,8,3708.83,74,219,266012,week8_B01_cluster_2
20.458,1.997,0.0665,0.00915,0.723,12062.231,1025.229,0.043,-0.01,8,3708.83,74,219,266012,week8_B01_cluster_2
25.656,1.83,0.03619,0.01047,0.77,12221.213,1212.482,0.278,0.492,8,3708.83,74,219,266012,week8_B01_cluster_2
20.438,2.186,0.06836,0.00571,0.7,12043.552,1296.396,0.62,0.84,8,3708.83,74,219,266012,week8_B01_cluster_2
29.65,1.725,0.00105,0.04396,0.731,12566.693,1251.736,-0.021,-0.613,8,3708.83,74,219,266012,week8_B01_cluster_2
16.542,2.279,0.06032,0.11395,0.676,11988.494,1468.671,0.625,0.56,8,3708.83,74,219,266012,week8_B01_cluster_2
21.844,1.626,0.06175,0.0056,0.792,12502.65,1415.932,0.472,-0.021,8,3708.83,74,219,266012,week8_B01_cluster_2
8.727,1.895,0.00601,0.01647,0.768,12775.026,1105.589,-0.443,1.22,8,3708.83,74,219,266012,week8_B01_cluster_2
19.953,1.374,0.05309,0.02257,0.852,12125.257,1340.831,0.288,0.048,8,3708.83,74,219,266012,week8_B01_cluster_2
20.115,1.992,0.0722,0.00026,0.723,12289.845,1436.314,0.008,0.114,8,3708.83,74,219,266012,week8_B01_cluster_2
18.953,1.954,0.00647,0.01624,0.769,12082.677,1180.23,0.276,0.343,8,3708.83,74,219,266012,week8_B01_cluster_2
17.861,2.048,0.08461,0.01801,0.685,12247.227,1178.322,0.745,1.011,8,3708.83,74,219,266012,week8_B01_cluster_2
10.074,2.091,0.07,0.01202,0.704,12654.424,1048.129,-0.424,0.26,8,3708.83,74,219,266012,week8_B01_cluster_2
15.631,1.553,0.09646,0.03141,0.763,12489.165,1070.048,-0.344,0.088,8,3708.83,74,219,266012,week8_B01_cluster_2
27.803,2.043,0.00029,0.07272,0.699,12571.377,1287.236,0.348,-0.024,8,3708.83,74,219,266012,week8_B01_cluster_2
14.945,1.73,0.00825,0.04451,0.741,12530.144,1440.128,0.53,0.179,8,3708.83,74,219,266012,week8_B01_cluster_2
23.231,1.662,0.01024,0.06516,0.8,12199.181,1285.966,0.375,0.397,8,3708.83,74,219,266012,week8_B01_cluster_2
12.671,2.258,0.03629,0.00878,0.663,12756.485,1581.316,0.051,-0.202,8,3708.83,74,219,266012,week8_B01_cluster_2
10.961,2.351,0.01279,0.02291,0.707,12289.601,1396.076,-0.426,0.22,8,3708.83,74,219,266012,week8_B01_cluster_2
10.021,1.388,0.10558,0.0738,0.761,12963.001,1295.273,0.371,-0.318,8,3708.83,74,219,266012,week8_B01_cluster_2
13.122,2.41,0.04573,0.0277,0.682,12168.217,1388.146,-0.06,0.501,8,3708.83,74,219,266012,week8_B01_cluster_2
14.739,1.634,0.02078,0.06878,0.761,12267.979,1061.646,0.095,-0.411,8,3708.83,74,219,266012,week8_B01_cluster_2
9.883,1.732,0.00141,0.01035,0.831,12214.948,1209.543,0.801,2.026,8,3708.83,74,219,266012,week8_B01_cluster_2
22.746,2.426,0.03744,0.02144,0.69,12531.667,1152.945,-0.27,0.017,8,3708.83,74,219,266012,week8_B01_cluster_2
11.432,1.291,0.01873,0.03813,0.881,12739.215,1678.308,0.251,-0.618,8,3708.83,74,219,266012,week8_B01_cluster_2
9.584,1.59,0.01859,0.02797,0.805,12023.549,1362.44,0.802,0.908,8,3708.83,74,219,266012,week8_B01_cluster_2
18.071,1.66,0.01142,0.00165,0.817,12689.685,1204.311,0.696,0.665,8,3708.83,74,219,266012,week8_B01_cluster_2
15.229,1.692,0.01093,0.00445,0.812,12136.514,1361.253,-0.044,-0.109,8,3708.83,74,219,266012,week8_B01_cluster_2
6.831,1.859,0.00094,0.08198,0.771,12052.044,1195.572,-0.227,-0.098,8,3708.83,74,219,266012,week8_B01_cluster_2
19.825,1.742,0.00322,5e-05,0.81,12433.981,1426.294,0.35,0.233,8,3708.83,74,219,266012,week8_B01_cluster_2
20.899,2.355,0.03453,0.00103,0.677,12407.054,1315.518,-0.182,0.585,8,3708.83,74,219,266012,week8_B01_cluster_2
20.6,1.567,0.01861,0.0668,0.776,12602.028,1354.909,0.214,-0.174,8,3708.83,74,219,266012,week8_B01_cluster_2
15.317,1.953,0.07106,0.06741,0.737,13300.82,1596.417,0.348,-0.75,8,3708.83,74,219,266012,week8_B01_cluster_2
19.233,1.627,0.02791,0.05013,0.782,12663.387,1292.515,0.33,-0.116,8,3708.83,74,219,266012,week8_B01_cluster_2
11.285,1.939,0.0099,0.0008,0.762,12369.53,1112.011,0.315,0.082,8,3708.83,74,219,266012,week8_B01_cluster_2
12.608,2.031,0.01539,0.01846,0.758,12368.453,1218.106,0.011,1.604,8,3708.83,74,219,266012,week8_B01_cluster_2
13.514,1.89,0.10407,0.01576,0.732,12586.744,1136.182,0.714,1.163,8,3708.83,74,219,266012,week8_B01_cluster_2
30.194,1.652,0.04473,0.01663,0.809,12547.463,1531.237,-0.014,-0.289,8,3708.83,74,219,266012,week8_B01_cluster_2
7.83,1.289,0.08896,0.09719,0.77,12284.327,1148.715,0.43,0.508,8,3708.83,74,219,266012,week8_B01_cluster_2
23.584,1.155,0.07124,0.08957,0.79,12481.464,1320.64,-0.127,-0.442,8,3708.83,74,219,266012,week8_B01_cluster_2
13.553,1.828,0.10298,0.0215,0.739,12973.687,1229.698,0.138,-0.734,8,3708.83,74,219,266012,week8_B01_cluster_2
22.32,1.512,0.049,0.06532,0.761,12645.601,1645.122,-0.128,-0.03,8,3708.83,74,219,266012,week8_B01_cluster_2
27.278,1.502,0.02119,0.02042,0.826,12683.785,1462.249,-0.215,-0.082,8,3708.83,74,219,266012,week8_B01_cluster_2
13.612,1.982,0.03271,0.07623,0.739,12349.612,1354.566,0.74,1.125,8,3708.83,74,219,266012,week8_B01_cluster_2
15.504,1.482,0.04579,0.08955,0.746,12327.008,1383.461,0.222,0.526,8,3708.83,74,219,266012,week8_B01_cluster_2
8.134,1.739,0.02766,0.00966,0.706,12552.639,1277.904,0.405,-0.21,8,3708.83,74,219,266012,week8_B01_cluster_2
20.649,2.236,0.00604,0.00664,0.675,12558.96,1005.504,-0.224,-0.509,8,3708.83,74,219,266012,week8_B01_cluster_2
31.899,1.875,0.08639,0.04299,0.701,12726.869,1247.95,0.244,-0.127,8,3708.83,74,219,266012,week8_B01_cluster_2
27.117,1.427,0.01597,0.01111,0.807,12642.454,1380.064,0.107,-0.374,8,3708.83,74,219,266012,week8_B01_cluster_2
12.956,1.614,0.01268,0.01422,0.706,12417.658,1679.527,0.45,-0.0007455,8,3708.83,74,219,266012,week8_B01_cluster_2
17.326,2.121,0.02341,0.02436,0.656,12907.361,1334.972,0.534,0.003,8,3708.83,74,219,266012,week8_B01_cluster_2
26.754,1.675,0.0661,0.03597,0.734,12582.99,1323.002,-0.087,-0.113,8,3708.83,74,219,266012,week8_B01_cluster_2
14.533,2.514,0.05709,0.02011,0.651,12247.187,1244.541,0.59,1.202,8,3708.83,74,219,266012,week8_B01_cluster_2
18.444,1.906,0.01182,0.02687,0.727,12635.357,1148.631,-0.026,-0.24,8,3708.83,74,219,266012,week8_B01_cluster_2
14.391,1.665,0.04051,0.00031,0.799,12417.723,1172.273,-0.475,0.567,8,3708.83,74,219,266012,week8_B01_cluster_2
23.554,1.984,0.02275,0.02187,0.739,12670.624,1255.838,-0.16,-0.791,8,3708.83,74,219,266012,week8_B01_cluster_2
6.532,2.182,0.10081,0.099,0.653,12813.04,1087.16,-0.145,-0.776,8,3708.83,74,219,266012,week8_B01_cluster_2
16.758,1.925,0.00188,0.06538,0.771,12930.994,885.723,0.598,2.251,8,3708.83,74,219,266012,week8_B01_cluster_2
10.128,1.719,0.03283,0.0247,0.8,12256.393,1412.027,-0.463,0.356,8,3708.83,74,219,266012,week8_B01_cluster_2
11.446,1.509,0.08119,0.03687,0.789,12564.391,1144.932,-0.7,0.45,8,3708.83,74,219,266012,week8_B01_cluster_2
12.162,1.64,0.05016,0.00075,0.811,12549.027,1592.23,0.808,0.254,8,3708.83,74,219,266012,week8_B01_cluster_2
15.754,1.796,0.05697,0.06172,0.742,12619.801,1183.464,0.012,-0.755,8,3708.83,74,219,266012,week8_B01_cluster_2
22.217,1.341,0.00063,0.00787,0.838,12654.807,1086.413,-0.215,-0.337,8,3708.83,74,219,266012,week8_B01_cluster_2
18.061,2.301,0.00642,0.00958,0.711,12617.509,1201.631,-0.22,0.892,8,3708.83,74,219,266012,week8_B01_cluster_2
21.903,1.874,0.03225,0.00692,0.773,12656.797,1356.534,0.215,0.287,8,3708.83,74,219,266012,week8_B01_cluster_2
6.762,1.335,0.02753,0.02347,0.794,12608.954,1849.035,-0.103,-0.792,8,3708.83,74,219,266012,week8_B01_cluster_2
20.144,1.973,0.00187,0.00352,0.746,12772.058,1357.393,0.127,-0.222,8,3708.83,74,219,266012,week8_B01_cluster_2
