Area,Aspect_Ratio,Pointedness_Major,Pointedness_Minor,Circularity,Intensity_Mean,Intensity_Std,Intensity_Skew,Intensity_Kurt,Week,Cluster_Area,Detected_Cell_Number,Estimated_Cell_Number,Cluster_ID,Cluster_Name
16.175,2.122,0.02307,0.0132,0.722,11367.233,1071.939,0.697,2.371,8,1063.3,30,56,268041,week8_D04_cluster_1
20.859,2.027,0.00393,0.01619,0.746,11575.358,1223.408,0.378,0.847,8,1063.3,30,56,268041,week8_D04_cluster_1
15.7,1.696,0.00029,0.08359,0.722,11792.438,1639.342,0.619,0.058,8,1063.3,30,56,268041,week8_D04_cluster_1
17.988,2.295,0.05932,0.03381,0.699,11274.775,1450.319,0.113,0.067,8,1063.3,30,56,268041,week8_D04_cluster_1
23.687,1.373,0.03467,0.03072,0.8,11570.289,1375.458,0.504,0.628,8,1063.3,30,56,268041,week8_D04_cluster_1
11.437,1.976,0.02765,0.00193,0.755,12096.125,1505.603,0.543,-0.098,8,1063.3,30,56,268041,week8_D04_cluster_1
21.844,1.945,0.02955,0.01733,0.71,11509.849,1075.641,-0.38,1.92,8,1063.3,30,56,268041,week8_D04_cluster_1
22.761,1.462,0.01962,0.03897,0.762,11958.429,1545.526,0.524,0.03,8,1063.3,30,56,268041,week8_D04_cluster_1
15.675,2.043,0.0478,0.00661,0.726,11572.394,1371.329,0.393,-0.509,8,1063.3,30,56,268041,week8_D04_cluster_1
6.517,2.095,0.03719,0.08922,0.674,11934.944,661.682,-0.096,-0.138,8,1063.3,30,56,268041,week8_D04_cluster_1
21.585,2.545,0.00459,0.00859,0.631,11307.936,1238.474,-0.628,0.807,8,1063.3,30,56,268041,week8_D04_cluster_1
22.177,1.509,0.0506,0.01599,0.808,11553.219,1094.331,0.294,1.348,8,1063.3,30,56,268041,week8_D04_cluster_1
17.282,1.905,0.08912,0.00839,0.698,11283.255,1099.884,-0.39,0.394,8,1063.3,30,56,268041,week8_D04_cluster_1
16.552,1.338,0.00195,0.00266,0.843,11847.475,1341.519,0.563,0.689,8,1063.3,30,56,268041,week8_D04_cluster_1
23.819,1.872,0.01251,0.01607,0.775,11364.809,1164.558,-0.073,1.203,8,1063.3,30,56,268041,week8_D04_cluster_1
13.828,2.15,0.03012,0.06651,0.677,11428.057,1191.384,-0.205,0.233,8,1063.3,30,56,268041,week8_D04_cluster_1
27.817,1.886,0.11055,0.06769,0.689,11967.833,1549.933,0.178,-0.458,8,1063.3,30,56,268041,week8_D04_cluster_1
22.354,1.484,0.04114,0.03014,0.795,11646.945,1537.496,0.621,0.329,8,1063.3,30,56,268041,week8_D04_cluster_1
19.11,1.96,0.06019,0.0027,0.751,11536.204,1242.379,0.099,0.046,8,1063.3,30,56,268041,week8_D04_cluster_1
16.513,1.73,0.0259,0.04493,0.776,11630.131,1361.816,0.232,0.372,8,1063.3,30,56,268041,week8_D04_cluster_1
21.423,1.616,0.00302,0.00405,0.802,11736.804,1386.439,0.672,0.831,8,1063.3,30,56,268041,week8_D04_cluster_1
27.773,1.958,0.01433,0.01919,0.736,11876.691,1342.473,0.064,-0.064,8,1063.3,30,56,268041,week8_D04_cluster_1
20.404,1.909,0.05581,0.00105,0.768,11488.744,1426.845,0.019,0.047,8,1063.3,30,56,268041,week8_D04_cluster_1
17.714,1.921,0.0396,0.0744,0.718,11624.706,1115.764,-0.078,0.977,8,1063.3,30,56,268041,week8_D04_cluster_1
21.624,1.734,0.07284,0.04429,0.755,11726.505,1281.379,0.557,0.129,8,1063.3,30,56,268041,week8_D04_cluster_1
23.3,1.891,0.00052,0.05244,0.754,11786.736,977.048,0.241,0.98,8,1063.3,30,56,268041,week8_D04_cluster_1
6.698,1.821,0.02335,0.03475,0.793,11815.893,1027.01,0.208,-0.25,8,1063.3,30,56,268041,week8_D04_cluster_1
20.698,2.261,0.02093,0.00295,0.703,11550.974,1118.922,-0.097,0.796,8,1063.3,30,56,268041,week8_D04_cluster_1
17.086,2,0.00529,0.01294,0.759,11479.551,1197.481,-0.164,1.058,8,1063.3,30,56,268041,week8_D04_cluster_1
18.38,2.316,0.04609,0.03368,0.648,11744.622,1573.733,0.447,-0.208,8,1063.3,30,56,268041,week8_D04_cluster_1
